Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
08-29-2025-Fri 12-04-14-PM,20.3601,20.6641,21.1704,21.0697,19.9206,20.1916,19.2457,18.0644
08-29-2025-Fri 12-04-17-PM,20.3939,20.6302,21.1704,21.0697,19.9206,20.1916,19.3126,17.9967
08-29-2025-Fri 12-04-19-PM,20.3262,20.6302,21.1704,21.0697,19.9545,20.1916,19.3126,17.9628
08-29-2025-Fri 12-04-21-PM,20.4278,20.7318,21.1704,21.0697,19.9206,20.1916,19.3126,17.929
08-29-2025-Fri 12-04-24-PM,20.3262,20.6641,21.2382,21.1035,19.9884,20.1916,19.3465,17.8951
08-29-2025-Fri 12-04-26-PM,20.4278,20.6979,21.1704,21.1035,19.9545,20.2593,19.3804,17.8951
08-29-2025-Fri 12-04-29-PM,20.3262,20.6641,21.2382,21.0358,20.0222,20.2246,19.4481,17.8951
08-29-2025-Fri 12-04-31-PM,20.3939,20.7318,21.2051,21.1704,19.9884,20.2246,19.482,17.8612
08-29-2025-Fri 12-04-33-PM,20.4278,20.6641,21.3059,21.1374,20.09,20.2593,19.5158,17.8951
08-29-2025-Fri 12-04-36-PM,20.3939,20.6641,21.2382,21.1035,20.09,20.2593,19.5158,17.8951
08-29-2025-Fri 12-04-38-PM,20.4617,20.6979,21.272,21.2382,20.09,20.2923,19.5497,17.8951
08-29-2025-Fri 12-04-41-PM,20.5286,20.6979,21.272,21.0358,20.1916,20.3262,19.6166,17.929
08-29-2025-Fri 12-04-43-PM,20.3939,20.7318,21.2382,21.2382,20.1577,20.3601,19.6166,17.8951
08-29-2025-Fri 12-04-45-PM,20.4955,20.7995,21.3059,21.1704,20.1577,20.3262,19.6166,17.8951
08-29-2025-Fri 12-04-48-PM,20.5963,20.7318,21.3059,21.1704,20.1916,20.3601,19.6166,17.8951
08-29-2025-Fri 12-04-50-PM,20.5963,20.7657,21.272,21.1374,20.1916,20.3262,19.5836,17.8612
08-29-2025-Fri 12-04-52-PM,20.5625,20.7657,21.272,21.1704,20.1577,20.3601,19.5836,17.8612
08-29-2025-Fri 12-04-55-PM,20.5963,20.7657,21.272,21.1704,20.1916,20.3601,19.6166,17.8612
08-29-2025-Fri 12-04-57-PM,20.5963,20.8326,21.272,21.1704,20.1577,20.3601,19.6166,17.8274
08-29-2025-Fri 12-05-00-PM,20.5286,20.7657,21.272,21.1704,20.1577,20.3601,19.5836,17.7935
08-29-2025-Fri 12-05-02-PM,20.4278,20.7318,21.3059,21.1704,20.1916,20.3601,19.6166,17.7266
08-29-2025-Fri 12-05-04-PM,20.5625,20.7657,21.272,21.1704,20.1577,20.3939,19.5836,17.7604
08-29-2025-Fri 12-05-07-PM,20.5625,20.8326,21.3059,21.1704,20.1577,20.3601,19.6166,17.7604
08-29-2025-Fri 12-05-09-PM,20.6302,20.8326,21.272,21.1704,20.1916,20.3939,19.6166,17.7604
08-29-2025-Fri 12-05-11-PM,20.5625,20.7657,21.272,21.1704,20.1577,20.3601,19.6166,17.6927
08-29-2025-Fri 12-05-14-PM,20.5286,20.7995,21.3059,21.1374,20.1916,20.3939,19.6166,17.6588
08-29-2025-Fri 12-05-16-PM,20.5963,20.7995,21.272,21.1704,20.1577,20.3601,19.6166,17.5911
08-29-2025-Fri 12-05-18-PM,20.5286,20.7995,21.3059,21.1704,20.1916,20.3601,19.6166,17.5911
