Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
08-06-2025-Wed 13-33-28-PM,18.1314,17.9967,17.8951,19.0095,16.4106,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-30-PM,18.1314,18.0298,17.8951,19.0095,16.4106,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-31-PM,18.1652,17.9628,17.8951,19.0433,16.4106,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-33-PM,18.1652,17.9967,17.8951,19.0095,16.4106,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-34-PM,18.1314,18.0298,17.8951,19.0095,16.4106,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-35-PM,18.1652,17.9967,17.8951,19.0095,16.4106,16.8823,17.7604,988.793
08-06-2025-Wed 13-33-37-PM,18.1652,17.9628,17.8951,19.0433,16.4106,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-38-PM,18.0975,17.9628,17.8951,19.0095,16.4106,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-40-PM,18.1314,17.9628,17.8612,18.9756,16.376,16.8493,17.7935,988.793
08-06-2025-Wed 13-33-41-PM,18.1314,17.9628,17.8951,19.0095,16.4106,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-42-PM,18.1652,17.9967,17.8951,19.0095,16.4106,16.8823,17.7604,988.793
08-06-2025-Wed 13-33-44-PM,18.1991,18.0298,17.8951,19.0095,16.4437,16.8823,17.7604,988.793
08-06-2025-Wed 13-33-45-PM,18.1652,18.0298,17.8951,19.0095,16.4437,16.8493,17.7935,988.793
08-06-2025-Wed 13-33-47-PM,18.1652,18.0644,17.8951,18.9756,16.4437,16.8493,17.7935,988.793
08-06-2025-Wed 13-33-48-PM,18.1652,17.9967,17.8951,19.0095,16.4437,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-49-PM,18.1652,17.9967,17.8951,19.0095,16.4437,16.8493,17.7266,988.793
08-06-2025-Wed 13-33-51-PM,18.1314,17.9967,17.929,19.0095,16.4437,16.8493,17.7935,988.793
08-06-2025-Wed 13-33-52-PM,18.1991,18.0644,17.929,19.0095,16.4776,16.8493,17.7604,988.793
08-06-2025-Wed 13-33-54-PM,18.1991,18.0644,17.929,19.0095,16.4437,16.8823,17.7935,988.793
08-06-2025-Wed 13-33-55-PM,18.1991,18.0298,17.8612,19.0095,16.4776,16.8823,17.7604,988.793
08-06-2025-Wed 13-33-56-PM,18.0975,18.0644,17.8951,18.9756,16.4437,16.9162,17.7935,988.793
08-06-2025-Wed 13-33-58-PM,18.233,17.9967,17.929,18.9756,16.4776,16.9162,17.7604,988.793
08-06-2025-Wed 13-33-59-PM,18.1652,17.9967,17.8951,19.0095,16.4437,16.8823,17.7604,988.793
08-06-2025-Wed 13-34-01-PM,18.1991,18.0298,17.929,19.0095,16.4776,16.8823,17.7935,988.793
08-06-2025-Wed 13-34-02-PM,18.1652,17.9967,17.8951,19.0095,16.4776,16.8823,17.7604,988.793
08-06-2025-Wed 13-34-03-PM,18.233,17.9967,17.8951,18.9756,16.4776,16.8823,17.7935,988.793
08-06-2025-Wed 13-34-05-PM,18.233,17.9967,17.8951,18.9756,16.4776,16.8823,17.8274,988.793
08-06-2025-Wed 13-34-06-PM,18.1314,18.0298,17.929,18.9756,16.4776,16.8823,17.7604,988.793
08-06-2025-Wed 13-34-08-PM,18.1652,18.0298,17.8951,18.9756,16.4437,16.9162,17.7604,988.793
08-06-2025-Wed 13-34-09-PM,18.233,18.0298,17.929,18.9756,16.5114,16.8823,17.8274,988.793
08-06-2025-Wed 13-34-10-PM,18.233,17.9967,17.8951,18.9417,16.4776,16.8823,17.7935,988.793
