Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
08-06-2025-Wed 13-36-05-PM,-0.3,0.6,0.0,0.412,0.0,0.524,-0.3,0.564,-0.2,0.492,0.0,0.544,-0.1,0.556,0.1,0.628
08-06-2025-Wed 13-36-06-PM,-0.2,0.604,0.0,0.416,0.0,0.524,-0.5,0.564,0.2,0.492,-0.1,0.544,-0.3,0.556,-0.3,0.628
08-06-2025-Wed 13-36-08-PM,-0.6,0.6,0.0,0.412,-0.1,0.524,-0.5,0.564,-0.1,0.496,0.0,0.544,-0.2,0.556,-0.1,0.632
08-06-2025-Wed 13-36-09-PM,-0.2,0.604,0.1,0.412,-0.1,0.524,0.0,0.564,0.0,0.492,-0.3,0.548,-0.1,0.56,-0.2,0.632
08-06-2025-Wed 13-36-10-PM,-0.1,0.604,0.0,0.416,-0.4,0.524,-0.4,0.564,0.0,0.496,-0.1,0.544,0.0,0.56,-0.2,0.632
08-06-2025-Wed 13-36-12-PM,-0.2,0.604,-0.2,0.416,-0.5,0.528,-0.4,0.568,-0.2,0.496,-0.1,0.544,-0.3,0.56,-0.2,0.632
08-06-2025-Wed 13-36-13-PM,-0.2,0.604,-0.1,0.416,0.2,0.524,-0.3,0.568,0.0,0.5,-0.2,0.544,-0.1,0.56,-0.3,0.636
08-06-2025-Wed 13-36-15-PM,0.0,0.604,0.0,0.416,0.0,0.524,-0.3,0.564,0.1,0.5,-0.1,0.548,-0.1,0.564,0.1,0.636
08-06-2025-Wed 13-36-16-PM,-0.3,0.6,0.0,0.416,-0.3,0.528,-0.2,0.568,-0.2,0.496,0.0,0.548,-0.4,0.56,0.0,0.636
08-06-2025-Wed 13-36-17-PM,0.0,0.608,-0.1,0.416,-0.2,0.528,-0.2,0.564,-0.2,0.496,0.1,0.548,0.0,0.564,0.0,0.636
08-06-2025-Wed 13-36-19-PM,0.1,0.604,-0.3,0.416,-0.2,0.524,-0.4,0.568,0.0,0.496,-0.2,0.548,-0.3,0.564,-0.1,0.648
08-06-2025-Wed 13-36-20-PM,0.0,0.608,0.0,0.42,-0.2,0.524,-0.3,0.568,0.1,0.5,-0.3,0.552,-0.3,0.564,0.0,0.644
