Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
08-06-2025-Wed 13-36-05-PM,17.2202,16.1066,15.9381,12.566,14.7576,14.9262,13.6449,988.793
08-06-2025-Wed 13-36-06-PM,17.2202,16.0389,15.9042,12.4652,14.6899,14.8923,13.5433,988.793
08-06-2025-Wed 13-36-08-PM,17.1186,16.0058,15.8365,12.3297,14.656,14.8246,13.4756,988.793
08-06-2025-Wed 13-36-09-PM,17.1525,15.9381,15.7688,12.1951,14.6222,14.7576,13.4086,988.793
08-06-2025-Wed 13-36-10-PM,17.0517,15.9042,15.7357,12.0604,14.5552,14.7238,13.3409,988.793
08-06-2025-Wed 13-36-12-PM,17.0517,15.8026,15.668,11.9258,14.5214,14.656,13.2401,988.793
08-06-2025-Wed 13-36-13-PM,17.1186,15.7688,15.6341,11.7572,14.4536,14.6222,13.1732,988.793
08-06-2025-Wed 13-36-15-PM,17.0517,15.7019,15.5672,11.6226,14.3867,14.5552,13.1054,988.793
08-06-2025-Wed 13-36-16-PM,16.9839,15.7357,15.5333,11.4879,14.3528,14.4875,13.0038,988.793
08-06-2025-Wed 13-36-17-PM,16.9839,15.6341,15.4656,11.3533,14.319,14.4536,12.9369,988.793
08-06-2025-Wed 13-36-19-PM,16.9162,15.5672,15.4317,11.2186,14.2182,14.3528,12.8353,988.793
08-06-2025-Wed 13-36-20-PM,16.8823,15.4995,15.3648,11.0831,14.2182,14.3528,12.7684,988.793
08-06-2025-Wed 13-36-22-PM,16.8823,15.5333,15.2971,10.9485,14.1505,14.2851,12.6676,988.793
08-06-2025-Wed 13-36-23-PM,16.8493,15.4995,15.2632,10.8138,14.0827,14.2512,12.6329,988.793
08-06-2025-Wed 13-36-25-PM,16.8154,15.3648,15.1955,10.6453,14.0158,14.1843,12.4983,988.793
08-06-2025-Wed 13-36-26-PM,16.8154,15.3648,15.0947,10.5106,13.9819,14.1166,12.4313,988.793
08-06-2025-Wed 13-36-28-PM,16.7138,15.3309,15.0608,10.376,13.9142,14.0497,12.3636,988.793
08-06-2025-Wed 13-36-30-PM,16.7138,15.2293,14.9931,10.2413,13.8803,14.0158,12.2628,988.793
08-06-2025-Wed 13-36-31-PM,16.6799,15.1624,14.9262,10.0736,13.8134,13.9481,12.162,988.793
08-06-2025-Wed 13-36-32-PM,16.613,15.0947,14.8584,9.93814,13.7457,13.9142,12.0943,988.793
08-06-2025-Wed 13-36-34-PM,16.5791,15.0608,14.8246,9.80348,13.7126,13.8134,12.0274,988.793
08-06-2025-Wed 13-36-35-PM,16.5791,15.0269,14.7576,9.66882,13.6449,13.7457,11.9258,988.793
08-06-2025-Wed 13-36-37-PM,16.5114,14.9931,14.6899,9.53416,13.611,13.7457,11.825,988.793
08-06-2025-Wed 13-36-38-PM,16.5453,14.9262,14.656,9.3995,13.5433,13.6449,11.7572,988.793
08-06-2025-Wed 13-36-39-PM,16.4437,14.8246,14.5883,9.29871,13.5102,13.611,11.7242,988.793
08-06-2025-Wed 13-36-41-PM,16.4106,14.8923,14.5552,9.19711,13.4756,13.5771,11.6226,988.793
08-06-2025-Wed 13-36-42-PM,16.3429,14.7907,14.5214,9.02939,13.4086,13.5102,11.5218,988.793
08-06-2025-Wed 13-36-44-PM,16.309,14.7907,14.4206,8.9286,13.3409,13.4425,11.4879,988.793
08-06-2025-Wed 13-36-45-PM,16.3429,14.7238,14.3867,8.76007,13.3078,13.3748,11.3863,988.793
