Sample Volume 	 	 	Concentaration in( wt%) 	 	 	Concentaration in (ml)	 	 
40 ml Mixed Sample	Sample#	Na(%)	Ca(%)	Mg(%)	Na(g)	Ca(g)	Mg(g)	H2O(ml)
	X1	100	0	0	13.33	0	0	26.67
	X2	90	10	0	12	1.33	0	26.67
	X3	90	0	10	12	0	1.33	26.67
	X4	80	20	0	10.67	2.67	0	26.67
	X5	80	10	10	10.67	1.33	1.33	26.67
	X6	80	0	20	10.67	0	2.67	26.67
	X7	70	30	0	9.33	4	0	26.67
	X8	70	20	10	9.33	2.67	1.33	26.67
	X9	70	10	20	9.33	1.33	2.67	26.67
	X10	70	0	30	9.33	0	4	26.67
	X11	60	40	0	8	5.33	0	26.67
	X12	60	30	10	8	4	1.33	26.67
	X13	60	20	20	8	2.67	2.67	26.67
	X14	60	10	30	8	1.33	4	26.67
	X15	60	0	40	8	0	5.33	26.67
	X16	50	50	0	6.67	6.67	0	26.67
	X17	50	40	10	6.67	5.33	1.33	26.67
	X18	50	30	20	6.67	4	2.67	26.67
	X19	50	20	30	6.67	2.67	4	26.67
	X20	50	10	40	6.67	1.33	5.33	26.67
	X21	50	0	50	6.67	0	6.67	26.67
	X22	40	60	0	5.33	8	0	26.67
	X23	40	50	10	5.33	6.67	1.33	26.67
	X24	40	40	20	5.33	5.33	2.67	26.67
	X25	40	30	30	5.33	4	4	26.67
	X26	40	20	40	5.33	2.67	5.33	26.67
	X27	40	10	50	5.33	1.33	6.67	26.67
	X28	40	0	60	5.33	0	8	26.67
	X29	30	70	0	4	9.33	0	26.67
	X30	30	60	10	4	8	1.33	26.67
	X31	30	50	20	4	6.67	2.67	26.67
	X32	30	40	30	4	5.33	4	26.67
	X33	30	30	40	4	4	5.33	26.67
	X34	30	20	50	4	2.67	6.67	26.67
	X35	30	10	60	4	1.33	8	26.67
	X36	30	0	70	4	0	23.33	12.67
	X37	20	80	0	2.67	10.67	0	26.67
	X38	20	70	10	2.67	9.33	3.33	24.67
	X39	20	60	20	2.67	8	2.67	26.67
	X40	20	50	30	2.67	6.67	4	26.67
	X41	20	40	40	2.67	5.33	5.33	26.67
	X42	20	30	50	2.67	4	6.67	26.67
	X43	20	20	60	2.67	2.67	8	26.67
	X44	20	10	70	2.67	1.33	9.33	26.67
	X45	20	0	80	2.67	0	10.67	26.67
	X46	10	90	0	1.33	12	0	26.67
	X47	10	80	10	1.33	10.67	1.33	26.67
	X48	10	70	20	1.33	9.33	2.67	26.67
	X49	10	60	30	1.33	8	4	26.67
	X50	10	50	40	1.33	6.67	5.33	26.67
	X51	10	40	50	1.33	5.33	6.67	26.67
	X52	10	30	60	1.33	4	8	26.67
	X53	10	20	70	1.33	2.67	9.33	26.67
	X54	10	10	80	1.33	1.33	10.67	26.67
	X55	10	0	90	1.33	0	12	26.67
	X56	0	100	0	0	13.33	0	26.67
	X57	0	90	10	0	12	1.33	26.67
	X58	0	80	20	0	10.67	2.67	26.67
	X59	0	70	30	0	9.33	4	26.67
	X60	0	60	40	0	8	5.33	26.67
	X61	0	50	50	0	6.67	6.67	26.67
	X62	0	40	60	0	5.33	8	26.67
	X63	0	30	70	0	4	9.33	26.67
	X64	0	20	80	0	2.67	10.67	26.67
	X65	0	10	90	0	1.33	12	26.67
	X66	0	0	100	0	0	13.33	26.67
