Timestamp,Cell 1 Temp,Cell 3 Temp,Cell 5 Temp,Cell 7 Temp,Cell 10 Temp,Cell 12 Temp,Cell 14 Temp,Cell 16 Temp
10-24-2025-Fri 17-25-10-PM,22.421,22.635,22.692,22.714,22.421,22.601,22.692,22.725
10-24-2025-Fri 17-25-12-PM,22.387,22.635,22.703,22.703,22.399,22.624,22.692,22.725
10-24-2025-Fri 17-25-15-PM,22.421,22.647,22.703,22.726,22.433,22.624,22.715,22.742
10-24-2025-Fri 17-25-17-PM,22.455,22.68,22.714,22.737,22.455,22.624,22.714,22.742
10-24-2025-Fri 17-25-20-PM,22.421,22.658,22.714,22.726,22.421,22.624,22.703,22.742
10-24-2025-Fri 17-25-22-PM,22.405,22.647,22.692,22.726,22.421,22.613,22.703,22.742
10-24-2025-Fri 17-25-24-PM,22.421,22.658,22.703,22.715,22.421,22.613,22.703,22.726
10-24-2025-Fri 17-25-27-PM,22.421,22.646,22.692,22.714,22.421,22.601,22.692,22.725
10-24-2025-Fri 17-25-29-PM,22.438,22.658,22.692,22.715,22.432,22.601,22.703,22.726
10-24-2025-Fri 17-25-31-PM,22.438,22.658,22.737,22.714,22.455,22.669,22.714,22.725
10-24-2025-Fri 17-25-34-PM,22.489,22.669,22.737,22.804,22.489,22.669,22.816,22.861
10-24-2025-Fri 17-25-36-PM,22.54,22.692,22.793,22.827,22.489,22.692,22.883,22.895
10-24-2025-Fri 17-25-39-PM,22.489,22.669,22.759,22.793,22.466,22.635,22.771,22.793
10-24-2025-Fri 17-25-41-PM,22.523,22.737,22.804,22.906,22.5,22.691,22.894,22.962
10-24-2025-Fri 17-25-44-PM,22.557,22.737,22.759,22.906,22.523,22.658,22.872,22.979
10-24-2025-Fri 17-25-46-PM,22.59,22.737,22.804,22.917,22.545,22.68,22.917,22.962
10-24-2025-Fri 17-25-48-PM,22.607,22.748,22.759,22.815,22.557,22.636,22.782,22.81
10-24-2025-Fri 17-25-51-PM,22.59,22.748,22.77,22.815,22.545,22.647,22.782,22.81
10-24-2025-Fri 17-25-53-PM,22.59,22.77,22.782,22.782,22.557,22.68,22.77,22.776
10-24-2025-Fri 17-25-56-PM,22.607,22.748,22.759,22.793,22.557,22.647,22.782,22.793
10-24-2025-Fri 17-25-58-PM,22.573,22.737,22.759,22.793,22.534,22.647,22.759,22.793
10-24-2025-Fri 17-26-00-PM,22.607,22.737,22.737,22.793,22.568,22.635,22.77,22.793
10-24-2025-Fri 17-26-03-PM,22.573,22.737,22.759,22.782,22.534,22.647,22.759,22.776
10-24-2025-Fri 17-26-05-PM,22.624,22.781,22.77,22.782,22.568,22.658,22.759,22.776
10-24-2025-Fri 17-26-07-PM,22.54,22.703,22.737,22.793,22.511,22.624,22.748,22.793
10-24-2025-Fri 17-26-10-PM,22.557,22.726,22.748,22.782,22.523,22.636,22.759,22.776
10-24-2025-Fri 17-26-12-PM,22.54,22.725,22.77,22.782,22.511,22.658,22.759,22.776
10-24-2025-Fri 17-26-14-PM,22.573,22.759,22.793,22.782,22.534,22.68,22.77,22.776
10-24-2025-Fri 17-26-17-PM,22.573,22.714,22.726,22.771,22.534,22.624,22.748,22.776
10-24-2025-Fri 17-26-19-PM,22.54,22.737,22.759,22.771,22.511,22.658,22.748,22.776
10-24-2025-Fri 17-26-22-PM,22.574,22.759,22.759,22.771,22.534,22.658,22.748,22.776
10-24-2025-Fri 17-26-24-PM,22.54,22.748,22.782,22.782,22.511,22.669,22.759,22.776
10-24-2025-Fri 17-26-26-PM,22.557,22.725,22.759,22.782,22.523,22.647,22.759,22.776
10-24-2025-Fri 17-26-29-PM,22.557,22.714,22.726,22.771,22.523,22.624,22.748,22.776
10-24-2025-Fri 17-26-31-PM,22.54,22.725,22.748,22.771,22.511,22.647,22.748,22.776
10-24-2025-Fri 17-26-33-PM,22.523,22.725,22.748,22.771,22.511,22.658,22.748,22.776
10-24-2025-Fri 17-26-36-PM,22.506,22.703,22.759,22.782,22.478,22.635,22.748,22.776
10-24-2025-Fri 17-26-38-PM,22.54,22.759,22.771,22.771,22.523,22.68,22.748,22.776
10-24-2025-Fri 17-26-41-PM,22.54,22.714,22.726,22.76,22.511,22.624,22.726,22.76
10-24-2025-Fri 17-26-43-PM,22.506,22.725,22.748,22.748,22.489,22.647,22.726,22.742
10-24-2025-Fri 17-26-45-PM,22.489,22.68,22.748,22.782,22.478,22.636,22.759,22.776
10-24-2025-Fri 17-26-48-PM,22.557,22.737,22.737,22.748,22.523,22.635,22.726,22.742
10-24-2025-Fri 17-26-53-PM,22.54,22.725,22.737,22.771,22.511,22.635,22.737,22.776
10-24-2025-Fri 17-26-55-PM,22.54,22.714,22.748,22.759,22.5,22.624,22.737,22.742
10-24-2025-Fri 17-26-57-PM,22.523,22.714,22.725,22.748,22.489,22.624,22.714,22.76
10-24-2025-Fri 17-27-00-PM,22.54,22.737,22.748,22.76,22.511,22.647,22.726,22.76
10-24-2025-Fri 17-27-02-PM,22.523,22.692,22.726,22.748,22.489,22.613,22.726,22.742
10-24-2025-Fri 17-27-05-PM,22.557,22.725,22.737,22.748,22.523,22.635,22.726,22.742
10-24-2025-Fri 17-27-09-PM,22.506,22.703,22.737,22.76,22.478,22.624,22.726,22.76
10-24-2025-Fri 17-27-12-PM,22.557,22.726,22.726,22.759,22.523,22.613,22.726,22.742
10-24-2025-Fri 17-27-14-PM,22.506,22.714,22.737,22.737,22.489,22.635,22.726,22.726
10-24-2025-Fri 17-27-17-PM,22.489,22.669,22.726,22.748,22.466,22.613,22.726,22.742
10-24-2025-Fri 17-27-19-PM,22.506,22.703,22.725,22.737,22.489,22.635,22.714,22.742
10-24-2025-Fri 17-27-22-PM,22.54,22.714,22.714,22.737,22.511,22.624,22.714,22.742
10-24-2025-Fri 17-27-24-PM,22.506,22.737,22.748,22.737,22.489,22.658,22.714,22.742
10-24-2025-Fri 17-27-27-PM,22.506,22.691,22.703,22.737,22.489,22.613,22.714,22.742
10-24-2025-Fri 17-27-29-PM,22.523,22.725,22.748,22.737,22.489,22.635,22.726,22.726
10-24-2025-Fri 17-27-32-PM,22.506,22.714,22.748,22.737,22.489,22.647,22.714,22.725
10-24-2025-Fri 17-27-34-PM,22.489,22.714,22.737,22.737,22.478,22.635,22.714,22.725
10-24-2025-Fri 17-27-36-PM,22.54,22.692,22.703,22.725,22.5,22.601,22.703,22.725
10-24-2025-Fri 17-27-39-PM,22.523,22.725,22.737,22.737,22.489,22.635,22.714,22.742
10-24-2025-Fri 17-27-41-PM,22.489,22.669,22.703,22.737,22.478,22.602,22.714,22.725
10-24-2025-Fri 17-27-43-PM,22.523,22.68,22.68,22.737,22.5,22.59,22.714,22.742
10-24-2025-Fri 17-27-46-PM,22.54,22.714,22.703,22.726,22.511,22.624,22.703,22.742
10-24-2025-Fri 17-27-48-PM,22.523,22.692,22.703,22.737,22.489,22.601,22.714,22.742
10-24-2025-Fri 17-27-51-PM,22.472,22.669,22.703,22.737,22.455,22.601,22.714,22.742
10-24-2025-Fri 17-27-53-PM,22.489,22.68,22.714,22.725,22.466,22.613,22.703,22.725
10-24-2025-Fri 17-27-56-PM,22.455,22.646,22.714,22.748,22.444,22.601,22.726,22.742
10-24-2025-Fri 17-27-58-PM,22.455,22.691,22.737,22.737,22.455,22.647,22.714,22.742
10-24-2025-Fri 17-28-00-PM,22.523,22.658,22.68,22.725,22.489,22.579,22.703,22.725
