Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
10-24-2025-Fri 17-25-10-PM,-0.3,0.692,0.0,0.628,0.0,0.604,-0.4,0.596,-0.3,0.616,0.0,0.64,-0.3,0.712,-0.2,0.672
10-24-2025-Fri 17-25-12-PM,-0.3,0.688,-0.1,0.628,-0.1,0.604,-0.3,0.596,-0.2,0.616,-0.1,0.64,-0.7,0.708,0.2,0.668
10-24-2025-Fri 17-25-15-PM,-0.3,0.688,0.1,0.628,0.1,0.604,-0.2,0.592,-0.3,0.616,-0.1,0.636,-0.3,0.712,0.0,0.672
10-24-2025-Fri 17-25-17-PM,-0.1,0.692,-0.2,0.628,-0.3,0.604,-0.1,0.596,-0.4,0.62,-0.3,0.64,-0.2,0.708,0.0,0.672
10-24-2025-Fri 17-25-20-PM,-0.2,0.688,-0.1,0.628,-0.1,0.604,0.0,0.596,-0.2,0.616,0.0,0.644,-0.3,0.708,-0.2,0.672
10-24-2025-Fri 17-25-22-PM,-0.1,0.692,0.0,0.628,-0.3,0.604,-0.1,0.596,-0.1,0.616,0.0,0.64,-0.1,0.712,-0.2,0.672
10-24-2025-Fri 17-25-24-PM,-0.4,0.692,0.1,0.628,-0.1,0.604,-0.2,0.596,-0.3,0.62,-0.1,0.64,-0.4,0.712,-0.1,0.672
10-24-2025-Fri 17-25-27-PM,-0.4,0.692,-0.3,0.628,-0.3,0.604,-0.4,0.596,-0.5,0.62,0.0,0.64,-0.1,0.708,-0.2,0.676
10-24-2025-Fri 17-25-29-PM,Power On
10-24-2025-Fri 17-25-31-PM,87.7,5.488,104.2,5.492,52.6,5.512,60.6,5.54,30.3,5.5,42.3,5.548,40.1,5.496,28.6,5.508
10-24-2025-Fri 17-25-34-PM,81.6,5.508,100.2,5.508,49.5,5.532,58.8,5.564,29.4,5.524,41.2,5.564,39.3,5.52,26.3,5.524
10-24-2025-Fri 17-25-36-PM,79.0,5.524,97.5,5.52,47.8,5.548,57.6,5.572,28.8,5.536,40.3,5.576,38.4,5.532,25.7,5.536
10-24-2025-Fri 17-25-39-PM,77.6,5.532,95.3,5.532,46.6,5.556,56.2,5.58,28.7,5.54,39.4,5.58,37.8,5.536,25.2,5.544
10-24-2025-Fri 17-25-41-PM,77.0,5.536,93.4,5.536,45.9,5.56,55.4,5.584,28.4,5.544,39.3,5.588,37.6,5.544,24.9,5.552
10-24-2025-Fri 17-25-44-PM,76.3,5.544,92.0,5.54,45.6,5.564,54.3,5.588,28.3,5.552,39.2,5.592,36.7,5.548,24.4,5.556
10-24-2025-Fri 17-25-46-PM,Power Off
10-24-2025-Fri 17-25-48-PM,-0.3,0.943999,-0.1,1.52,-0.2,1.056,-0.3,1.088,-0.5,1.092,-0.1,0.952,0.0,0.943999,-0.4,1.476
10-24-2025-Fri 17-25-51-PM,-0.1,0.76,-0.2,1.316,-0.4,0.856,-0.2,0.928,-0.4,0.872,-0.1,0.86,-0.2,0.888,-0.2,1.232
10-24-2025-Fri 17-25-53-PM,-0.2,0.668,0.0,1.164,-0.2,0.752,-0.1,0.836,-0.2,0.772,0.2,0.808,-0.3,0.852,0.0,1.096
10-24-2025-Fri 17-25-56-PM,-0.1,0.604,-0.3,1.056,-0.1,0.676,-0.1,0.776,-0.3,0.716,-0.2,0.772,-0.3,0.828,0.0,1.004
10-24-2025-Fri 17-25-58-PM,0.1,0.56,0.0,0.98,-0.2,0.624,-0.1,0.732,-0.4,0.68,0.0,0.744,-0.1,0.812,-0.2,0.936
10-24-2025-Fri 17-26-00-PM,-0.3,0.528,0.0,0.928,0.1,0.588,-0.1,0.7,-0.1,0.652,0.1,0.724,-0.1,0.796,-0.1,0.892
10-24-2025-Fri 17-26-03-PM,0.0,0.508,0.1,0.892,-0.2,0.564,-0.2,0.676,0.0,0.628,0.0,0.708,-0.1,0.788,-0.2,0.864
10-24-2025-Fri 17-26-05-PM,0.2,0.5,-0.1,0.864,0.0,0.548,-0.2,0.656,-0.2,0.62,0.0,0.696,-0.2,0.78,0.0,0.848
10-24-2025-Fri 17-26-07-PM,0.1,0.496,0.2,0.844,-0.2,0.54,-0.5,0.648,-0.3,0.608,-0.1,0.684,-0.3,0.776,-0.1,0.836
10-24-2025-Fri 17-26-10-PM,-0.1,0.5,-0.2,0.836,-0.2,0.54,-0.3,0.644,-0.4,0.608,0.0,0.68,-0.3,0.772,-0.1,0.832
10-24-2025-Fri 17-26-12-PM,-0.2,0.5,-0.1,0.832,-0.2,0.54,-0.3,0.644,-0.3,0.608,-0.2,0.68,-0.5,0.772,-0.1,0.824
10-24-2025-Fri 17-26-14-PM,-0.1,0.512,0.0,0.828,-0.3,0.548,-0.1,0.644,-0.2,0.608,-0.2,0.68,-0.1,0.772,-0.1,0.824
10-24-2025-Fri 17-26-17-PM,-0.1,0.52,-0.1,0.828,-0.5,0.552,0.1,0.648,0.0,0.612,0.0,0.68,-0.4,0.772,-0.4,0.824
10-24-2025-Fri 17-26-19-PM,-0.2,0.532,-0.1,0.824,-0.2,0.556,-0.2,0.652,-0.3,0.616,-0.1,0.68,-0.2,0.772,0.1,0.824
10-24-2025-Fri 17-26-22-PM,-0.2,0.54,-0.2,0.828,-0.4,0.564,-0.1,0.656,-0.3,0.62,-0.4,0.684,-0.2,0.772,-0.1,0.824
