Timestamp,Cell 1 Current,Cell 1 current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temperature,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temperature,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temperature,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp (SENSOR Failed),Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,21.7454,,,,,,21.7792,,,,,,21.6438,,,,,,22.1171,96.1,5.66,,75.7,5.672,21.576,74.3,5.672,,70.7,5.712,21.2051,51.4,5.66,,58.1,5.708,21.7792,58.2,5.648,,71.4,5.644,21.8123
,,,,,,21.7454,,,,,,21.847,,,,,,21.6776,,,,,,22.0155,91.9,5.668,,73.2,5.676,21.576,72.9,5.684,,69.6,5.716,21.2051,51.5,5.66,,57.4,5.708,21.6776,56.5,5.652,,68.3,5.652,22.1848
,,,,,,21.7454,,,,,,21.847,,,,,,21.6776,,,,,,22.0155,88.1,5.62,,70.4,5.628,21.6107,71.3,5.632,,67.7,5.668,21.2051,50,5.616,,56,5.664,21.6107,54.4,5.604,,65.7,5.608,21.7792
,,,,,,21.6776,,,,,,21.8123,,,,,,21.6776,,,,,,22.151,86.2,5.624,,69.4,5.636,21.576,70.7,5.636,,67.1,5.668,21.2051,50.1,5.62,,56,5.668,21.8123,54.2,5.612,,64.5,5.608,21.9816
,,,,,,21.7454,,,,,,21.8123,,,,,,21.7115,,,,,,22.0832,84.7,5.628,,68.9,5.636,21.7115,70.2,5.636,,66.9,5.672,21.2051,50.2,5.624,,55.9,5.668,21.9139,53.6,5.616,,62.9,5.612,21.8123
,,,,,,21.7454,,,,,,21.8123,,,,,,21.7454,,,,,,22.1171,83,5.632,,68.5,5.64,21.6776,70,5.64,,67,5.676,21.2382,50,5.624,,55.5,5.672,21.9816,53.3,5.62,,61.9,5.62,22.2187
,,,,,,20.7657,,,,,,20.9003,,,,,,21.1035,,,,,,21.5091,88.8,5.624,,71.2,5.636,19.178,71.1,5.64,,68.8,5.672,20.3939,49.8,5.62,,55.3,5.668,21.0019,56.2,5.612,,68.5,5.608,20.4955
,,,,,,20.6979,,,,,,20.8665,,,,,,21.2382,,,,,,21.4414,82.6,5.636,,67.2,5.644,19.1103,68.6,5.648,,66.3,5.684,20.4278,49,5.632,,53.5,5.68,20.8665,53,5.624,,64.1,5.624,20.6641
,,,,,,20.7995,,,,,,20.7318,,,,,,21.0697,,,,,,21.5091,78,5.644,,65.4,5.656,18.9417,67.7,5.656,,65.5,5.688,20.3939,49,5.64,,53.1,5.684,20.9681,51.7,5.632,,61.5,5.632,20.6979
,,,,,,20.6641,,,,,,20.6641,,,,,,21.1374,,,,,,21.4075,75.1,5.648,,64.6,5.656,18.9079,66.7,5.66,,64.8,5.688,20.2923,48.6,5.644,,52.8,5.688,20.7995,51.1,5.636,,59.2,5.636,20.7318
