Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
09-12-2025-Fri 10-11-32-AM,-0.2,0.688,-0.1,0.836,0.0,0.74,-0.2,1.148,-0.5,0.74,-0.1,0.688,-0.2,0.78,-0.2,0.812
09-12-2025-Fri 10-11-35-AM,-0.2,0.672,-0.2,0.816,-0.1,0.724,-0.5,1.104,-0.4,0.74,0.0,0.688,-0.3,0.78,-0.1,0.812
09-12-2025-Fri 10-11-37-AM,Power On
09-12-2025-Fri 10-11-40-AM,96.1,5.66,75.7,5.672,74.3,5.672,70.7,5.712,51.4,5.66,58.1,5.708,58.2,5.648,71.4,5.644
09-12-2025-Fri 10-11-42-AM,91.9,5.668,73.2,5.676,72.9,5.684,69.6,5.716,51.5,5.66,57.4,5.708,56.5,5.652,68.3,5.652
09-12-2025-Fri 10-11-45-AM,88.1,5.62,70.4,5.628,71.3,5.632,67.7,5.668,50.0,5.616,56.0,5.664,54.4,5.604,65.7,5.608
09-12-2025-Fri 10-11-47-AM,86.2,5.624,69.4,5.636,70.7,5.636,67.1,5.668,50.1,5.62,56.0,5.668,54.2,5.612,64.5,5.608
09-12-2025-Fri 10-11-50-AM,84.7,5.628,68.9,5.636,70.2,5.636,66.9,5.672,50.2,5.624,55.9,5.668,53.6,5.616,62.9,5.612
09-12-2025-Fri 10-11-52-AM,83.0,5.632,68.5,5.64,70.0,5.64,67.0,5.676,50.0,5.624,55.5,5.672,53.3,5.62,61.9,5.62
09-12-2025-Fri 10-11-57-AM,
09-12-2025-Fri 10-12-01-AM,
09-12-2025-Fri 10-12-05-AM,0.0,1.252,-0.3,1.876,0.1,1.512,-0.3,1.872,-0.3,1.108,-0.4,0.928,-0.2,1.156,0.2,1.64
09-12-2025-Fri 10-12-08-AM,0.1,1.14,0.0,1.74,-0.2,1.336,-0.1,1.784,-0.3,0.996,-0.1,0.868,0.0,1.024,-0.2,1.516
09-12-2025-Fri 10-12-10-AM,0.1,1.056,-0.1,1.624,0.0,1.224,-0.1,1.724,-0.2,0.936,0.1,0.836,-0.2,0.936,-0.1,1.392
09-12-2025-Fri 10-12-12-AM,0.0,0.992,0.0,1.512,-0.3,1.144,-0.2,1.664,-0.2,0.896,0.0,0.808,-0.2,0.876,0.0,1.28
09-12-2025-Fri 10-12-15-AM,-0.2,0.936,-0.1,1.416,-0.1,1.08,-0.3,1.616,-0.4,0.868,-0.1,0.792,-0.3,0.832,0.0,1.188
09-12-2025-Fri 10-12-17-AM,0.1,0.896,-0.1,1.336,-0.1,1.028,-0.2,1.572,-0.3,0.844,-0.2,0.772,-0.3,0.804,-0.1,1.12
09-12-2025-Fri 10-12-19-AM,-0.3,0.856,-0.1,1.264,0.0,0.984,-0.5,1.528,-0.3,0.828,-0.1,0.76,-0.5,0.788,-0.2,1.064
09-12-2025-Fri 10-12-22-AM,-0.2,0.828,-0.1,1.212,-0.4,0.943999,0.1,1.488,-0.5,0.812,-0.2,0.748,-0.2,0.78,-0.1,1.016
09-12-2025-Fri 10-12-24-AM,-0.3,0.804,-0.3,1.164,-0.3,0.912,-0.2,1.452,-0.5,0.796,-0.1,0.736,-0.3,0.776,-0.2,0.976
