Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
09-12-2025-Fri 10-11-32-AM,21.7115,21.847,21.7115,22.0155,21.576,21.1704,21.6438,21.7454
09-12-2025-Fri 10-11-35-AM,21.7454,21.8123,21.6776,22.0155,21.576,21.2051,21.6438,21.7115
09-12-2025-Fri 10-11-37-AM,21.7115,21.88,21.6776,22.0155,21.576,21.2051,21.6438,21.7115
09-12-2025-Fri 10-11-40-AM,21.7454,21.7792,21.6438,22.1171,21.576,21.2051,21.7792,21.8123
09-12-2025-Fri 10-11-42-AM,21.7454,21.847,21.6776,22.0155,21.576,21.2051,21.6776,22.1848
09-12-2025-Fri 10-11-45-AM,21.7454,21.847,21.6776,22.0155,21.6107,21.2051,21.6107,21.7792
09-12-2025-Fri 10-11-47-AM,21.6776,21.8123,21.6776,22.151,21.576,21.2051,21.8123,21.9816
09-12-2025-Fri 10-11-50-AM,21.7454,21.8123,21.7115,22.0832,21.7115,21.2051,21.9139,21.8123
09-12-2025-Fri 10-11-52-AM,21.7454,21.8123,21.7454,22.1171,21.6776,21.2382,21.9816,22.2187
09-12-2025-Fri 10-11-57-AM,21.847,21.847,21.7454,22.0832,21.7454,21.272,21.9478,21.9816
09-12-2025-Fri 10-12-01-AM,21.9139,21.7792,21.9139,22.1171,21.6776,21.3398,21.7792,22.1171
09-12-2025-Fri 10-12-05-AM,21.847,21.847,21.847,22.151,21.7454,21.3059,21.9139,21.7792
09-12-2025-Fri 10-12-08-AM,21.8123,21.847,21.7792,22.0832,21.7115,21.3059,21.6776,21.7792
09-12-2025-Fri 10-12-10-AM,21.8123,21.88,21.7792,22.0832,21.7115,21.3059,21.6776,21.7454
09-12-2025-Fri 10-12-12-AM,21.88,21.8123,21.7792,22.0832,21.7454,21.3059,21.7115,21.7454
09-12-2025-Fri 10-12-15-AM,21.9139,21.9478,21.8123,22.0832,21.7115,21.3059,21.7115,21.7115
09-12-2025-Fri 10-12-17-AM,21.8123,21.7792,21.7792,22.1171,21.7115,21.3059,21.6776,21.7454
09-12-2025-Fri 10-12-19-AM,21.7792,21.9139,21.7454,22.0832,21.7115,21.272,21.6776,21.7454
09-12-2025-Fri 10-12-22-AM,21.88,21.847,21.7792,22.0832,21.7454,21.3059,21.6776,21.7454
09-12-2025-Fri 10-12-24-AM,21.7792,21.88,21.7792,22.1171,21.7115,21.272,21.6776,21.7454
09-12-2025-Fri 10-12-27-AM,21.8123,21.847,21.7792,22.0832,21.7115,21.3059,21.6776,21.7454
09-12-2025-Fri 10-12-29-AM,21.8123,21.8123,21.7792,22.0832,21.7115,21.3059,21.6438,21.7454
09-12-2025-Fri 10-12-31-AM,21.7792,21.847,21.7792,22.0832,21.7115,21.3059,21.6438,21.7454
09-12-2025-Fri 10-12-34-AM,21.88,21.88,21.7792,22.1171,21.6776,21.3059,21.6776,21.7115
09-12-2025-Fri 10-12-36-AM,21.88,21.8123,21.7454,22.1171,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-12-38-AM,21.7792,21.7792,21.7454,22.0832,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-12-41-AM,21.847,21.7792,21.7454,22.0832,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-12-43-AM,21.7792,21.88,21.7454,22.0832,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-12-45-AM,21.7792,21.8123,21.7454,22.0832,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-12-48-AM,21.88,21.88,21.7454,22.0832,21.6776,21.3059,21.6776,21.7115
09-12-2025-Fri 10-12-50-AM,21.8123,21.8123,21.7454,22.0832,21.6776,21.272,21.6776,21.7115
09-12-2025-Fri 10-12-53-AM,21.7454,21.8123,21.7792,22.1171,21.6776,21.272,21.6438,21.7115
09-12-2025-Fri 10-12-55-AM,21.88,21.8123,21.7454,22.0832,21.6776,21.272,21.6438,21.6776
09-12-2025-Fri 10-12-57-AM,21.9139,21.7792,21.7454,22.1171,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-13-00-AM,21.847,21.847,21.7115,22.0832,21.6776,21.3059,21.6438,21.6776
09-12-2025-Fri 10-13-02-AM,21.8123,21.8123,21.7454,22.0832,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-13-04-AM,21.88,21.8123,21.7454,22.0832,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-13-07-AM,21.88,21.847,21.7454,22.0832,21.6776,21.3059,21.6438,21.6776
09-12-2025-Fri 10-13-11-AM,21.847,21.8123,21.7454,22.0832,21.6776,21.3059,21.6107,21.7115
09-12-2025-Fri 10-13-13-AM,21.847,21.88,21.7454,22.0832,21.6776,21.3059,21.6107,21.6776
09-12-2025-Fri 10-13-16-AM,21.8123,21.7454,21.7454,22.0832,21.6776,21.272,21.6438,21.6776
09-12-2025-Fri 10-13-18-AM,21.8123,21.7792,21.7454,22.0832,21.6438,21.3059,21.6438,21.6776
09-12-2025-Fri 10-13-21-AM,21.7792,21.847,21.7454,22.0832,21.6438,21.3059,21.6438,21.6776
09-12-2025-Fri 10-13-23-AM,21.88,21.7792,21.7454,22.0832,21.6776,21.3059,21.6438,21.7115
09-12-2025-Fri 10-13-25-AM,21.7792,21.847,21.7454,22.1171,21.6438,21.272,21.6438,21.6776
09-12-2025-Fri 10-13-28-AM,21.8123,21.8123,21.7115,22.0832,21.6776,21.3059,21.6107,21.6776
09-12-2025-Fri 10-13-30-AM,21.8123,21.847,21.7115,22.0832,21.6438,21.3059,21.6107,21.6438
09-12-2025-Fri 10-13-32-AM,21.6776,21.7792,21.7115,22.0494,21.6438,21.3059,21.6107,21.6776
09-12-2025-Fri 10-13-35-AM,21.7115,21.847,21.7115,22.0494,21.6438,21.3059,21.6107,21.6776
09-12-2025-Fri 10-13-37-AM,21.7792,21.7454,21.7454,22.0832,21.6776,21.3059,21.6107,21.6776
09-12-2025-Fri 10-13-40-AM,21.847,21.7454,21.7115,22.0832,21.6438,21.3059,21.6438,21.6776
09-12-2025-Fri 10-13-42-AM,21.7454,21.8123,21.7115,22.0832,21.6438,21.3059,21.6438,21.6776
09-12-2025-Fri 10-13-44-AM,21.847,21.8123,21.7454,22.0494,21.6776,21.3059,21.6438,21.6776
09-12-2025-Fri 10-13-47-AM,21.847,21.8123,21.7115,22.0494,21.6438,21.3059,21.6438,21.6438
09-12-2025-Fri 10-13-49-AM,21.847,21.847,21.7115,22.0832,21.6438,21.3059,21.6438,21.6776
09-12-2025-Fri 10-13-51-AM,21.847,21.7454,21.7454,22.0494,21.6438,21.3059,21.6107,21.6776
09-12-2025-Fri 10-13-54-AM,21.847,21.7792,21.7115,22.0832,21.576,21.3059,21.6107,21.6776
09-12-2025-Fri 10-13-56-AM,21.8123,21.7454,21.7115,22.0494,21.576,21.3059,21.6107,21.6438
09-12-2025-Fri 10-13-59-AM,21.7792,21.7792,21.6776,22.0494,21.543,21.272,21.6107,21.6776
09-12-2025-Fri 10-14-01-AM,21.7454,21.6776,21.7115,22.0832,21.543,21.272,21.6107,21.6438
09-12-2025-Fri 10-14-04-AM,21.7115,21.7792,21.7115,22.0494,21.4752,21.3059,21.576,21.6438
09-12-2025-Fri 10-14-06-AM,21.847,21.7454,21.7115,22.0832,21.4414,21.272,21.576,21.6438
09-12-2025-Fri 10-14-08-AM,21.7115,21.7454,21.6776,22.0494,21.4075,21.2382,21.6107,21.6438
09-12-2025-Fri 10-14-11-AM,21.7792,21.7115,21.7115,22.0155,21.3398,21.2382,21.576,21.6107
09-12-2025-Fri 10-14-13-AM,21.7454,21.7454,21.6776,22.0155,21.3059,21.272,21.543,21.576
09-12-2025-Fri 10-14-16-AM,21.6776,21.7115,21.6776,22.0494,21.2382,21.2382,21.543,21.576
09-12-2025-Fri 10-14-18-AM,21.7454,21.7115,21.6438,22.0155,21.1704,21.2382,21.543,21.576
09-12-2025-Fri 10-14-20-AM,21.7115,21.6776,21.6438,21.9816,21.0697,21.2051,21.543,21.576
09-12-2025-Fri 10-14-23-AM,21.6438,21.6107,21.6438,21.9816,21.0019,21.2051,21.5091,21.5091
09-12-2025-Fri 10-14-25-AM,21.6438,21.6107,21.6107,21.9478,20.9342,21.2051,21.4752,21.5091
09-12-2025-Fri 10-14-27-AM,21.543,21.576,21.576,21.9139,20.8326,21.2051,21.4414,21.4752
09-12-2025-Fri 10-14-30-AM,21.4752,21.543,21.576,21.9139,20.7657,21.1374,21.4414,21.4414
09-12-2025-Fri 10-14-32-AM,21.3736,21.5091,21.576,21.9139,20.6302,21.1374,21.3736,21.3736
09-12-2025-Fri 10-14-35-AM,21.272,21.4752,21.543,21.88,20.5625,21.1035,21.3736,21.3059
09-12-2025-Fri 10-14-37-AM,21.272,21.3736,21.4752,21.847,20.4278,21.0697,21.3398,21.3059
09-12-2025-Fri 10-14-40-AM,21.2051,21.3398,21.4752,21.8123,20.2923,21.0019,21.272,21.2382
09-12-2025-Fri 10-14-42-AM,21.1704,21.3059,21.4752,21.7792,20.2246,20.9681,21.2051,21.1704
09-12-2025-Fri 10-14-44-AM,21.2382,21.3059,21.4075,21.7792,20.09,20.9003,21.1704,21.1704
09-12-2025-Fri 10-14-47-AM,21.0358,21.3059,21.3736,21.7454,19.9884,20.8665,21.1374,21.1035
09-12-2025-Fri 10-14-49-AM,21.0697,21.2051,21.3398,21.7115,19.8876,20.8326,21.1035,21.0358
09-12-2025-Fri 10-14-52-AM,21.0358,21.1704,21.3059,21.6776,19.786,20.7657,21.0697,21.0019
09-12-2025-Fri 10-14-54-AM,20.9003,21.1035,21.272,21.6438,19.6844,20.7318,21.0019,20.9681
09-12-2025-Fri 10-14-56-AM,21.0019,21.1035,21.2382,21.6107,19.5497,20.6302,21.0019,20.9003
09-12-2025-Fri 10-14-59-AM,20.9342,21.0358,21.2382,21.576,19.4481,20.5625,20.9342,20.8665
09-12-2025-Fri 10-15-01-AM,20.9681,20.9681,21.2051,21.543,19.3465,20.5625,20.8665,20.8326
09-12-2025-Fri 10-15-03-AM,20.7995,20.9342,21.1704,21.5091,19.2796,20.4617,20.8665,20.7657
09-12-2025-Fri 10-15-06-AM,20.7657,20.9003,21.1035,21.5091,19.178,20.3939,21.0019,20.4955
09-12-2025-Fri 10-15-08-AM,20.6979,20.8665,21.2382,21.4414,19.1103,20.4278,20.8665,20.6641
09-12-2025-Fri 10-15-11-AM,20.7995,20.7318,21.0697,21.5091,18.9417,20.3939,20.9681,20.6979
09-12-2025-Fri 10-15-13-AM,20.6641,20.6641,21.1374,21.4075,18.9079,20.2923,20.7995,20.7318
