Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
0.1,5.848,-54.083,0.1,5.856,-50.1567,0.1,5.856,-54.216,0.1,5.86,-49.628,0.1,5.856,-55.899,0.0,5.86,-52.7328,-0.1,5.856,-53.193,0.1,5.856,-52.1055,0.1,5.852,-57.0209,0.1,5.856,-51.892,0.1,5.856,-47.1153,0.0,5.852,-42.145,0.1,5.848,-29.7316,0.0,5.86,-34.184,0.0,5.844,-36.8432,-0.1,5.848,-35.166
0.2,5.848,-54.132,0.6,5.856,-50.2558,0.3,5.856,-54.25,0.5,5.86,-49.6941,0.3,5.86,-56.009,0.3,5.856,-52.7987,0.2,5.86,-53.237,0.3,5.86,-52.1385,0.5,5.852,-57.1528,0.6,5.856,-51.936,0.0,5.856,-47.1483,0.2,5.852,-42.2,0.4,5.844,-29.6651,0.5,5.86,-34.272,0.3,5.848,-36.9096,0.5,5.852,-35.232
0.4,5.848,-54.231,0.5,5.856,-52.2375,0.4,5.856,-56.503,0.5,5.864,-49.7271,0.6,5.856,-56.031,0.6,5.86,-52.8649,0.2,5.856,-53.259,0.3,5.856,-52.2046,0.4,5.848,-57.1528,0.3,5.856,-51.991,0.1,5.856,-47.2144,0.4,5.852,-42.255,0.2,5.844,-29.6651,0.4,5.86,-34.339,0.4,5.848,-37.0424,0.2,5.852,-35.332
0.5,5.848,-54.231,0.4,5.856,-52.3366,0.2,5.856,-56.514,0.2,5.86,-49.7932,0.2,5.856,-56.119,0.1,5.856,-52.9308,0.3,5.86,-53.281,0.3,5.856,-52.2375,-0.1,5.848,-57.1858,0.2,5.856,-52.047,0.7,5.856,-47.2475,0.5,5.852,-42.874,0.3,5.848,-29.6651,0.5,5.86,-34.427,0.4,5.844,-37.1088,0.3,5.852,-35.415
0.5,5.852,-54.264,0.7,5.856,-52.2706,0.4,5.856,-56.635,0.5,5.864,-49.7602,0.5,5.856,-56.184,0.3,5.856,-52.9968,0.2,5.86,-53.314,0.3,5.856,-52.3696,0.7,5.848,-57.2187,0.4,5.856,-52.091,0.1,5.852,-47.7767,0.4,5.852,-42.962,0.6,5.848,-29.6984,0.3,5.864,-34.516,0.1,5.848,-37.2084,0.3,5.852,-35.482
0.6,5.852,-54.264,0.3,5.856,-52.3696,0.5,5.856,-56.679,0.5,5.86,-49.7932,0.3,5.856,-56.228,0.2,5.856,-53.0629,0.0,5.86,-53.348,0.5,5.856,-52.4027,0.3,5.852,-57.2187,0.2,5.856,-52.146,0.1,5.856,-47.8427,0.4,5.852,-42.995,0.4,5.844,-32.3256,0.3,5.86,-34.604,0.2,5.848,-37.2747,0.3,5.852,-35.565
0.4,5.852,-54.314,0.4,5.856,-52.3696,0.5,5.856,-56.733,0.3,5.86,-49.8593,0.4,5.86,-56.294,0.6,5.856,-53.0959,0.1,5.856,-53.381,0.4,5.856,-52.4357,0.3,5.852,-57.2846,0.3,5.856,-52.179,0.3,5.856,-47.909,0.2,5.852,-43.072,0.3,5.848,-32.4253,0.5,5.86,-34.704,0.2,5.844,-37.3743,0.3,5.852,-35.648
0.5,5.852,-54.38,0.5,5.856,-52.4357,0.2,5.856,-56.832,0.5,5.86,-49.8923,0.1,5.856,-56.36,0.3,5.856,-53.1619,0.2,5.86,-53.392,0.4,5.856,-52.5017,0.2,5.852,-57.2846,0.3,5.856,-52.487,0.7,5.856,-47.942,0.2,5.848,-43.105,0.3,5.848,-32.4919,0.2,5.86,-34.804,0.2,5.848,-37.4738,0.2,5.852,-35.731
0.3,5.852,-55.618,0.6,5.86,-52.4357,0.3,5.856,-56.876,0.3,5.864,-50.9496,0.4,5.856,-56.426,0.3,5.856,-53.2279,0.1,5.86,-53.436,0.3,5.86,-52.5347,0.1,5.852,-57.2846,0.3,5.856,-52.674,0.2,5.856,-48.0081,0.3,5.852,-43.194,0.3,5.844,-32.5583,0.2,5.86,-35.069,0.4,5.848,-37.5733,0.2,5.852,-35.83
0.6,5.848,-55.651,0.2,5.852,-52.5347,0.2,5.856,-56.997,0.5,5.86,-50.9496,0.4,5.86,-56.481,0.3,5.856,-53.4259,0.2,5.856,-53.469,0.4,5.856,-52.5678,0.3,5.852,-57.3175,0.2,5.856,-52.707,0.3,5.856,-48.0412,0.4,5.852,-43.238,0.4,5.848,-32.5915,0.2,5.856,-35.18,0.3,5.848,-37.7062,0.4,5.848,-35.913
0.3,5.852,-55.634,0.6,5.856,-52.5678,0.3,5.86,-57.019,0.4,5.86,-50.9825,0.3,5.86,-56.547,0.4,5.856,-53.525,0.5,5.86,-54.228,0.4,5.86,-54.2838,0.1,5.852,-57.3505,0.2,5.86,-52.74,0.2,5.856,-48.1074,0.3,5.856,-43.271,0.3,5.848,-32.8575,0.3,5.864,-36.154,0.2,5.848,-37.9716,0.2,5.852,-36.179
0.4,5.852,-55.684,0.7,5.856,-52.5678,0.5,5.856,-57.261,0.6,5.86,-50.9825,0.3,5.856,-56.591,0.3,5.856,-53.558,0.2,5.856,-54.239,0.4,5.86,-54.3168,0.4,5.852,-57.5811,0.2,5.856,-52.795,0.2,5.856,-48.1074,0.4,5.852,-43.326,0.2,5.848,-32.9572,0.4,5.86,-36.253,0.1,5.848,-38.071,0.1,5.852,-36.262
0.1,5.852,-55.7,0.7,5.86,-53.492,0.3,5.856,-57.305,0.0,5.86,-51.0487,0.4,5.86,-56.657,0.3,5.856,-53.6239,0.1,5.86,-54.261,0.6,5.856,-54.3499,0.3,5.852,-57.5811,0.3,5.856,-52.839,0.1,5.856,-48.1734,0.5,5.856,-44.132,0.2,5.848,-33.0236,0.3,5.86,-36.32,0.2,5.848,-39.0995,0.2,5.852,-37.224
0.3,5.852,-55.733,0.8,5.856,-53.492,0.3,5.856,-57.327,0.5,5.86,-51.0487,0.3,5.86,-59.897,0.2,5.856,-53.6569,0.2,5.856,-54.283,0.3,5.856,-54.3499,0.3,5.848,-57.6471,-0.1,5.86,-52.883,0.1,5.856,-48.8346,0.2,5.852,-44.177,0.4,5.848,-33.0569,0.3,5.86,-36.386,0.2,5.844,-39.199,0.2,5.852,-37.34
