Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
10-24-2025-Fri 17-25-10-PM,22.7597,22.7251,22.692,22.7251,22.0832,22.4211,22.6581,22.7251
10-24-2025-Fri 17-25-12-PM,22.7251,22.7597,22.6581,22.7251,22.0494,22.4211,22.692,22.7251
10-24-2025-Fri 17-25-15-PM,22.7597,22.7251,22.692,22.7251,22.0832,22.4549,22.692,22.7597
10-24-2025-Fri 17-25-17-PM,22.8267,22.7597,22.7251,22.7251,22.0832,22.4549,22.6581,22.7597
10-24-2025-Fri 17-25-20-PM,22.7597,22.7928,22.692,22.7251,22.0832,22.4211,22.6581,22.7597
10-24-2025-Fri 17-25-22-PM,22.7597,22.7251,22.692,22.7251,22.0494,22.4549,22.6581,22.7597
10-24-2025-Fri 17-25-24-PM,22.7928,22.7597,22.692,22.692,22.0494,22.4211,22.6581,22.7597
10-24-2025-Fri 17-25-27-PM,22.7928,22.7251,22.692,22.7251,22.0494,22.4211,22.6581,22.7251
10-24-2025-Fri 17-25-29-PM,22.8267,22.7251,22.692,22.692,22.0494,22.4211,22.6581,22.7597
10-24-2025-Fri 17-25-31-PM,22.7597,22.7251,22.692,22.7928,22.1171,22.4888,22.7928,22.6581
10-24-2025-Fri 17-25-34-PM,22.8605,22.6581,22.692,22.8267,22.1171,22.4888,22.8605,22.8944
10-24-2025-Fri 17-25-36-PM,22.9283,22.7597,22.692,22.7597,22.151,22.3872,22.9283,23.0299
10-24-2025-Fri 17-25-39-PM,22.8605,22.7251,22.7928,22.8267,22.1171,22.4211,22.7597,22.7597
10-24-2025-Fri 17-25-41-PM,22.9283,22.8267,22.7928,22.8267,22.1171,22.4549,22.7928,23.0976
10-24-2025-Fri 17-25-44-PM,22.9621,22.7928,22.7597,22.8267,22.151,22.4549,22.7251,23.1315
10-24-2025-Fri 17-25-46-PM,22.996,22.7597,22.8267,22.8267,22.1848,22.4549,22.8267,23.0976
10-24-2025-Fri 17-25-48-PM,23.0299,22.7597,22.8267,22.7928,22.1848,22.4549,22.692,22.8267
10-24-2025-Fri 17-25-51-PM,22.996,22.7928,22.8267,22.7928,22.1848,22.4549,22.692,22.8267
10-24-2025-Fri 17-25-53-PM,22.996,22.8267,22.7928,22.7597,22.1848,22.4888,22.7251,22.7928
10-24-2025-Fri 17-25-56-PM,23.0299,22.7597,22.7928,22.7597,22.1848,22.4549,22.7251,22.8267
10-24-2025-Fri 17-25-58-PM,22.9621,22.7928,22.7928,22.7928,22.1848,22.4549,22.692,22.7928
10-24-2025-Fri 17-26-00-PM,22.996,22.7251,22.7928,22.7597,22.2187,22.4888,22.692,22.8267
10-24-2025-Fri 17-26-03-PM,22.9621,22.7928,22.7928,22.7597,22.1848,22.4549,22.692,22.7928
10-24-2025-Fri 17-26-05-PM,23.0629,22.8267,22.7928,22.7597,22.1848,22.4549,22.692,22.7928
10-24-2025-Fri 17-26-07-PM,22.8944,22.7597,22.7928,22.7928,22.1848,22.4549,22.6581,22.7928
10-24-2025-Fri 17-26-10-PM,22.9621,22.7597,22.7928,22.7597,22.151,22.4549,22.692,22.7928
