Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
09-27-2025-Sat 11-54-32-AM,22.2187,22.6581,22.151,22.2864,21.4414,21.576,21.1704,21.4414
09-27-2025-Sat 11-54-35-AM,22.2526,22.5904,22.1171,22.2864,21.4414,21.543,21.1704,21.4414
09-27-2025-Sat 11-54-37-AM,22.2187,22.692,22.1171,22.2864,21.4075,21.543,21.1374,21.4414
09-27-2025-Sat 11-54-40-AM,22.2526,22.6581,22.1171,22.2526,21.4075,21.543,21.1704,21.4752
09-27-2025-Sat 11-54-42-AM,22.2526,22.6243,22.1171,22.2864,21.4075,21.543,21.1704,21.4414
09-27-2025-Sat 11-54-44-AM,22.151,22.5904,22.2187,22.2864,21.4075,21.543,21.2051,21.7792
09-27-2025-Sat 11-54-47-AM,22.2526,22.5565,22.1171,22.3195,21.3736,21.6107,21.2382,21.6438
09-27-2025-Sat 11-54-49-AM,22.2187,22.5904,22.2187,22.3542,21.5091,21.576,21.272,21.576
09-27-2025-Sat 11-54-52-AM,22.2864,22.692,22.2526,22.1848,21.576,21.576,21.4752,21.4752
09-27-2025-Sat 11-54-54-AM,22.2864,22.6243,22.1848,22.3872,21.4752,21.576,21.4752,21.576
09-27-2025-Sat 11-54-56-AM,22.2864,22.5904,22.2526,22.5565,21.5091,21.576,21.4075,21.7115
09-27-2025-Sat 11-54-59-AM,22.3542,22.692,22.151,22.4888,21.4752,21.6107,21.1704,21.9139
09-27-2025-Sat 11-55-01-AM,22.4211,22.692,22.3195,22.4888,21.4752,21.543,21.4752,21.7454
09-27-2025-Sat 11-55-04-AM,22.4211,22.6243,22.2864,22.4549,21.4752,21.6438,21.4075,21.6776
09-27-2025-Sat 11-55-06-AM,22.3872,22.6243,22.151,22.4888,21.5091,21.6107,21.3398,21.6438
09-27-2025-Sat 11-55-08-AM,22.4888,22.692,22.2526,22.4888,21.4752,21.6438,21.3736,21.8123
09-27-2025-Sat 11-55-11-AM,22.4888,22.6243,22.151,22.5565,21.543,21.6438,21.3736,21.6776
09-27-2025-Sat 11-55-13-AM,22.4888,22.692,22.3195,22.5227,21.6107,21.7115,21.4752,22.1171
09-27-2025-Sat 11-55-16-AM,22.4888,22.7251,22.151,22.5904,21.6438,21.6438,21.4414,21.9139
09-27-2025-Sat 11-55-18-AM,22.5565,22.7251,22.3195,22.6581,21.576,21.6776,21.3398,21.847
09-27-2025-Sat 11-55-20-AM,22.5565,22.7251,22.2526,22.5904,21.543,21.6438,21.3398,21.6776
09-27-2025-Sat 11-55-23-AM,22.5565,22.7251,22.2187,22.5904,21.576,21.6438,21.3059,21.6438
09-27-2025-Sat 11-55-25-AM,22.5227,22.7928,22.2187,22.5565,21.576,21.6438,21.3398,21.6107
09-27-2025-Sat 11-55-28-AM,22.5227,22.7251,22.2187,22.5565,21.576,21.6107,21.3059,21.6107
09-27-2025-Sat 11-55-31-AM,22.5904,22.6243,22.2187,22.5565,21.543,21.6107,21.3059,21.6107
09-27-2025-Sat 11-55-33-AM,22.4888,22.692,22.2187,22.5565,21.5091,21.6107,21.3398,21.6107
09-27-2025-Sat 11-55-36-AM,22.5565,22.7251,22.2187,22.5227,21.543,21.6107,21.3059,21.6107
09-27-2025-Sat 11-55-38-AM,22.4211,22.7597,22.1848,22.5227,21.543,21.576,21.3059,21.576
09-27-2025-Sat 11-55-40-AM,22.5227,22.692,22.1848,22.5565,21.5091,21.576,21.272,21.6107
09-27-2025-Sat 11-55-43-AM,22.5227,22.6581,22.1848,22.5227,21.5091,21.576,21.3059,21.576
09-27-2025-Sat 11-55-45-AM,22.4211,22.5904,22.1848,22.5227,21.5091,21.576,21.272,21.576
09-27-2025-Sat 11-55-48-AM,22.4888,22.692,22.1848,22.5565,21.5091,21.576,21.3059,21.576
09-27-2025-Sat 11-55-50-AM,22.4888,22.7251,22.151,22.5227,21.5091,21.576,21.3059,21.576
09-27-2025-Sat 11-55-52-AM,22.4549,22.692,22.151,22.5227,21.5091,21.576,21.3059,21.576
09-27-2025-Sat 11-55-55-AM,22.4549,22.6243,22.151,22.4888,21.5091,21.576,21.3059,21.576
09-27-2025-Sat 11-55-57-AM,22.4888,22.6243,22.151,22.5227,21.5091,21.543,21.272,21.576
09-27-2025-Sat 11-55-59-AM,22.4888,22.5904,22.151,22.4888,21.4752,21.543,21.3059,21.576
09-27-2025-Sat 11-56-02-AM,22.5565,22.6581,22.1171,22.5227,21.5091,21.543,21.3059,21.576
09-27-2025-Sat 11-56-04-AM,22.4549,22.5904,22.1171,22.5227,21.4752,21.543,21.3059,21.576
09-27-2025-Sat 11-56-07-AM,22.4549,22.5904,22.151,22.5227,21.4752,21.543,21.3059,21.576
09-27-2025-Sat 11-56-09-AM,22.4211,22.5904,22.1171,22.4888,21.5091,21.5091,21.272,21.576
09-27-2025-Sat 11-56-11-AM,22.4549,22.5565,22.151,22.5227,21.4752,21.543,21.3059,21.543
09-27-2025-Sat 11-56-14-AM,22.4211,22.5904,22.1171,22.4888,21.4752,21.543,21.272,21.543
09-27-2025-Sat 11-56-16-AM,22.4211,22.5565,22.1171,22.4888,21.4414,21.5091,21.3059,21.576
09-27-2025-Sat 11-56-18-AM,22.4211,22.6243,22.0832,22.4549,21.4414,21.5091,21.272,21.5091
09-27-2025-Sat 11-56-21-AM,22.4549,22.5227,22.1171,22.4549,21.4414,21.5091,21.272,21.5091
09-27-2025-Sat 11-56-23-AM,22.3542,22.4888,22.0832,22.4549,21.4075,21.4752,21.272,21.5091
09-27-2025-Sat 11-56-26-AM,22.3542,22.4549,22.0832,22.4549,21.3736,21.4752,21.272,21.4752
09-27-2025-Sat 11-56-28-AM,22.3872,22.5565,22.0494,22.4549,21.3736,21.4075,21.2382,21.4414
09-27-2025-Sat 11-56-30-AM,22.3195,22.5227,22.0494,22.4211,21.3398,21.3736,21.2382,21.4075
09-27-2025-Sat 11-56-33-AM,22.4211,22.4211,22.0155,22.4211,21.272,21.3398,21.2051,21.3059
09-27-2025-Sat 11-56-35-AM,22.3542,22.4549,22.0155,22.3872,21.272,21.272,21.1704,21.2382
09-27-2025-Sat 11-56-37-AM,22.3195,22.4211,21.9816,22.3542,21.2051,21.2382,21.1704,21.1704
09-27-2025-Sat 11-56-40-AM,22.3195,22.4211,21.9816,22.3542,21.1374,21.1704,21.1704,21.1035
09-27-2025-Sat 11-56-42-AM,22.2187,22.3542,21.9816,22.3195,21.0358,21.1374,21.1374,20.9681
09-27-2025-Sat 11-56-45-AM,22.2526,22.3872,21.9816,22.2864,20.9681,21.0697,21.1035,20.9003
09-27-2025-Sat 11-56-47-AM,22.2187,22.2864,21.9478,22.2864,20.8326,21.0019,21.0358,20.7995
09-27-2025-Sat 11-56-50-AM,22.151,22.2187,21.9139,22.2187,20.6641,20.9003,20.9681,20.6641
09-27-2025-Sat 11-56-52-AM,22.151,22.2187,21.88,22.2187,20.5963,20.7995,20.9342,20.5625
09-27-2025-Sat 11-56-54-AM,22.1848,22.1171,21.847,22.151,20.4617,20.6641,20.8665,20.4278
09-27-2025-Sat 11-56-57-AM,22.1848,22.0494,21.847,22.1171,20.2923,20.5286,20.7995,20.3262
09-27-2025-Sat 11-56-59-AM,22.0155,21.9816,21.8123,22.0832,20.1238,20.4617,20.6979,20.2246
09-27-2025-Sat 11-57-01-AM,21.9816,21.9478,21.7792,22.0494,19.9884,20.3601,20.6302,20.09
09-27-2025-Sat 11-57-06-AM,21.9139,21.88,21.7454,21.9816,19.786,20.2593,20.5286,19.9884
09-27-2025-Sat 11-57-11-AM,21.847,21.7454,21.6107,21.88,19.4481,19.9884,20.3262,19.7182
09-27-2025-Sat 11-57-15-AM,21.6776,21.4752,21.543,21.8123,19.0764,19.7182,20.3601,19.6505
09-27-2025-Sat 11-57-18-AM,21.6107,21.3736,21.6107,21.7115,18.6377,19.5158,20.09,19.4481
09-27-2025-Sat 11-57-20-AM,21.6107,21.2382,21.5091,21.7115,18.4684,19.3804,19.8876,19.3126
09-27-2025-Sat 11-57-23-AM,21.4075,21.2051,21.3736,21.576,18.233,19.2796,19.7521,19.2796
09-27-2025-Sat 11-57-25-AM,21.4075,21.0358,21.3398,21.4414,17.9967,19.1103,19.5158,19.1441
09-27-2025-Sat 11-57-28-AM,21.3398,21.0358,21.2382,21.3398,17.7935,18.9756,19.4142,19.0433
09-27-2025-Sat 11-57-30-AM,21.2382,20.7995,21.1704,21.272,17.5911,18.8401,19.2796,18.9417
09-27-2025-Sat 11-57-32-AM,21.1374,20.7318,21.1035,21.2051,17.3549,18.6716,19.1441,18.8401
09-27-2025-Sat 11-57-35-AM,21.0019,20.5963,21.0019,21.1035,17.1525,18.5031,19.0433,18.6716
09-27-2025-Sat 11-57-37-AM,20.9681,20.5286,20.9342,21.0358,16.9501,18.4015,18.9417,18.5031
09-27-2025-Sat 11-57-40-AM,20.8326,20.3601,20.8665,20.9342,16.7815,18.233,18.8071,18.4015
09-27-2025-Sat 11-57-42-AM,20.7318,20.2246,20.7657,20.8326,16.5791,18.0644,18.6377,18.266
09-27-2025-Sat 11-57-45-AM,20.5963,20.1577,20.6641,20.7318,16.376,17.929,18.5031,18.1991
09-27-2025-Sat 11-57-47-AM,20.4955,20.09,20.5963,20.6641,16.2082,17.7604,18.3676,18.0975
09-27-2025-Sat 11-57-49-AM,20.4278,19.8876,20.5286,20.5963,16.0058,17.6588,18.1991,18.0298
09-27-2025-Sat 11-57-52-AM,20.2923,19.8537,20.4278,20.5286,15.8026,17.4903,18.0644,17.929
09-27-2025-Sat 11-57-54-AM,20.1916,19.7182,20.3262,20.4278,15.6341,17.3887,17.8951,17.8274
09-27-2025-Sat 11-57-57-AM,20.0561,19.6166,20.2593,20.3601,15.3979,17.2541,17.7604,17.6927
09-27-2025-Sat 11-57-59-AM,19.9545,19.5497,20.2246,20.2923,15.2293,17.1186,17.625,17.5911
09-27-2025-Sat 11-58-01-AM,19.8537,19.3804,20.09,20.1916,15.0608,16.9839,17.4565,17.4903
09-27-2025-Sat 11-58-04-AM,19.786,19.2796,20.0222,20.09,14.8584,16.8154,17.2871,17.3549
09-27-2025-Sat 11-58-06-AM,19.6505,19.2119,19.9206,20.0222,14.656,16.6461,17.1525,17.2541
09-27-2025-Sat 11-58-09-AM,19.482,19.1441,19.8198,19.9545,14.4875,16.4776,16.9839,17.1186
09-27-2025-Sat 11-58-11-AM,19.482,19.0433,19.7521,19.8537,14.319,16.3429,16.8154,17.017
09-27-2025-Sat 11-58-14-AM,19.4142,18.9417,19.6505,19.786,14.1505,16.1736,16.6799,16.9501
09-27-2025-Sat 11-58-16-AM,19.1441,18.8071,19.5836,19.6844,13.9481,16.0728,16.5453,16.8154
09-27-2025-Sat 11-58-18-AM,19.1103,18.7724,19.482,19.6166,13.8134,15.9381,16.4437,16.6799
09-27-2025-Sat 11-58-21-AM,19.0095,18.6039,19.3804,19.5158,13.6449,15.8026,16.309,16.5453
09-27-2025-Sat 11-58-23-AM,18.9417,18.4684,19.3126,19.4142,13.5102,15.7357,16.1405,16.4437
09-27-2025-Sat 11-58-25-AM,18.9079,18.3676,19.2457,19.3465,13.3409,15.6003,16.0389,16.376
09-27-2025-Sat 11-58-28-AM,18.7393,18.3337,19.1441,19.2457,13.1732,15.4317,15.8704,16.2752
09-27-2025-Sat 11-58-30-AM,18.57,18.1991,19.0764,19.1441,13.0038,15.2971,15.7019,16.1405
09-27-2025-Sat 11-58-32-AM,18.57,18.0975,18.9417,19.0764,12.8692,15.1624,15.5672,16.0058
09-27-2025-Sat 11-58-35-AM,18.4353,18.0644,18.9417,19.0764,12.7007,15.0608,15.6341,16.0389
09-27-2025-Sat 11-58-37-AM,18.3676,17.9967,18.7393,19.1103,12.5321,14.8584,15.4656,15.9712
09-27-2025-Sat 11-58-40-AM,18.3337,17.8274,18.7393,18.9756,12.4983,14.8584,15.3648,15.8365
09-27-2025-Sat 11-58-42-AM,18.266,17.7604,18.6377,18.9417,12.2967,14.7238,15.2971,15.6003
09-27-2025-Sat 11-58-44-AM,18.0644,17.6588,18.6039,18.7393,12.1951,14.5552,15.1285,15.7019
09-27-2025-Sat 11-58-47-AM,18.0298,17.558,18.6039,18.7055,11.9935,14.4875,14.8923,15.4995
09-27-2025-Sat 11-58-49-AM,17.9628,17.5234,18.4015,18.5361,11.825,14.3528,14.7238,15.3309
09-27-2025-Sat 11-58-51-AM,17.8612,17.4226,18.2999,18.4353,11.6895,14.2512,14.6222,15.2293
09-27-2025-Sat 11-58-54-AM,17.7266,17.321,18.1991,18.3337,11.5548,14.0827,14.4536,15.0947
09-27-2025-Sat 11-58-56-AM,17.6927,17.1863,18.0975,18.266,11.4202,13.9819,14.319,14.9931
09-27-2025-Sat 11-58-58-AM,17.5234,17.1186,18.0298,18.1652,11.2855,13.8803,14.2182,14.9262
09-27-2025-Sat 11-59-01-AM,17.4226,17.017,17.929,18.0644,11.1509,13.7795,14.0827,14.7907
09-27-2025-Sat 11-59-04-AM,17.3549,16.8823,17.8274,17.9628,10.9823,13.6449,13.9819,14.6899
09-27-2025-Sat 11-59-06-AM,17.2202,16.7815,17.7266,17.8612,10.8138,13.5102,13.8134,14.5883
09-27-2025-Sat 11-59-08-AM,17.0517,16.6799,17.625,17.7604,10.713,13.4425,13.6779,14.4536
09-27-2025-Sat 11-59-11-AM,17.0517,16.6461,17.558,17.6588,10.5784,13.274,13.5771,14.3867
09-27-2025-Sat 11-59-13-AM,16.9162,16.5453,17.4565,17.5911,10.4437,13.2062,13.4425,14.2512
09-27-2025-Sat 11-59-18-AM,16.8493,16.4437,17.3887,17.4903,10.2752,13.0716,13.3409,14.1166
09-27-2025-Sat 11-59-23-AM,16.613,16.2752,17.1863,17.321,10.0059,12.8353,13.1054,13.9481
09-27-2025-Sat 11-59-27-AM,16.4106,16.0728,17.017,17.1186,9.77042,12.5999,12.9369,13.7795
09-27-2025-Sat 11-59-30-AM,16.2082,15.8704,16.8493,16.9501,9.53416,12.3297,12.6676,13.6449
09-27-2025-Sat 11-59-32-AM,16.2082,15.8365,16.7477,16.8493,9.36563,12.229,12.566,13.5433
09-27-2025-Sat 11-59-35-AM,16.0389,15.7019,16.7138,16.7477,9.26484,12.162,12.3975,13.4425
09-27-2025-Sat 11-59-37-AM,15.9712,15.6341,16.613,16.6461,9.13018,12.0604,12.3297,13.3409
09-27-2025-Sat 11-59-40-AM,15.9042,15.5333,16.5453,16.5791,8.99553,11.9935,12.2628,13.2401
09-27-2025-Sat 11-59-42-AM,15.7688,15.4995,16.4106,16.5453,8.827,11.9258,12.162,13.2062
09-27-2025-Sat 11-59-45-AM,15.5672,15.3979,16.4106,16.4776,8.76007,11.7242,12.229,13.3409
09-27-2025-Sat 11-59-47-AM,15.4995,15.2632,16.4106,16.309,8.62542,11.6564,12.1282,13.1054
09-27-2025-Sat 11-59-50-AM,15.5333,15.2971,16.2752,16.4106,8.52462,11.5887,11.9935,13.2401
09-27-2025-Sat 11-59-52-AM,15.3979,15.1955,16.1736,16.2082,8.52462,11.4541,11.825,13.0038
09-27-2025-Sat 11-59-54-AM,15.4317,15.0947,16.1405,16.0728,8.3561,11.4202,11.9258,12.903
09-27-2025-Sat 11-59-59-AM,15.2632,15.0269,16.0728,16.1405,8.22144,11.3194,11.7911,12.8353
09-27-2025-Sat 12-00-02-PM,15.2293,14.8923,15.9712,15.8365,8.08678,11.117,11.5548,12.8023
09-27-2025-Sat 12-00-04-PM,15.1624,14.7907,15.7357,15.8026,7.91826,11.0501,11.4541,12.9369
09-27-2025-Sat 12-00-07-PM,15.0608,14.7907,15.8026,15.7688,7.81746,11.0162,11.1847,12.3975
09-27-2025-Sat 12-00-09-PM,14.8923,14.6899,15.6003,15.7357,7.7836,10.9154,11.1509,12.5321
09-27-2025-Sat 12-00-11-PM,14.8923,14.6222,15.5672,15.4995,7.68281,10.8477,11.2517,12.6676
09-27-2025-Sat 12-00-14-PM,14.8246,14.5552,15.4995,15.4995,7.61588,10.7469,10.8477,12.1951
09-27-2025-Sat 12-00-16-PM,14.7238,14.4206,15.4656,15.3309,7.48122,10.7469,10.9154,12.229
09-27-2025-Sat 12-00-19-PM,14.656,14.3867,15.3309,15.2293,7.31269,10.5784,10.713,12.162
09-27-2025-Sat 12-00-21-PM,14.5883,14.2851,15.3309,15.2293,7.31269,10.5106,10.9485,12.3975
09-27-2025-Sat 12-00-24-PM,14.5552,14.2182,15.1955,15.0947,7.17804,10.4098,10.6122,11.8919
09-27-2025-Sat 12-00-26-PM,14.3867,14.1166,15.0947,14.96,7.11111,10.3091,10.5106,11.7911
09-27-2025-Sat 12-00-28-PM,14.2512,13.9819,15.0269,14.8923,7.00951,10.2413,10.4098,11.7242
09-27-2025-Sat 12-00-31-PM,14.2512,13.8803,14.96,14.8246,6.90872,10.1405,10.3091,11.6226
09-27-2025-Sat 12-00-33-PM,14.0497,13.8134,14.8584,14.7238,6.84179,10.0389,10.2413,11.5548
09-27-2025-Sat 12-00-35-PM,14.1166,13.7126,14.7576,14.656,6.741,9.90427,10.1405,11.4879
