Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-64.5911,0.1,5.912,-58.328,0.1,5.912,-61.5985,0.1,5.908,-60.402,0.1,5.904,-64.854,0.1,5.92,-68.127,0.1,5.9,-66.9236,0.1,5.908,-66.858
,,,,,,,,,,,,,,,,,,,,,,,,0.4,5.904,-65.4455,0.5,5.912,-58.405,0.7,5.908,-61.5656,0.3,5.912,-60.413,0.1,5.9,-64.854,0.2,5.92,-68.926,0.4,5.904,-66.9564,0.4,5.908,-67.121
,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.9,-65.5112,0.4,5.908,-58.69,0.3,5.912,-61.5985,0.2,5.908,-60.424,0.4,5.9,-64.9197,0.2,5.916,-68.948,0.4,5.904,-66.9564,0.5,5.908,-67.17
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-65.544,0.5,5.908,-58.734,0.3,5.912,-61.5985,0.4,5.908,-60.435,0.3,5.9,-64.9526,0.2,5.92,-68.97,0.6,5.904,-67.0221,0.5,5.908,-67.203
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.9,-66.1682,0.2,5.908,-58.778,0.4,5.908,-61.6314,0.4,5.908,-60.457,0.4,5.9,-64.9526,0.1,5.92,-68.969,0.4,5.904,-67.0549,0.5,5.908,-67.219
,,,,,,,,,,,,,,,,,,,,,,,,0.5,5.904,-66.1682,0.4,5.912,-60.095,0.2,5.912,-61.6314,0.2,5.912,-60.468,0.3,5.904,-65.2155,0.4,5.916,-69.112,0.4,5.9,-67.1205,0.4,5.908,-67.268
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.908,-66.201,0.6,5.912,-60.062,0.3,5.912,-61.6643,0.5,5.912,-60.479,0.4,5.904,-65.2484,0.3,5.916,-69.134,0.3,5.904,-67.6787,0.4,5.908,-67.285
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.9,-66.5623,0.5,5.912,-60.095,0.3,5.908,-62.092,0.2,5.912,-60.677,0.2,5.904,-65.2812,0.3,5.92,-69.144,0.4,5.9,-67.7115,0.3,5.908,-67.35
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-66.5952,0.2,5.912,-61.126,0.0,5.912,-62.092,0.4,5.912,-60.71,0.2,5.904,-65.3139,0.5,5.92,-69.407,0.3,5.9,-67.7115,0.3,5.908,-67.958
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-66.6279,0.2,5.908,-61.149,0.3,5.908,-62.092,0.2,5.908,-60.721,0.4,5.9,-65.3139,0.1,5.916,-69.44,0.2,5.9,-67.7444,0.2,5.908,-67.99
,,,,,,,,,,,,,,,,,,,,,,,,0.3,5.9,-66.6279,0.3,5.908,-61.149,0.2,5.908,-62.1249,0.4,5.912,-60.743,0.4,5.904,-65.3468,0.2,5.92,-69.44,0.2,5.9,-67.7771,0.3,5.908,-67.99
,,,,,,,,,,,,,,,,,,,,,,,,0.1,5.904,-66.6279,0.2,5.912,-61.192,0.3,5.912,-62.1249,0.2,5.908,-61.346,0.2,5.9,-65.3797,0.2,5.92,-69.462,0.1,5.904,-67.7771,0.3,5.904,-68.023
,,,,,,,,,,,,,,,,,,,,,,,,0.2,5.904,-66.6937,0.1,5.908,-61.181,0.2,5.912,-62.1249,0.7,5.912,-61.357,0.4,5.904,-65.9054,0.1,5.92,-70.566,0.0,5.904,-67.81,0.2,5.908,-68.056
