Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell 9 Current,Cell 9 Voltage,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 16 Current,Cell 16 Voltage,Cell 2 Temp,Cell 4 Temp,Cell 6 Temp,Cell 8 Temp,Cell 9 Temp,Cell 11 Temp,Cell 13 Temp,Cell 15 Temp,Timestamp,Cell 1 Temp,Cell 3 Temp,Cell 5 Temp,Cell 7 Temp,Cell 10 Temp,Cell 12 Temp,Cell 14 Temp,Cell 16 Temp
,,,,,,,,,,,,,,,,106.8,5.656,97.4,5.66,127.6,5.652,113.8,5.712,97.5,5.62,133.9,5.68,109.3,5.6,120.0,5.596,20.2923,21.0358,20.6302,22.0494,19.1441,19.6844,18.2999,19.9545,4,19.718,20.338,19.989,20.878,19.707,19.673,19.628,21.002
,,,,,,,,,,,,,,,,103.7,5.608,95.6,5.616,122.0,5.608,109.2,5.66,95.4,5.568,127.7,5.632,102.3,5.556,114.8,5.552,20.3262,21.0019,20.6302,22.0494,19.178,19.6844,18.3337,19.7521,5,19.752,20.338,19.989,20.811,19.73,19.673,19.572,20.901
,,,,,,,,,,,,,,,,103.6,5.608,96.2,5.616,120.9,5.608,108.7,5.664,95.5,5.572,126.5,5.636,101.5,5.56,113.6,5.556,20.2593,21.0358,20.5963,21.88,19.178,19.6844,18.1652,19.8876,6,19.719,20.326,19.932,20.788,19.707,19.628,19.55,20.884
,,,,,,,,,,,,,,,,102.9,5.612,95.8,5.62,119.9,5.612,108.2,5.664,95.4,5.572,125.4,5.636,101.7,5.564,113.0,5.556,20.3601,21.0019,20.6641,22.0494,19.2119,19.7182,18.4015,19.8876,7,19.786,20.36,20.022,20.867,19.763,19.707,19.651,20.968
,,,,,,,,,,,,,,,,102.9,5.612,95.9,5.616,118.9,5.612,108.1,5.668,95.2,5.576,124.6,5.636,101.7,5.564,113.1,5.56,20.3939,21.0358,20.6979,21.9478,19.2119,19.6844,18.4015,20.0561,8,19.803,20.371,20.045,20.901,19.763,19.707,19.719,21.002
,,,,,,,,,,,,,,,,102.3,5.612,95.3,5.62,118.3,5.612,107.6,5.672,95.3,5.576,124.0,5.64,101.7,5.564,112.6,5.56,20.3601,21.1035,20.6641,22.0155,19.2457,19.7182,18.4353,19.9545,9,19.803,20.394,20.068,20.878,19.775,19.752,19.685,20.985
,,,,,,,,,,,,,,,,102.2,5.616,95.2,5.62,117.6,5.612,107.7,5.668,95.2,5.584,123.5,5.64,101.2,5.564,111.5,5.56,20.4617,21.0697,20.8326,22.1171,19.3126,19.7182,18.4015,19.9884,10,19.887,20.417,20.101,20.979,19.831,19.73,19.741,21.053
,,,,,,,,,,,,,,,,105.9,5.664,96.4,5.672,122.9,5.66,112.5,5.716,99.3,5.628,130.1,5.692,103.5,5.612,114.0,5.608,20.4617,21.0358,20.6302,22.1171,19.3126,19.7521,18.4684,19.9545,23,19.887,20.417,20.045,20.901,19.842,19.752,19.684,21.036
,,,,,,,,,,,,,,,,101.7,5.612,94.4,5.62,118.1,5.612,108.5,5.668,95.8,5.576,124.8,5.644,99.9,5.564,109.7,5.564,20.3939,21.0697,20.7318,22.151,19.3126,19.6844,18.57,20.0222,24,19.853,20.383,20.124,20.968,19.797,19.775,19.775,21.087
,,,,,,,,,,,,,,,,101.3,5.62,94.2,5.624,117.0,5.616,107.7,5.672,94.7,5.58,123.5,5.644,99.7,5.568,109.0,5.564,20.4278,21.1035,20.7657,22.0494,19.3804,19.7182,18.4353,20.2593,25,19.904,20.416,20.102,21.025,19.842,19.752,19.82,21.154
