Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
09-05-2025-Fri 16-34-33-PM,20.3601,21.0358,20.5963,22.0494,19.1103,19.6844,18.2999,20.0561
09-05-2025-Fri 16-34-36-PM,20.3262,21.0019,20.5963,21.9478,19.1441,19.6844,18.0975,19.8198
09-05-2025-Fri 16-34-38-PM,20.3262,21.0358,20.6302,21.9478,19.1441,19.6844,18.0975,19.8198
09-05-2025-Fri 16-34-41-PM,20.2923,21.0697,20.6302,21.9478,19.1441,19.6844,18.1314,19.8198
09-05-2025-Fri 16-34-43-PM,20.2923,21.0358,20.6302,22.0494,19.1441,19.6844,18.2999,19.9545
09-05-2025-Fri 16-34-45-PM,20.3262,21.0019,20.6302,22.0494,19.178,19.6844,18.3337,19.7521
09-05-2025-Fri 16-34-48-PM,20.2593,21.0358,20.5963,21.88,19.178,19.6844,18.1652,19.8876
09-05-2025-Fri 16-34-50-PM,20.3601,21.0019,20.6641,22.0494,19.2119,19.7182,18.4015,19.8876
09-05-2025-Fri 16-34-53-PM,20.3939,21.0358,20.6979,21.9478,19.2119,19.6844,18.4015,20.0561
09-05-2025-Fri 16-34-55-PM,20.3601,21.1035,20.6641,22.0155,19.2457,19.7182,18.4353,19.9545
09-05-2025-Fri 16-34-57-PM,20.4617,21.0697,20.8326,22.1171,19.3126,19.7182,18.4015,19.9884
09-05-2025-Fri 16-35-00-PM,20.4278,21.0358,20.7657,22.0155,19.2796,19.7521,18.2999,19.9545
09-05-2025-Fri 16-35-02-PM,20.4617,21.1035,20.7657,22.0494,19.2796,19.7521,18.2999,20.0561
09-05-2025-Fri 16-35-05-PM,20.4617,21.0697,20.7318,22.0155,19.2796,19.7182,18.57,20.0561
09-05-2025-Fri 16-35-07-PM,20.4955,21.0697,20.7318,21.9816,19.2796,19.7521,18.2999,19.8537
09-05-2025-Fri 16-35-09-PM,20.5286,21.1374,20.7318,22.0155,19.2796,19.7182,18.266,19.8537
09-05-2025-Fri 16-35-12-PM,20.4278,21.1374,20.6979,22.0155,19.3126,19.7182,18.2999,19.8198
09-05-2025-Fri 16-35-14-PM,20.4278,21.1374,20.7318,22.0155,19.2796,19.7182,18.266,19.8198
09-05-2025-Fri 16-35-16-PM,20.3939,21.1035,20.7318,22.0155,19.3126,19.7521,18.2999,19.8537
09-05-2025-Fri 16-35-19-PM,20.4617,21.1374,20.7318,22.0155,19.3126,19.7182,18.266,19.8537
09-05-2025-Fri 16-35-21-PM,20.5625,21.1035,20.7318,21.9816,19.3126,19.7182,18.266,19.8537
09-05-2025-Fri 16-35-24-PM,20.4278,21.0358,20.7318,21.9816,19.3126,19.7182,18.266,19.8537
09-05-2025-Fri 16-35-26-PM,20.4278,21.1704,20.7657,22.0155,19.3126,19.7182,18.2999,19.8198
09-05-2025-Fri 16-35-29-PM,20.4617,21.0358,20.6302,22.1171,19.3126,19.7521,18.4684,19.9545
09-05-2025-Fri 16-35-31-PM,20.3939,21.0697,20.7318,22.151,19.3126,19.6844,18.57,20.0222
09-05-2025-Fri 16-35-33-PM,20.4278,21.1035,20.7657,22.0494,19.3804,19.7182,18.4353,20.2593
09-05-2025-Fri 16-35-36-PM,20.4955,21.0697,20.8326,22.0494,19.3465,19.7521,18.4684,20.09
09-05-2025-Fri 16-35-38-PM,20.4617,21.1374,20.7995,22.0494,19.3804,19.7521,18.5031,20.2246
09-05-2025-Fri 16-35-41-PM,20.4955,21.1374,20.7657,22.0155,19.4481,19.6505,18.4353,19.9884
09-05-2025-Fri 16-35-43-PM,20.5625,21.0697,20.8326,22.2187,19.4481,19.7521,18.57,20.2923
09-05-2025-Fri 16-35-45-PM,20.4955,21.1374,20.8326,22.0494,19.5158,19.7521,18.6039,19.9884
09-05-2025-Fri 16-35-48-PM,20.5286,21.1704,20.8326,22.2187,19.482,19.7182,18.4684,19.9206
09-05-2025-Fri 16-35-50-PM,20.6302,21.1035,20.8326,22.0494,19.5158,19.7521,18.6377,20.1238
09-05-2025-Fri 16-35-53-PM,20.6302,21.1374,20.9003,22.151,19.482,19.7521,18.7393,20.2246
09-05-2025-Fri 16-35-55-PM,20.5963,21.1035,20.9342,22.2526,19.4481,19.786,18.6716,20.0561
09-05-2025-Fri 16-35-57-PM,20.6979,21.1704,20.9681,22.1848,19.5836,19.8198,18.7055,20.1577
09-05-2025-Fri 16-36-00-PM,20.5625,21.1374,20.8665,22.151,19.5158,19.786,18.5031,19.8876
09-05-2025-Fri 16-36-02-PM,20.6641,21.1704,20.9003,22.151,19.5158,19.786,18.5031,19.8876
09-05-2025-Fri 16-36-04-PM,20.6979,21.2382,20.9342,22.1171,19.5158,19.786,18.5031,19.8876
09-05-2025-Fri 16-36-07-PM,20.6979,21.1035,20.9003,22.151,19.5158,19.8198,18.5361,19.8537
09-05-2025-Fri 16-36-10-PM,20.6302,21.2382,20.8665,22.1171,19.482,19.8198,18.5031,19.8876
09-05-2025-Fri 16-36-14-PM,20.6641,21.2382,20.9003,22.1171,19.5158,19.786,18.5031,19.8537
09-05-2025-Fri 16-36-19-PM,20.6979,21.1374,20.9003,22.1171,19.482,19.786,18.5361,19.8537
09-05-2025-Fri 16-36-24-PM,20.5625,21.2051,20.9003,22.0832,19.5158,19.8198,18.5361,19.8537
09-05-2025-Fri 16-36-28-PM,20.5963,21.2382,20.9003,22.1171,19.482,19.786,18.5361,19.8876
09-05-2025-Fri 16-36-32-PM,20.5963,21.1035,20.9003,22.0832,19.5158,19.7521,18.57,19.8198
09-05-2025-Fri 16-36-35-PM,20.6979,21.2051,20.8665,22.1171,19.482,19.7182,18.57,19.8198
09-05-2025-Fri 16-36-37-PM,20.5286,21.0358,20.9003,22.1171,19.482,19.7182,18.57,19.8198
09-05-2025-Fri 16-36-40-PM,20.5286,21.2051,20.9003,22.0832,19.482,19.6844,18.57,19.8198
09-05-2025-Fri 16-36-42-PM,20.6641,21.1374,20.8665,22.0832,19.4481,19.6505,18.57,19.786
09-05-2025-Fri 16-36-44-PM,20.5963,21.2051,20.8665,22.0832,19.4481,19.6166,18.57,19.786
09-05-2025-Fri 16-36-47-PM,20.5963,21.1035,20.9003,22.0832,19.4142,19.5836,18.57,19.7521
09-05-2025-Fri 16-36-49-PM,20.6302,21.1704,20.8665,22.0494,19.3804,19.5158,18.57,19.7182
09-05-2025-Fri 16-36-52-PM,20.6641,21.1035,20.8665,22.0155,19.3465,19.482,18.57,19.6505
09-05-2025-Fri 16-36-56-PM,20.5963,21.1374,20.8665,22.0494,19.2796,19.4142,18.57,19.6505
09-05-2025-Fri 16-36-58-PM,20.5963,21.0697,20.8665,22.0155,19.178,19.3126,18.5031,19.5158
09-05-2025-Fri 16-37-00-PM,20.4955,21.0697,20.8326,21.9816,19.1103,19.2457,18.5361,19.4481
09-05-2025-Fri 16-37-03-PM,20.5625,21.0019,20.8326,21.9478,18.9756,19.1103,18.4684,19.3804
09-05-2025-Fri 16-37-05-PM,20.4617,21.0019,20.7995,21.9139,18.9079,19.0433,18.4684,19.2796
09-05-2025-Fri 16-37-07-PM,20.4955,21.0358,20.7995,21.847,18.8071,18.9417,18.4684,19.178
09-05-2025-Fri 16-37-10-PM,20.4955,20.9003,20.7995,21.8123,18.7055,18.874,18.4015,19.1441
09-05-2025-Fri 16-37-12-PM,20.4278,20.9342,20.7657,21.7792,18.6039,18.7724,18.4015,19.0433
09-05-2025-Fri 16-37-15-PM,20.2593,20.7995,20.6979,21.7454,18.5361,18.7055,18.3676,18.9756
09-05-2025-Fri 16-37-17-PM,20.3939,20.7657,20.6979,21.6776,18.3337,18.6039,18.3337,18.874
09-05-2025-Fri 16-37-19-PM,20.2246,20.6979,20.6979,21.6438,18.233,18.5361,18.2999,18.8401
09-05-2025-Fri 16-37-22-PM,20.1577,20.6641,20.6302,21.576,18.0975,18.4353,18.233,18.7393
09-05-2025-Fri 16-37-24-PM,20.1916,20.6302,20.6302,21.576,17.9628,18.4015,18.233,18.6716
09-05-2025-Fri 16-37-27-PM,20.09,20.5963,20.5963,21.4752,17.7935,18.266,18.1652,18.57
09-05-2025-Fri 16-37-29-PM,20.0561,20.5286,20.5625,21.4752,17.6588,18.1991,18.1314,18.4684
09-05-2025-Fri 16-37-31-PM,19.9884,20.5286,20.5286,21.4075,17.5234,18.0975,18.0975,18.4353
09-05-2025-Fri 16-37-34-PM,19.9545,20.4617,20.4955,21.3736,17.3887,17.9967,18.0644,18.3676
09-05-2025-Fri 16-37-36-PM,19.9884,20.3939,20.4617,21.3059,17.2541,17.929,17.9967,18.2999
09-05-2025-Fri 16-37-39-PM,19.8198,20.2923,20.4278,21.272,17.1186,17.8612,17.9967,18.1991
09-05-2025-Fri 16-37-41-PM,19.7521,20.3262,20.3939,21.2382,16.9501,17.7604,17.929,18.1314
09-05-2025-Fri 16-37-43-PM,19.6505,20.1916,20.3601,21.1704,16.8154,17.6588,17.8951,18.0644
09-05-2025-Fri 16-37-46-PM,19.6844,20.1577,20.3262,21.1374,16.6799,17.5911,17.8612,17.9967
09-05-2025-Fri 16-37-48-PM,19.6505,20.1577,20.2923,21.0697,16.5791,17.4903,17.7604,17.929
09-05-2025-Fri 16-37-50-PM,19.4481,20.0561,20.2593,21.0358,16.4776,17.4226,17.7604,17.8274
09-05-2025-Fri 16-37-53-PM,19.5836,20.0222,20.2246,20.9681,16.376,17.3549,17.6927,17.7935
09-05-2025-Fri 16-37-55-PM,19.4481,19.9545,20.1916,20.9342,16.2413,17.2541,17.6588,17.6927
09-05-2025-Fri 16-37-58-PM,19.4142,19.8537,20.1577,20.8665,16.1066,17.1525,17.625,17.625
09-05-2025-Fri 16-38-00-PM,19.3126,19.8198,20.1577,20.8326,15.9712,17.0847,17.5911,17.558
09-05-2025-Fri 16-38-02-PM,19.3126,19.8537,20.09,20.7657,15.8365,17.017,17.5234,17.4903
09-05-2025-Fri 16-38-05-PM,19.2119,19.786,20.0561,20.6979,15.7357,16.9162,17.4903,17.4226
09-05-2025-Fri 16-38-07-PM,19.0095,19.6166,20.0222,20.6641,15.6003,16.8154,17.4565,17.3887
09-05-2025-Fri 16-38-09-PM,19.1441,19.6505,19.9545,20.6302,15.4317,16.7477,17.4226,17.2871
09-05-2025-Fri 16-38-12-PM,19.0433,19.5836,19.9545,20.5625,15.3309,16.6799,17.3887,17.2202
09-05-2025-Fri 16-38-15-PM,18.9417,19.5836,19.9206,20.5286,15.2293,16.5791,17.321,17.1525
09-05-2025-Fri 16-38-17-PM,18.8071,19.482,19.8876,20.4617,15.0947,16.4776,17.2541,17.0847
09-05-2025-Fri 16-38-20-PM,18.8401,19.3804,19.8537,20.4278,14.96,16.4106,17.2541,16.9839
09-05-2025-Fri 16-38-22-PM,18.7393,19.2796,19.786,20.3601,14.8584,16.3429,17.1863,16.9162
09-05-2025-Fri 16-38-24-PM,18.7055,19.2796,19.7521,20.2923,14.7238,16.2413,17.1525,16.8493
09-05-2025-Fri 16-38-27-PM,18.6039,19.2119,19.7182,20.2593,14.6222,16.1405,17.1186,16.7815
09-05-2025-Fri 16-38-29-PM,18.6039,19.1441,19.6844,20.1577,14.5214,16.1066,17.0847,16.7477
09-05-2025-Fri 16-38-31-PM,18.57,19.178,19.6505,20.1238,14.4206,16.0058,17.017,16.6799
09-05-2025-Fri 16-38-34-PM,18.4684,19.0433,19.6166,20.09,14.319,15.9381,16.9839,16.5791
09-05-2025-Fri 16-38-36-PM,18.4353,19.0764,19.5836,20.0222,14.2182,15.8704,16.9501,16.5114
09-05-2025-Fri 16-38-39-PM,18.3676,18.9756,19.5497,19.9545,14.1166,15.7688,16.8493,16.4776
09-05-2025-Fri 16-38-41-PM,18.2999,18.8401,19.5158,19.9206,14.0158,15.668,16.8493,16.4106
09-05-2025-Fri 16-38-43-PM,18.2999,18.874,19.482,19.8537,13.9142,15.6341,16.7815,16.3429
09-05-2025-Fri 16-38-46-PM,18.1314,18.7724,19.4481,19.8198,13.8134,15.5333,16.7477,16.2752
09-05-2025-Fri 16-38-48-PM,18.1652,18.7393,19.4142,19.7521,13.7457,15.4995,16.6799,16.2413
09-05-2025-Fri 16-38-50-PM,18.0298,18.8071,19.3804,19.7182,13.6449,15.3979,16.6799,16.1736
09-05-2025-Fri 16-38-53-PM,17.9628,18.5361,19.3804,19.6505,13.5771,15.3309,16.613,16.1066
09-05-2025-Fri 16-38-55-PM,17.9628,18.6039,19.3126,19.5836,13.4756,15.2632,16.5791,16.0389
09-05-2025-Fri 16-38-58-PM,17.929,18.57,19.2796,19.5158,13.4086,15.1624,16.5114,15.9712
09-05-2025-Fri 16-39-00-PM,17.8274,18.4684,19.2457,19.482,13.3078,15.1285,16.4776,15.9381
09-05-2025-Fri 16-39-02-PM,17.7266,18.4353,19.2119,19.4142,13.2401,15.0269,16.4437,15.8365
09-05-2025-Fri 16-39-05-PM,17.8274,18.3676,19.1441,19.3804,13.1393,14.96,16.4106,15.8026
09-05-2025-Fri 16-39-07-PM,17.6588,18.3676,19.1103,19.3126,13.0377,14.8584,16.3429,15.7357
09-05-2025-Fri 16-39-10-PM,17.625,18.1652,19.0764,19.2457,12.9369,14.7907,16.309,15.668
09-05-2025-Fri 16-39-12-PM,17.5911,18.233,19.0433,19.2119,12.8692,14.7238,16.2752,15.6341
09-05-2025-Fri 16-39-14-PM,17.5234,18.1652,19.0095,19.1103,12.7684,14.656,16.2082,15.5672
09-05-2025-Fri 16-39-17-PM,17.4903,18.1314,19.0095,19.0764,12.7007,14.5883,16.1736,15.4995
09-05-2025-Fri 16-39-19-PM,17.4903,18.0644,18.9417,19.0095,12.5999,14.4875,16.1405,15.4656
09-05-2025-Fri 16-39-22-PM,17.321,17.9628,18.874,18.9756,12.5321,14.4536,16.1066,15.4317
09-05-2025-Fri 16-39-24-PM,17.1863,17.929,18.874,18.9079,12.4652,14.3867,16.0728,15.3309
09-05-2025-Fri 16-39-26-PM,17.2541,17.8951,18.8401,18.874,12.3975,14.2851,16.0058,15.2971
09-05-2025-Fri 16-39-29-PM,17.2202,17.8951,18.7724,18.7724,12.2967,14.2182,15.9712,15.2293
09-05-2025-Fri 16-39-31-PM,17.1186,17.8612,18.7393,18.7055,12.229,14.1843,15.9042,15.1955
09-05-2025-Fri 16-39-33-PM,17.0847,17.6927,18.7055,18.6716,12.162,14.1166,15.9042,15.1624
09-05-2025-Fri 16-39-36-PM,17.0847,17.6927,18.6716,18.6039,12.0943,14.0158,15.8026,15.0947
09-05-2025-Fri 16-39-38-PM,17.0517,17.625,18.6377,18.57,11.9935,13.9819,15.8026,15.0269
09-05-2025-Fri 16-39-41-PM,17.0517,17.6588,18.6039,18.5031,11.9258,13.9481,15.7688,14.9931
09-05-2025-Fri 16-39-43-PM,16.9162,17.625,18.57,18.4353,11.8588,13.8803,15.7357,14.9262
09-05-2025-Fri 16-39-45-PM,16.8823,17.558,18.5361,18.4015,11.7911,13.8473,15.7019,14.8923
