Cell 1 Current,Cell 1 Voltage,Cell 1 Temp,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 3 Temp,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 5 Temp,Cell 6 Current,Cell 6 Voltage,Cell 6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 7 Temp,Cell 8 Current,Cell 8 Voltage,Cell 8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 10 Temp,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 12 Temp,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 14 Temp,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage,Cell 16 Temp
0.1,5.964,-63.586,0.1,5.968,-61.4011,-0.1,5.972,-67.546,0.0,5.976,-60.9075,0.0,5.972,-62.606,0.1,5.968,-60.1174,0.1,5.972,-60.71,0.1,5.972,-60.4466,0.1,5.956,-63.0788,0.1,5.96,-59.545,0.1,5.964,-60.6112,0.0,5.96,-60.072,0.1,5.948,-56.1638,0.1,5.964,-57.877,0.1,5.952,-54.7787,0.1,5.956,-57.63
0.6,5.96,-63.602,0.1,5.968,-61.4669,0.3,5.972,-67.688,0.1,5.972,-61.1707,0.3,5.972,-62.628,0.3,5.968,-60.1833,0.2,5.968,-60.72,0.3,5.968,-60.4466,0.4,5.952,-63.1445,0.4,5.964,-59.556,0.4,5.964,-60.7099,0.5,5.96,-60.193,0.4,5.948,-56.1968,0.2,5.968,-57.932,0.4,5.948,-54.8117,0.2,5.96,-57.68
0.3,5.964,-63.652,0.5,5.968,-61.5656,0.1,5.976,-67.688,0.2,5.976,-61.1378,0.2,5.972,-62.661,0.4,5.968,-60.2161,0.3,5.968,-60.753,0.3,5.968,-60.5125,,,-64.2953,0.5,5.96,-59.621,0.1,5.96,-60.7428,0.3,5.964,-60.259,0.3,5.948,-56.2626,0.4,5.968,-57.998,0.5,5.948,-54.8777,0.6,5.96,-57.713
0.3,5.96,-63.718,0.4,5.972,-61.6971,0.1,5.972,-67.765,0.1,5.976,-61.2365,0.4,5.972,-62.705,0.2,5.968,-60.2491,0.0,5.968,-60.786,0.3,5.968,-60.5453,0.6,5.956,-64.328,0.2,5.96,-59.665,0.4,5.964,-60.8087,,,-60.851,0.3,5.948,-56.2626,0.3,5.964,-58.053,0.5,5.948,-54.9107,,,-58.783
0.4,5.96,-63.685,0.4,5.976,-62.2894,0.1,5.972,-67.797,0.2,5.976,-61.3681,0.5,5.976,-62.738,0.3,5.968,-60.282,0.1,5.968,-60.83,0.4,5.968,-60.5783,0.6,5.956,-64.361,0.3,5.964,-59.742,0.5,5.964,-60.8416,0.0,5.964,-60.917,,,-57.4494,0.2,5.964,-58.119,0.6,5.948,-54.9436,0.3,5.96,-58.816
0.3,5.964,-63.75,0.4,5.972,-62.3551,0.1,5.972,-67.852,-0.1,5.976,-61.9933,0.4,5.972,-62.76,0.3,5.972,-60.3478,0.2,5.968,-60.874,0.4,5.968,-60.6112,0.3,5.956,-64.3938,,,-60.806,0.2,5.964,-60.9075,0.5,5.964,-60.939,0.4,5.948,-57.4823,0.3,5.968,-58.152,0.5,5.952,-54.9766,0.2,5.964,-58.866
0.4,5.96,-63.717,0.2,5.968,-62.3223,0.2,5.972,-67.94,0.3,5.976,-62.1249,0.3,5.972,-62.826,0.4,5.972,-60.3478,0.3,5.972,-60.918,0.6,5.964,-61.3681,0.1,5.956,-64.4596,0.3,5.964,-60.828,0.1,5.964,-60.9404,0.3,5.968,-60.983,0.6,5.948,-57.5483,0.5,5.968,-58.206,0.4,5.948,-55.0096,0.1,5.96,-58.882
0.2,5.96,-63.8,0.4,5.972,-62.4539,0.4,5.972,-67.962,0.2,5.976,-62.1578,0.2,5.972,-62.87,0.2,5.972,-60.3807,0.5,5.968,-60.951,0.2,5.968,-61.4669,0.3,5.952,-64.5911,0.3,5.964,-60.916,,,-62.0591,0.3,5.964,-61.016,0.1,5.948,-57.5811,0.3,5.968,-58.25,0.6,5.948,-55.0426,0.5,5.96,-58.948
0.1,5.968,-64.227,0.2,5.972,-62.5526,0.1,5.972,-68.038,0.1,5.98,-62.2236,0.4,5.972,-63.133,0.5,5.968,-60.4466,0.1,5.968,-61.653,0.3,5.968,-61.4998,0.4,5.956,-64.5911,0.1,5.96,-60.927,0.0,5.964,-62.092,0.2,5.964,-61.06,0.1,5.948,-57.6141,,,-59.348,0.6,5.952,-55.0756,0.4,5.96,-59.08
0.5,5.964,-64.277,0.2,5.972,-62.5526,0.1,5.972,-68.071,0.1,5.976,-62.2894,0.1,5.972,-63.165,0.5,5.972,-60.4137,0.3,5.968,-61.73,0.2,5.968,-61.5326,,,-65.2155,0.4,5.964,-60.971,0.2,5.964,-62.1578,0.4,5.96,-61.114,0.2,5.948,-57.68,0.4,5.968,-59.37,0.5,5.948,-55.1085,0.3,5.96,-59.113
0.2,5.964,-64.26,0.3,5.972,-63.4076,0.2,5.972,-68.137,0.2,5.976,-62.3551,0.1,5.972,-63.253,0.3,5.972,-60.5125,0.2,5.968,-61.763,0.4,5.968,-61.5656,0.4,5.956,-65.2484,0.4,5.964,-61.125,0.5,5.968,-62.1906,,,-61.849,0.2,5.948,-57.68,0.1,5.972,-59.436,0.4,5.948,-55.1746,,,-59.755
