Timestamp,Cell 1 Temp,Cell 3 Temp,Cell 5 Temp,Cell 7 Temp,Cell 10 Temp,Cell 12 Temp,Cell 14 Temp,Cell 16 Temp
09-27-2025-Sat 11-54-32-AM,21.83,22.151,21.993,21.96,21.745,21.802,21.588,21.864
09-27-2025-Sat 11-54-35-AM,21.847,22.129,21.959,21.948,21.746,21.768,21.576,21.864
09-27-2025-Sat 11-54-37-AM,21.813,22.151,21.982,21.948,21.723,21.791,21.565,21.864
09-27-2025-Sat 11-54-40-AM,21.83,22.151,21.982,21.948,21.734,21.79,21.588,21.864
09-27-2025-Sat 11-54-42-AM,21.83,22.14,21.971,21.948,21.734,21.779,21.576,21.864
09-27-2025-Sat 11-54-44-AM,21.779,22.095,22.005,22.095,21.7,21.78,21.734,22.033
09-27-2025-Sat 11-54-47-AM,21.813,22.14,21.971,22.027,21.746,21.802,21.666,21.982
09-27-2025-Sat 11-54-49-AM,21.864,22.128,22.027,22.05,21.768,21.813,21.689,21.965
09-27-2025-Sat 11-54-52-AM,21.931,22.185,22.14,21.971,21.813,21.914,21.734,21.83
09-27-2025-Sat 11-54-54-AM,21.881,22.162,22.095,22.049,21.779,21.892,21.745,21.982
09-27-2025-Sat 11-54-56-AM,21.898,22.151,22.084,22.174,21.79,21.858,21.791,22.134
09-27-2025-Sat 11-54-59-AM,21.915,22.219,22.004,22.185,21.813,21.824,21.745,22.201
09-27-2025-Sat 11-55-01-AM,21.948,22.219,22.162,22.185,21.813,21.903,21.847,22.117
09-27-2025-Sat 11-55-04-AM,21.948,22.23,22.106,22.14,21.847,21.892,21.79,22.066
09-27-2025-Sat 11-55-06-AM,21.948,22.207,22.038,22.095,21.836,21.858,21.712,22.066
09-27-2025-Sat 11-55-08-AM,21.982,22.275,22.106,22.185,21.869,21.903,21.813,22.151
09-27-2025-Sat 11-55-11-AM,22.016,22.252,22.05,22.128,21.892,21.881,21.734,22.117
09-27-2025-Sat 11-55-13-AM,22.05,22.297,22.162,22.32,21.937,21.96,21.971,22.32
09-27-2025-Sat 11-55-16-AM,22.066,22.286,22.106,22.218,21.925,21.937,21.835,22.252
09-27-2025-Sat 11-55-18-AM,22.066,22.32,22.128,22.275,21.937,21.914,21.835,22.253
09-27-2025-Sat 11-55-20-AM,22.05,22.308,22.106,22.174,21.914,21.903,21.757,22.134
09-27-2025-Sat 11-55-23-AM,22.066,22.308,22.083,22.151,21.925,21.892,21.723,22.117
09-27-2025-Sat 11-55-25-AM,22.049,22.32,22.117,22.129,21.914,21.925,21.723,22.084
09-27-2025-Sat 11-55-28-AM,22.049,22.286,22.083,22.129,21.903,21.881,21.712,22.084
09-27-2025-Sat 11-55-31-AM,22.067,22.275,22.05,22.129,21.915,21.847,21.712,22.084
09-27-2025-Sat 11-55-33-AM,21.999,22.264,22.084,22.129,21.87,21.881,21.723,22.084
09-27-2025-Sat 11-55-36-AM,22.05,22.297,22.083,22.117,21.903,21.881,21.712,22.067
09-27-2025-Sat 11-55-38-AM,21.982,22.252,22.083,22.094,21.847,21.881,21.689,22.049
09-27-2025-Sat 11-55-40-AM,22.016,22.264,22.05,22.117,21.869,21.847,21.689,22.084
09-27-2025-Sat 11-55-43-AM,22.016,22.252,22.05,22.094,21.869,21.847,21.689,22.049
09-27-2025-Sat 11-55-45-AM,21.965,22.196,22.016,22.094,21.835,21.813,21.678,22.049
09-27-2025-Sat 11-55-48-AM,21.999,22.252,22.061,22.106,21.858,21.858,21.689,22.066
09-27-2025-Sat 11-55-50-AM,21.999,22.263,22.061,22.083,21.858,21.869,21.678,22.049
09-27-2025-Sat 11-55-52-AM,21.982,22.241,22.05,22.083,21.847,21.858,21.678,22.049
09-27-2025-Sat 11-55-55-AM,21.982,22.218,22.027,22.072,21.847,21.835,21.678,22.032
09-27-2025-Sat 11-55-57-AM,21.999,22.219,22.016,22.083,21.847,21.813,21.666,22.049
09-27-2025-Sat 11-55-59-AM,21.982,22.207,22.016,22.072,21.836,21.813,21.678,22.032
09-27-2025-Sat 11-56-02-AM,22.033,22.253,22.027,22.072,21.87,21.836,21.666,22.049
09-27-2025-Sat 11-56-04-AM,21.965,22.196,22.004,22.072,21.824,21.813,21.666,22.049
09-27-2025-Sat 11-56-07-AM,21.965,22.196,22.016,22.083,21.824,21.813,21.678,22.049
09-27-2025-Sat 11-56-09-AM,21.965,22.174,21.993,22.061,21.813,21.79,21.655,22.032
09-27-2025-Sat 11-56-11-AM,21.965,22.185,22.004,22.072,21.824,21.802,21.667,22.033
09-27-2025-Sat 11-56-14-AM,21.948,22.185,21.993,22.05,21.813,21.802,21.644,22.016
09-27-2025-Sat 11-56-16-AM,21.931,22.162,21.993,22.061,21.791,21.79,21.666,22.032
09-27-2025-Sat 11-56-18-AM,21.931,22.185,21.993,22.016,21.791,21.802,21.621,21.982
09-27-2025-Sat 11-56-21-AM,21.948,22.162,21.971,22.027,21.802,21.768,21.633,21.982
09-27-2025-Sat 11-56-23-AM,21.881,22.106,21.948,22.016,21.746,21.745,21.621,21.982
09-27-2025-Sat 11-56-26-AM,21.864,22.095,21.937,22.004,21.734,21.734,21.61,21.965
09-27-2025-Sat 11-56-28-AM,21.88,22.117,21.948,21.982,21.723,21.734,21.576,21.948
09-27-2025-Sat 11-56-30-AM,21.83,22.072,21.937,21.959,21.678,21.712,21.565,21.914
09-27-2025-Sat 11-56-33-AM,21.847,22.061,21.881,21.914,21.678,21.655,21.509,21.864
09-27-2025-Sat 11-56-35-AM,21.813,22.027,21.88,21.88,21.633,21.632,21.475,21.813
09-27-2025-Sat 11-56-37-AM,21.762,21.993,21.858,21.835,21.588,21.61,21.441,21.762
09-27-2025-Sat 11-56-40-AM,21.728,21.97,21.858,21.813,21.542,21.587,21.418,21.729
09-27-2025-Sat 11-56-42-AM,21.627,21.903,21.824,21.756,21.464,21.543,21.362,21.644
09-27-2025-Sat 11-56-45-AM,21.61,21.903,21.824,21.723,21.43,21.52,21.328,21.593
09-27-2025-Sat 11-56-47-AM,21.526,21.836,21.757,21.678,21.351,21.441,21.261,21.543
09-27-2025-Sat 11-56-50-AM,21.408,21.757,21.7,21.599,21.238,21.362,21.182,21.441
09-27-2025-Sat 11-56-52-AM,21.374,21.723,21.678,21.554,21.182,21.317,21.126,21.391
09-27-2025-Sat 11-56-54-AM,21.323,21.655,21.61,21.475,21.104,21.216,21.047,21.289
09-27-2025-Sat 11-56-57-AM,21.239,21.588,21.565,21.43,21.002,21.126,20.991,21.222
09-27-2025-Sat 11-56-59-AM,21.07,21.486,21.497,21.373,20.867,21.047,20.912,21.154
09-27-2025-Sat 11-57-01-AM,20.985,21.43,21.452,21.306,20.777,20.979,20.833,21.07
09-27-2025-Sat 11-57-06-AM,20.85,21.351,21.385,21.238,20.653,20.889,20.754,20.985
09-27-2025-Sat 11-57-11-AM,20.648,21.194,21.227,21.07,20.428,20.687,20.552,20.799
09-27-2025-Sat 11-57-15-AM,20.377,20.957,21.126,21.002,20.157,20.518,20.518,20.731
09-27-2025-Sat 11-57-18-AM,20.124,20.833,21.025,20.923,19.921,20.326,20.383,20.58
09-27-2025-Sat 11-57-20-AM,20.04,20.743,20.878,20.844,19.82,20.169,20.236,20.512
09-27-2025-Sat 11-57-23-AM,19.82,20.631,20.777,20.743,19.64,20.079,20.135,20.428
09-27-2025-Sat 11-57-25-AM,19.702,20.518,20.63,20.642,19.505,19.887,20.0,20.293
09-27-2025-Sat 11-57-28-AM,19.567,20.45,20.563,20.54,19.37,19.809,19.899,20.192
09-27-2025-Sat 11-57-30-AM,19.415,20.293,20.416,20.461,19.223,19.64,19.797,20.107
09-27-2025-Sat 11-57-32-AM,19.246,20.18,20.326,20.383,19.055,19.516,19.696,20.023
09-27-2025-Sat 11-57-35-AM,19.077,20.034,20.214,20.259,18.886,19.381,19.572,19.888
09-27-2025-Sat 11-57-37-AM,18.959,19.966,20.135,20.158,18.773,19.291,19.46,19.769
09-27-2025-Sat 11-57-40-AM,18.807,19.809,20.011,20.067,18.616,19.133,19.358,19.668
09-27-2025-Sat 11-57-42-AM,18.655,19.674,19.876,19.955,18.458,18.976,19.223,19.549
09-27-2025-Sat 11-57-45-AM,18.486,19.561,19.775,19.865,18.3,18.863,19.122,19.465
09-27-2025-Sat 11-57-47-AM,18.352,19.449,19.685,19.786,18.155,18.739,19.02,19.381
09-27-2025-Sat 11-57-49-AM,18.217,19.325,19.538,19.718,18.031,18.582,18.919,19.313
09-27-2025-Sat 11-57-52-AM,18.047,19.212,19.449,19.628,17.862,18.469,18.807,19.229
09-27-2025-Sat 11-57-54-AM,17.913,19.1,19.313,19.527,17.738,18.334,18.683,19.128
09-27-2025-Sat 11-57-57-AM,17.727,18.976,19.212,19.437,17.569,18.21,18.571,19.026
09-27-2025-Sat 11-57-59-AM,17.592,18.874,19.133,19.369,17.434,18.098,18.48,18.942
09-27-2025-Sat 11-58-01-AM,17.457,18.739,18.976,19.257,17.299,17.94,18.346,18.841
09-27-2025-Sat 11-58-04-AM,17.322,18.627,18.863,19.156,17.153,17.794,18.221,18.722
09-27-2025-Sat 11-58-06-AM,17.153,18.503,18.762,19.066,16.984,17.67,18.109,18.638
09-27-2025-Sat 11-58-09-AM,16.985,18.368,18.649,18.964,16.816,17.535,17.974,18.537
09-27-2025-Sat 11-58-11-AM,16.9,18.289,18.537,18.874,16.715,17.401,17.862,18.435
09-27-2025-Sat 11-58-14-AM,16.782,18.176,18.424,18.796,16.579,17.265,17.76,18.368
09-27-2025-Sat 11-58-16-AM,16.546,18.008,18.312,18.694,16.388,17.142,17.648,18.25
09-27-2025-Sat 11-58-18-AM,16.462,17.94,18.233,18.593,16.287,17.051,17.535,18.148
09-27-2025-Sat 11-58-21-AM,16.327,17.805,18.098,18.481,16.152,16.905,17.412,18.031
09-27-2025-Sat 11-58-23-AM,16.226,17.715,17.974,18.39,16.063,16.782,17.299,17.929
09-27-2025-Sat 11-58-25-AM,16.124,17.625,17.884,18.323,15.95,16.669,17.22,17.861
09-27-2025-Sat 11-58-28-AM,15.956,17.502,17.783,18.222,15.781,16.545,17.097,17.76
09-27-2025-Sat 11-58-30-AM,15.787,17.355,17.659,18.12,15.624,16.399,16.973,17.642
09-27-2025-Sat 11-58-32-AM,15.72,17.277,17.535,18.008,15.534,16.276,16.838,17.541
09-27-2025-Sat 11-58-35-AM,15.568,17.187,17.547,18.019,15.399,16.253,16.872,17.558
09-27-2025-Sat 11-58-37-AM,15.45,17.074,17.401,17.94,15.253,16.107,16.725,17.541
09-27-2025-Sat 11-58-40-AM,15.416,17.007,17.31,17.85,15.23,16.017,16.647,17.406
09-27-2025-Sat 11-58-42-AM,15.281,16.917,17.232,17.727,15.096,15.927,16.512,17.271
09-27-2025-Sat 11-58-44-AM,15.13,16.759,17.13,17.682,14.938,15.781,16.478,17.221
09-27-2025-Sat 11-58-47-AM,15.012,16.692,17.018,17.603,14.837,15.646,16.332,17.102
09-27-2025-Sat 11-58-49-AM,14.894,16.613,16.883,17.423,14.714,15.533,16.152,16.934
09-27-2025-Sat 11-58-51-AM,14.775,16.512,16.782,17.322,14.601,15.432,16.05,16.832
09-27-2025-Sat 11-58-54-AM,14.641,16.377,16.658,17.209,14.455,15.286,15.916,16.714
09-27-2025-Sat 11-58-56-AM,14.556,16.287,16.534,17.119,14.365,15.162,15.803,16.63
09-27-2025-Sat 11-58-58-AM,14.404,16.174,16.456,17.04,14.23,15.072,15.725,16.546
09-27-2025-Sat 11-59-01-AM,14.287,16.073,16.343,16.928,14.118,14.96,15.601,16.428
09-27-2025-Sat 11-59-04-AM,14.169,15.961,16.231,16.827,13.994,14.836,15.5,16.326
09-27-2025-Sat 11-59-06-AM,14.017,15.837,16.107,16.725,13.848,14.702,15.376,16.225
09-27-2025-Sat 11-59-08-AM,13.882,15.725,15.994,16.613,13.736,14.6,15.252,16.107
09-27-2025-Sat 11-59-11-AM,13.815,15.657,15.927,16.534,13.635,14.499,15.174,16.023
09-27-2025-Sat 11-59-13-AM,13.68,15.556,15.815,16.433,13.522,14.398,15.05,15.921
09-27-2025-Sat 11-59-18-AM,13.562,15.455,15.724,16.332,13.399,14.285,14.949,15.803
09-27-2025-Sat 11-59-23-AM,13.309,15.241,15.522,16.152,13.151,14.072,14.747,15.635
09-27-2025-Sat 11-59-27-AM,13.091,15.028,15.342,15.972,12.927,13.87,14.578,15.449
09-27-2025-Sat 11-59-30-AM,12.871,14.803,15.129,15.815,12.691,13.623,14.387,15.298
09-27-2025-Sat 11-59-32-AM,12.787,14.758,15.05,15.713,12.601,13.544,14.286,15.196
09-27-2025-Sat 11-59-35-AM,12.652,14.634,14.938,15.635,12.489,13.42,14.185,15.095
09-27-2025-Sat 11-59-37-AM,12.551,14.555,14.859,15.533,12.387,13.341,14.095,14.994
09-27-2025-Sat 11-59-40-AM,12.45,14.477,14.78,15.455,12.298,13.263,14.016,14.91
09-27-2025-Sat 11-59-42-AM,12.298,14.398,14.691,15.387,12.174,13.196,13.926,14.876
09-27-2025-Sat 11-59-45-AM,12.164,14.23,14.679,15.41,12.017,13.117,13.993,14.909
09-27-2025-Sat 11-59-47-AM,12.062,14.14,14.601,15.275,11.927,13.016,13.881,14.707
09-27-2025-Sat 11-59-50-AM,12.029,14.14,14.522,15.309,11.882,12.96,13.836,14.825
09-27-2025-Sat 11-59-52-AM,11.961,14.016,14.398,15.129,11.792,12.825,13.667,14.606
09-27-2025-Sat 11-59-54-AM,11.894,13.982,14.387,15.039,11.736,12.814,13.656,14.488
09-27-2025-Sat 11-59-59-AM,11.742,13.87,14.297,15.016,11.601,12.712,13.566,14.488
09-27-2025-Sat 12-00-02-PM,11.658,13.746,14.139,14.87,11.478,12.521,13.443,14.319
09-27-2025-Sat 12-00-04-PM,11.54,13.668,13.994,14.825,11.377,12.432,13.376,14.37
09-27-2025-Sat 12-00-07-PM,11.439,13.623,13.926,14.656,11.298,12.331,13.128,14.083
09-27-2025-Sat 12-00-09-PM,11.338,13.499,13.814,14.623,11.197,12.252,13.094,14.134
09-27-2025-Sat 12-00-11-PM,11.288,13.454,13.814,14.578,11.141,12.241,13.162,14.084
09-27-2025-Sat 12-00-14-PM,11.22,13.376,13.634,14.398,11.062,12.05,12.847,13.847
09-27-2025-Sat 12-00-16-PM,11.103,13.297,13.601,14.342,10.984,12.028,12.87,13.78
09-27-2025-Sat 12-00-19-PM,10.984,13.207,13.477,14.241,10.849,11.893,12.735,13.696
09-27-2025-Sat 12-00-21-PM,10.95,13.128,13.521,14.319,10.804,11.915,12.892,13.813
09-27-2025-Sat 12-00-24-PM,10.867,13.061,13.342,14.061,10.714,11.747,12.567,13.493
09-27-2025-Sat 12-00-26-PM,10.749,12.937,13.241,13.949,10.602,11.645,12.465,13.376
09-27-2025-Sat 12-00-28-PM,10.63,12.825,13.14,13.881,10.501,11.544,12.387,13.308
09-27-2025-Sat 12-00-31-PM,10.58,12.757,13.05,13.802,10.433,11.443,12.297,13.224
09-27-2025-Sat 12-00-33-PM,10.446,12.634,12.971,13.712,10.31,11.365,12.218,13.139
09-27-2025-Sat 12-00-35-PM,10.429,12.578,12.87,13.634,10.254,11.252,12.129,13.072
09-27-2025-Sat 12-00-38-PM,10.345,12.477,12.78,13.566,10.187,11.163,12.073,12.988
09-27-2025-Sat 12-00-41-PM,10.243,12.398,12.712,13.488,10.074,11.084,11.982,12.92
09-27-2025-Sat 12-00-43-PM,10.109,12.297,12.623,13.409,9.962,10.994,11.904,12.836
09-27-2025-Sat 12-00-46-PM,10.042,12.207,12.544,13.319,9.884,10.915,11.837,12.752
09-27-2025-Sat 12-00-50-PM,9.941,12.129,12.477,13.263,9.783,10.837,11.769,12.701
09-27-2025-Sat 12-00-53-PM,9.772,11.983,12.32,13.106,9.626,10.691,11.612,12.55
09-27-2025-Sat 12-00-55-PM,9.705,11.915,12.241,13.027,9.547,10.601,11.533,12.465
09-27-2025-Sat 12-00-58-PM,9.587,11.825,12.185,12.937,9.435,10.534,11.443,12.364
09-27-2025-Sat 12-01-00-PM,9.503,11.736,12.106,12.881,9.356,10.444,11.376,12.297
09-27-2025-Sat 12-01-03-PM,9.418,11.634,12.028,12.802,9.266,10.354,11.309,12.213
09-27-2025-Sat 12-01-05-PM,9.351,11.578,11.938,12.735,9.188,10.264,11.23,12.162
09-27-2025-Sat 12-01-08-PM,9.267,11.488,11.848,12.668,9.109,10.174,11.152,12.095
09-27-2025-Sat 12-01-10-PM,9.183,11.443,11.814,12.589,9.03,10.141,11.084,12.01
09-27-2025-Sat 12-01-12-PM,9.082,11.342,11.735,12.532,8.93,10.051,11.028,11.96
09-27-2025-Sat 12-01-15-PM,8.998,11.241,11.657,12.454,8.84,9.961,10.972,11.876
09-27-2025-Sat 12-01-17-PM,8.93,11.174,11.59,12.398,8.761,9.883,10.893,11.825
09-27-2025-Sat 12-01-19-PM,8.846,11.095,11.534,12.331,8.671,9.804,10.826,11.741
09-27-2025-Sat 12-01-22-PM,8.779,11.073,11.488,12.263,8.615,9.771,10.758,11.673
09-27-2025-Sat 12-01-24-PM,8.695,10.961,11.41,12.173,8.526,9.681,10.691,11.572
09-27-2025-Sat 12-01-26-PM,8.61,10.871,11.32,12.106,8.436,9.58,10.613,11.505
09-27-2025-Sat 12-01-29-PM,8.56,10.815,11.253,12.038,8.38,9.513,10.545,11.438
09-27-2025-Sat 12-01-31-PM,8.459,10.758,11.208,11.982,8.29,9.468,10.489,11.387
09-27-2025-Sat 12-01-34-PM,8.409,10.714,11.14,11.892,8.234,9.4,10.399,11.286
09-27-2025-Sat 12-01-36-PM,8.325,10.657,11.084,11.814,8.156,9.344,10.332,11.202
09-27-2025-Sat 12-01-38-PM,8.257,10.557,11.006,11.758,8.077,9.254,10.264,11.151
09-27-2025-Sat 12-01-41-PM,8.207,10.5,10.927,11.702,8.032,9.176,10.209,11.084
09-27-2025-Sat 12-01-43-PM,8.123,10.433,10.893,11.634,7.942,9.142,10.163,11.033
09-27-2025-Sat 12-01-45-PM,8.055,10.377,10.826,11.556,7.864,9.064,10.085,10.949
09-27-2025-Sat 12-01-48-PM,7.954,10.309,10.77,11.499,7.785,9.019,10.017,10.898
09-27-2025-Sat 12-01-50-PM,7.92,10.231,10.668,11.443,7.74,8.918,9.961,10.848
09-27-2025-Sat 12-01-52-PM,7.836,10.163,10.624,11.376,7.662,8.861,9.894,10.764
09-27-2025-Sat 12-01-55-PM,7.769,10.096,10.59,11.387,7.617,8.828,9.905,10.781
09-27-2025-Sat 12-01-57-PM,7.701,10.006,10.523,11.32,7.538,8.783,9.894,10.764
09-27-2025-Sat 12-02-00-PM,7.618,9.928,10.433,11.252,7.426,8.659,9.804,10.696
09-27-2025-Sat 12-02-02-PM,7.567,9.905,10.366,11.219,7.404,8.592,9.692,10.629
09-27-2025-Sat 12-02-04-PM,7.483,9.838,10.309,11.207,7.325,8.525,9.636,10.629
09-27-2025-Sat 12-02-07-PM,7.483,9.816,10.377,11.095,7.303,8.57,9.647,10.461
09-27-2025-Sat 12-02-09-PM,7.432,9.726,10.332,10.994,7.247,8.525,9.602,10.343
09-27-2025-Sat 12-02-12-PM,7.365,9.692,10.164,11.05,7.179,8.379,9.524,10.494
09-27-2025-Sat 12-02-14-PM,7.349,9.681,10.13,10.837,7.168,8.356,9.344,10.191
09-27-2025-Sat 12-02-16-PM,7.231,9.558,10.107,10.736,7.056,8.312,9.277,10.056
09-27-2025-Sat 12-02-19-PM,7.23,9.535,10.096,10.769,7.022,8.267,9.311,10.107
09-27-2025-Sat 12-02-21-PM,7.163,9.501,10.096,10.758,6.989,8.289,9.4,10.107
09-27-2025-Sat 12-02-23-PM,7.113,9.423,10.006,10.669,6.933,8.199,9.277,10.006
09-27-2025-Sat 12-02-26-PM,7.079,9.4,9.86,10.556,6.877,8.054,9.086,9.888
09-27-2025-Sat 12-02-28-PM,7.012,9.344,9.816,10.5,6.821,8.009,9.03,9.821
09-27-2025-Sat 12-02-31-PM,6.928,9.265,9.726,10.421,6.753,7.93,8.963,9.737
09-27-2025-Sat 12-02-33-PM,6.877,9.232,9.692,10.365,6.697,7.897,8.907,9.686
09-27-2025-Sat 12-02-35-PM,6.776,9.142,9.625,10.275,6.619,7.852,8.828,9.602
09-27-2025-Sat 12-02-38-PM,6.76,9.108,9.58,10.253,6.585,7.785,8.794,9.568
09-27-2025-Sat 12-02-40-PM,6.693,9.052,9.513,10.163,6.518,7.728,8.716,9.484
09-27-2025-Sat 12-02-42-PM,6.642,8.985,9.468,10.118,6.462,7.672,8.682,9.434
09-27-2025-Sat 12-02-45-PM,6.575,8.918,9.389,10.062,6.406,7.605,8.626,9.383
09-27-2025-Sat 12-02-47-PM,6.49,8.861,9.366,10.006,6.327,7.571,8.581,9.316
09-27-2025-Sat 12-02-50-PM,6.474,8.794,9.288,9.95,6.294,7.493,8.525,9.265
09-27-2025-Sat 12-02-52-PM,6.39,8.738,9.243,9.871,6.215,7.448,8.457,9.181
09-27-2025-Sat 12-02-55-PM,6.323,8.637,9.153,9.804,6.148,7.358,8.402,9.114
09-27-2025-Sat 12-02-57-PM,6.289,8.626,9.108,9.737,6.114,7.325,8.334,9.046
09-27-2025-Sat 12-02-59-PM,6.238,8.57,9.064,9.681,6.058,7.28,8.278,8.996
09-27-2025-Sat 12-03-02-PM,6.171,8.514,8.996,9.602,6.002,7.224,8.211,8.912
09-27-2025-Sat 12-03-04-PM,6.086,8.413,8.929,9.557,5.923,7.145,8.166,8.861
09-27-2025-Sat 12-03-06-PM,6.07,8.391,8.884,9.512,5.89,7.1,8.121,8.828
09-27-2025-Sat 12-03-09-PM,5.986,8.3,8.783,9.445,5.811,7.011,8.031,8.777
09-27-2025-Sat 12-03-13-PM,5.935,8.267,8.749,9.366,5.778,6.988,7.987,8.676
09-27-2025-Sat 12-03-18-PM,5.851,8.166,8.66,9.344,5.677,6.887,7.975,8.693
09-27-2025-Sat 12-03-23-PM,5.784,8.065,8.603,9.175,5.576,6.82,7.863,8.508
09-27-2025-Sat 12-03-26-PM,5.65,7.964,8.558,9.198,5.464,6.753,7.896,8.541
09-27-2025-Sat 12-03-28-PM,5.582,7.919,8.559,9.097,5.408,6.742,7.807,8.39
09-27-2025-Sat 12-03-31-PM,5.549,7.908,8.469,9.052,5.386,6.651,7.695,8.323
09-27-2025-Sat 12-03-33-PM,5.532,7.852,8.356,8.973,5.341,6.562,7.594,8.289
09-27-2025-Sat 12-03-35-PM,5.448,7.784,8.323,8.929,5.262,6.517,7.549,8.238
09-27-2025-Sat 12-03-38-PM,5.398,7.728,8.278,8.884,5.206,6.461,7.504,8.188
09-27-2025-Sat 12-03-40-PM,5.364,7.684,8.222,8.839,5.173,6.405,7.459,8.138
09-27-2025-Sat 12-03-42-PM,5.313,7.638,8.188,8.794,5.116,6.36,7.425,8.087
09-27-2025-Sat 12-03-45-PM,5.28,7.582,8.121,8.749,5.083,6.304,7.381,8.054
09-27-2025-Sat 12-03-47-PM,5.196,7.504,8.065,8.659,4.993,6.248,7.302,7.969
09-27-2025-Sat 12-03-49-PM,5.196,7.504,8.031,8.603,4.993,6.225,7.257,7.902
09-27-2025-Sat 12-03-52-PM,5.111,7.392,7.93,8.547,4.915,6.125,7.19,7.851
09-27-2025-Sat 12-03-55-PM,5.027,7.314,7.885,8.502,4.836,6.069,7.145,7.801
09-27-2025-Sat 12-03-59-PM,5.044,7.325,7.841,8.39,4.836,6.046,7.055,7.683
09-27-2025-Sat 12-04-04-PM,4.994,7.257,7.807,8.479,4.769,5.968,7.134,7.801
09-27-2025-Sat 12-04-09-PM,4.826,7.145,7.728,8.356,4.646,5.912,7.055,7.666
09-27-2025-Sat 12-04-11-PM,4.759,7.022,7.571,8.177,4.556,5.766,6.842,7.481
09-27-2025-Sat 12-04-13-PM,4.742,7.022,7.56,8.132,4.534,5.755,6.809,7.431
09-27-2025-Sat 12-04-16-PM,4.708,6.954,7.504,8.087,4.489,5.687,6.775,7.38
09-27-2025-Sat 12-04-18-PM,4.657,6.898,7.459,8.02,4.444,5.654,6.708,7.313
09-27-2025-Sat 12-04-21-PM,4.607,6.876,7.414,7.952,4.399,5.609,6.652,7.229
09-27-2025-Sat 12-04-23-PM,4.523,6.786,7.358,7.908,4.321,5.542,6.607,7.178
09-27-2025-Sat 12-04-25-PM,4.489,6.741,7.291,7.818,4.276,5.486,6.517,7.094
09-27-2025-Sat 12-04-28-PM,4.439,6.685,7.235,7.784,4.242,5.441,6.484,7.06
09-27-2025-Sat 12-04-30-PM,4.422,6.663,7.201,7.728,4.209,5.396,6.45,6.993
09-27-2025-Sat 12-04-32-PM,4.371,6.618,7.19,7.706,4.152,5.362,6.416,6.96
09-27-2025-Sat 12-04-35-PM,4.305,6.562,7.112,7.649,4.108,5.306,6.36,6.909
09-27-2025-Sat 12-04-37-PM,4.237,6.517,7.1,7.616,4.04,5.284,6.326,6.875
09-27-2025-Sat 12-04-39-PM,4.254,6.495,7.044,7.537,4.029,5.228,6.27,6.791
09-27-2025-Sat 12-04-42-PM,4.187,6.428,6.977,7.481,3.973,5.172,6.214,6.741
09-27-2025-Sat 12-04-44-PM,4.136,6.382,6.954,7.448,3.928,5.138,6.181,6.691
09-27-2025-Sat 12-04-47-PM,4.103,6.371,6.932,7.391,3.884,5.116,6.136,6.64
09-27-2025-Sat 12-04-49-PM,4.052,6.304,6.865,7.358,3.85,5.06,6.091,6.607
09-27-2025-Sat 12-04-51-PM,4.018,6.248,6.831,7.313,3.805,5.015,6.069,6.556
09-27-2025-Sat 12-04-54-PM,3.969,6.226,6.809,7.268,3.761,4.993,6.024,6.506
09-27-2025-Sat 12-04-56-PM,3.918,6.169,6.741,7.212,3.716,4.936,5.967,6.455
09-27-2025-Sat 12-04-58-PM,3.851,6.091,6.697,7.178,3.648,4.881,5.945,6.421
09-27-2025-Sat 12-05-01-PM,3.868,6.069,6.652,7.134,3.637,4.824,5.889,6.371
09-27-2025-Sat 12-05-03-PM,3.817,6.057,6.629,7.077,3.592,4.813,5.844,6.32
09-27-2025-Sat 12-05-05-PM,3.767,6.001,6.584,7.044,3.548,4.768,5.811,6.287
09-27-2025-Sat 12-05-08-PM,3.716,5.979,6.551,6.999,3.503,4.734,5.755,6.236
09-27-2025-Sat 12-05-11-PM,3.683,5.901,6.495,6.954,3.458,4.667,5.721,6.186
09-27-2025-Sat 12-05-13-PM,3.632,5.867,6.438,6.887,3.413,4.622,5.654,6.119
09-27-2025-Sat 12-05-15-PM,3.565,5.777,6.383,6.853,3.346,4.567,5.609,6.102
09-27-2025-Sat 12-05-18-PM,3.515,5.755,6.371,6.797,3.301,4.555,5.587,6.035
09-27-2025-Sat 12-05-20-PM,3.464,5.71,6.327,6.752,3.257,4.51,5.542,5.984
09-27-2025-Sat 12-05-22-PM,3.464,5.676,6.259,6.719,3.256,4.454,5.508,5.95
