Cell 9 Timestamp,15pct Cell 9 Current,15pct Cell 9 Voltage,15pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,15pct Cell 10 Current,15pct Cell 10 Voltage,15pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,15pct Cell 11 Current,15pct Cell 11 Voltage,15pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,15pct Cell 12 Current,15pct Cell 12 Voltage,15pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,10pct Cell 13 Current,10pct Cell 13 Voltage,10pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,10pct Cell 14 Current,10pct Cell 14 Voltage,10pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,10pct Cell 15 Current,10pct Cell 15 Voltage,10pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,10pct Cell 16 Current,10pct Cell 16 Voltage,10pct Cell 16 Temp,Cell 16 Resistance
09-12-2025-Fri 12-24-42-PM,0.1,5.944,-52.8979,74.3,09-12-2025-Fri 12-24-42-PM,0.3,5.952,-51.313,24.8,09-12-2025-Fri 12-24-42-PM,0.1,5.952,-51.2799,74.4,09-12-2025-Fri 12-24-42-PM,0.4,5.952,-50.09,18.6,09-12-2025-Fri 12-24-42-PM,0.2,5.944,-50.5862,37.15,09-12-2025-Fri 12-24-42-PM,0,5.96,-50.024,inf,09-12-2025-Fri 12-24-42-PM,0.1,5.948,-50.5202,74.35,09-12-2025-Fri 12-24-42-PM,0.2,5.952,-50.372,37.2
09-12-2025-Fri 12-24-45-PM,0.4,5.948,-52.8649,18.5875,09-12-2025-Fri 12-24-45-PM,0.4,5.952,-51.313,18.6,09-12-2025-Fri 12-24-45-PM,0.2,5.956,-51.2799,37.225,09-12-2025-Fri 12-24-45-PM,0.2,5.952,-50.123,37.2,09-12-2025-Fri 12-24-45-PM,0.3,5.944,-50.6192,24.7667,09-12-2025-Fri 12-24-45-PM,0.1,5.96,-50.035,74.5,09-12-2025-Fri 12-24-45-PM,0.2,5.948,-50.5202,37.175,09-12-2025-Fri 12-24-45-PM,0.1,5.952,-50.355,74.4
09-12-2025-Fri 12-24-47-PM,0.2,5.948,-52.8979,37.175,09-12-2025-Fri 12-24-47-PM,0.3,5.956,-51.335,24.8167,09-12-2025-Fri 12-24-47-PM,0.2,5.96,-51.2799,37.25,09-12-2025-Fri 12-24-47-PM,0.3,5.952,-50.167,24.8,09-12-2025-Fri 12-24-47-PM,0.2,5.948,-50.6192,37.175,09-12-2025-Fri 12-24-47-PM,0.3,5.964,-50.046,24.85,09-12-2025-Fri 12-24-47-PM,0.2,5.944,-50.5202,37.15,09-12-2025-Fri 12-24-47-PM,0.3,5.952,-50.372,24.8
09-12-2025-Fri 12-24-49-PM,0.2,5.948,-52.8979,37.175,09-12-2025-Fri 12-24-49-PM,0.5,5.956,-51.335,14.89,09-12-2025-Fri 12-24-49-PM,0,5.96,-51.2799,inf,09-12-2025-Fri 12-24-49-PM,0.4,5.956,-50.156,18.6125,09-12-2025-Fri 12-24-49-PM,-0.1,5.948,-50.6192,-74.35,09-12-2025-Fri 12-24-49-PM,0.2,5.964,-50.057,37.275,09-12-2025-Fri 12-24-49-PM,0.2,5.948,-50.5531,37.175,09-12-2025-Fri 12-24-49-PM,0.2,5.952,-50.388,37.2
09-12-2025-Fri 12-24-52-PM,0.4,5.948,-52.8979,18.5875,09-12-2025-Fri 12-24-52-PM,0.2,5.956,-51.357,37.225,09-12-2025-Fri 12-24-52-PM,0.2,5.96,-51.3129,37.25,09-12-2025-Fri 12-24-52-PM,0.3,5.956,-50.156,24.8167,09-12-2025-Fri 12-24-52-PM,0.1,5.944,-50.6522,74.3,09-12-2025-Fri 12-24-52-PM,0.2,5.964,-50.079,37.275,09-12-2025-Fri 12-24-52-PM,0.4,5.948,-50.5531,18.5875,09-12-2025-Fri 12-24-52-PM,0.4,5.956,-50.404,18.6125
09-12-2025-Fri 12-24-54-PM,0.4,5.948,-52.9308,18.5875,09-12-2025-Fri 12-24-54-PM,0.4,5.956,-51.357,18.6125,09-12-2025-Fri 12-24-54-PM,0.2,5.956,-51.3129,37.225,09-12-2025-Fri 12-24-54-PM,0.1,5.956,-50.201,74.45,09-12-2025-Fri 12-24-54-PM,0.2,5.944,-50.6522,37.15,09-12-2025-Fri 12-24-54-PM,0.3,5.96,-50.079,24.8333,09-12-2025-Fri 12-24-54-PM,-0.1,5.948,-50.5531,-74.35,09-12-2025-Fri 12-24-54-PM,0.2,5.952,-50.404,37.2
09-12-2025-Fri 12-24-56-PM,0.3,5.952,-52.9308,24.8,09-12-2025-Fri 12-24-56-PM,0.4,5.96,-51.368,18.625,09-12-2025-Fri 12-24-56-PM,0.2,5.956,-51.3459,37.225,09-12-2025-Fri 12-24-56-PM,0.1,5.956,-50.2,74.45,09-12-2025-Fri 12-24-56-PM,0.2,5.944,-50.6853,37.15,09-12-2025-Fri 12-24-56-PM,0.2,5.96,-50.09,37.25,09-12-2025-Fri 12-24-56-PM,0.1,5.948,-50.5862,74.35,09-12-2025-Fri 12-24-56-PM,0.2,5.952,-50.438,37.2
09-12-2025-Fri 12-24-59-PM,0.4,5.948,-52.9308,18.5875,09-12-2025-Fri 12-24-59-PM,0.3,5.956,-51.401,24.8167,09-12-2025-Fri 12-24-59-PM,0.3,5.96,-51.3129,24.8333,09-12-2025-Fri 12-24-59-PM,0.3,5.956,-50.223,24.8167,09-12-2025-Fri 12-24-59-PM,-0.1,5.948,-50.6853,-74.35,09-12-2025-Fri 12-24-59-PM,0.1,5.964,-50.113,74.55,09-12-2025-Fri 12-24-59-PM,0.2,5.948,-50.5862,37.175,09-12-2025-Fri 12-24-59-PM,0.1,5.952,-50.454,74.4
09-12-2025-Fri 12-25-01-PM,0.4,5.948,-52.9308,18.5875,09-12-2025-Fri 12-25-01-PM,0.1,5.956,-51.379,74.45,09-12-2025-Fri 12-25-01-PM,0.1,5.956,-51.379,74.45,09-12-2025-Fri 12-25-01-PM,0.4,5.956,-50.234,18.6125,09-12-2025-Fri 12-25-01-PM,0,5.944,-50.7184,inf,09-12-2025-Fri 12-25-01-PM,0.1,5.964,-50.135,74.55,09-12-2025-Fri 12-25-01-PM,0.2,5.948,-50.6192,37.175,09-12-2025-Fri 12-25-01-PM,0.2,5.952,-50.47,37.2
09-12-2025-Fri 12-25-03-PM,0.5,5.948,-52.9638,14.87,09-12-2025-Fri 12-25-03-PM,0.2,5.956,-51.423,37.225,09-12-2025-Fri 12-25-03-PM,-0.1,5.956,-51.379,-74.45,09-12-2025-Fri 12-25-03-PM,0.1,5.956,-50.245,74.45,09-12-2025-Fri 12-25-03-PM,0,5.944,-50.7184,inf,09-12-2025-Fri 12-25-03-PM,0.1,5.96,-50.135,74.5,09-12-2025-Fri 12-25-03-PM,0.3,5.948,-50.6192,24.7833,09-12-2025-Fri 12-25-03-PM,0.3,5.956,-50.47,24.8167
