Cell 9 Timestamp,30pct Cell 9 Current,30pct Cell 9 Voltage,30pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,30pct Cell 10 Current,30pct Cell 10 Voltage,30pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,30pct Cell 11 Current,30pct Cell 11 Voltage,30pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,30pct Cell 12 Current,30pct Cell 12 Voltage,30pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,35pct Cell 13 Current,35pct Cell 13 Voltage,35pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,35pct Cell 14 Current,35pct Cell 14 Voltage,35pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,35pct Cell 15 Current,35pct Cell 15 Voltage,35pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,35pct Cell 16 Current,35pct Cell 16 Voltage,35pct Cell 16 Temp,Cell 16 Resistance
09-05-2025-Fri 20-13-43-PM,0.1,5.904,-64.5911,73.8,09-05-2025-Fri 20-13-43-PM,0.4,5.912,-63.166,18.475,09-05-2025-Fri 20-13-43-PM,0.2,5.912,-63.2432,36.95,09-05-2025-Fri 20-13-43-PM,0.3,5.908,-61.521,24.6167,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-14-23-PM,0.4,5.904,-65.4455,18.45,09-05-2025-Fri 20-14-23-PM,0.3,5.912,-63.846,24.6333,09-05-2025-Fri 20-14-23-PM,0.1,5.908,-63.9337,73.85,09-05-2025-Fri 20-14-23-PM,0.4,5.908,-62.125,18.4625,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-14-25-PM,0,5.9,-65.5112,inf,09-05-2025-Fri 20-14-25-PM,0.2,5.912,-63.857,36.95,09-05-2025-Fri 20-14-25-PM,0.2,5.912,-63.9666,36.95,09-05-2025-Fri 20-14-25-PM,0.2,5.912,-62.136,36.95,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-14-28-PM,0.1,5.904,-65.544,73.8,09-05-2025-Fri 20-14-28-PM,0.2,5.912,-63.9,36.95,09-05-2025-Fri 20-14-28-PM,0.3,5.912,-63.9993,24.6333,09-05-2025-Fri 20-14-28-PM,0.2,5.908,-62.157,36.925,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-15-22-PM,0.3,5.9,-66.1682,24.5833,09-05-2025-Fri 20-15-22-PM,0.3,5.912,-64.525,24.6333,09-05-2025-Fri 20-15-22-PM,0.2,5.912,-64.6239,36.95,09-05-2025-Fri 20-15-22-PM,0.2,5.908,-62.793,36.925,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-15-25-PM,0.5,5.904,-66.1682,14.76,09-05-2025-Fri 20-15-25-PM,0.1,5.908,-64.547,73.85,09-05-2025-Fri 20-15-25-PM,0.6,5.912,-64.6239,12.3167,09-05-2025-Fri 20-15-25-PM,0.3,5.912,-62.771,24.6333,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-15-27-PM,0.3,5.908,-66.201,24.6167,09-05-2025-Fri 20-15-27-PM,0.1,5.912,-64.558,73.9,09-05-2025-Fri 20-15-27-PM,0.3,5.908,-64.6567,24.6167,09-05-2025-Fri 20-15-27-PM,0.4,5.908,-62.793,18.4625,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-16-10-PM,0.1,5.9,-66.5623,73.75,09-05-2025-Fri 20-16-10-PM,0.2,5.912,-64.941,36.95,09-05-2025-Fri 20-16-10-PM,0.1,5.912,-65.0183,73.9,09-05-2025-Fri 20-16-10-PM,0.3,5.908,-63.188,24.6167,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-16-12-PM,0.2,5.904,-66.5952,36.9,09-05-2025-Fri 20-16-12-PM,0.3,5.908,-64.974,24.6167,09-05-2025-Fri 20-16-12-PM,0.2,5.912,-65.0511,36.95,09-05-2025-Fri 20-16-12-PM,0.3,5.908,-63.221,24.6167,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-16-15-PM,0.1,5.904,-66.6279,73.8,09-05-2025-Fri 20-16-15-PM,0.2,5.908,-64.985,36.925,09-05-2025-Fri 20-16-15-PM,0,5.908,-65.084,inf,09-05-2025-Fri 20-16-15-PM,0.1,5.912,-63.243,73.9,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-16-17-PM,0.3,5.9,-66.6279,24.5833,09-05-2025-Fri 20-16-17-PM,0.1,5.908,-65.007,73.85,09-05-2025-Fri 20-16-17-PM,0.1,5.912,-65.1169,73.9,09-05-2025-Fri 20-16-17-PM,0.5,5.908,-63.265,14.77,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-16-19-PM,0.1,5.904,-66.6279,73.8,09-05-2025-Fri 20-16-19-PM,0,5.912,-65.007,inf,09-05-2025-Fri 20-16-19-PM,0.1,5.912,-65.1169,73.9,09-05-2025-Fri 20-16-19-PM,0.3,5.912,-63.298,24.6333,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-16-22-PM,0.2,5.904,-66.6937,36.9,09-05-2025-Fri 20-16-22-PM,0,5.908,-65.062,inf,09-05-2025-Fri 20-16-22-PM,-0.1,5.912,-65.1497,-73.9,09-05-2025-Fri 20-16-22-PM,0.1,5.908,-63.32,73.85,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-17-35-PM,0.1,5.904,-67.1863,73.8,09-05-2025-Fri 20-17-35-PM,0.1,5.908,-65.598,73.85,09-05-2025-Fri 20-17-35-PM,0.1,5.912,-65.6754,73.9,09-05-2025-Fri 20-17-35-PM,0.1,5.908,-63.878,73.85,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-18-13-PM,0.1,5.904,-67.4488,73.8,09-05-2025-Fri 20-18-13-PM,0.3,5.908,-65.927,24.6167,09-05-2025-Fri 20-18-13-PM,0.3,5.912,-65.971,24.6333,09-05-2025-Fri 20-18-13-PM,0.1,5.904,-64.185,73.8,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-18-15-PM,0.2,5.904,-67.4817,36.9,09-05-2025-Fri 20-18-15-PM,0.2,5.908,-65.927,36.925,09-05-2025-Fri 20-18-15-PM,0.2,5.912,-65.971,36.95,09-05-2025-Fri 20-18-15-PM,0.2,5.908,-64.163,36.925,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-18-17-PM,0,5.9,-67.4488,inf,09-05-2025-Fri 20-18-17-PM,0.2,5.912,-65.872,36.95,09-05-2025-Fri 20-18-17-PM,0.3,5.912,-65.9383,24.6333,09-05-2025-Fri 20-18-17-PM,0.1,5.912,-64.218,73.9,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-18-20-PM,0.3,5.904,-67.4817,24.6,09-05-2025-Fri 20-18-20-PM,0.1,5.912,-65.905,73.9,09-05-2025-Fri 20-18-20-PM,0.1,5.908,-65.971,73.85,09-05-2025-Fri 20-18-20-PM,0.2,5.908,-64.196,36.925,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-18-22-PM,0.3,5.904,-67.4817,24.6,09-05-2025-Fri 20-18-22-PM,0.1,5.912,-65.949,73.9,09-05-2025-Fri 20-18-22-PM,0.1,5.912,-65.971,73.9,09-05-2025-Fri 20-18-22-PM,0.3,5.912,-64.229,24.6333,,,,,,,,,,,,,,,,,,,,
09-05-2025-Fri 20-18-24-PM,0.1,5.904,-67.5146,73.8,09-05-2025-Fri 20-18-24-PM,0.1,5.912,-65.971,73.9,09-05-2025-Fri 20-18-24-PM,0,5.912,-66.0039,inf,09-05-2025-Fri 20-18-24-PM,0.3,5.908,-64.229,24.6167,,,,,,,,,,,,,,,,,,,,
