Cell 1 Timestamp,45pct Cell 1 Current,45pct Cell 1 Voltage,45pct Cell 1 Temp,Cell 1 Resistance,Cell 2 Timestamp,45pct Cell 2 Current,45pct Cell 2 Voltage,45pct Cell 2 Temp,Cell 2 Resistance,Cell 3 Timestamp,45pct Cell 3 Current,45pct Cell 3 Voltage,45pct Cell 3 Temp,Cell 3 Resistance,Cell 4 Timestamp,45pct Cell 4 Current,45pct Cell 4 Voltage,45pct Cell 4 Temp,Cell 4 Resistance,Cell 5 Timestamp,40pct Cell 5 Current,40pct Cell 5 Voltage,40pct Cell 5 Temp,Cell 5 Resistance,Cell 6 Timestamp,40pct Cell 6 Current,40pct Cell 6 Voltage,40pct Cell 6 Temp,Cell 6 Resistance,Cell 7 Timestamp,40pct Cell 7 Current,40pct Cell 7 Voltage,40pct Cell 7 Temp,Cell 7 Resistance,Cell 8 Timestamp,40pct Cell 8 Current,40pct Cell 8 Voltage,40pct Cell 8 Temp,Cell 8 Resistance,Cell 9 Timestamp,35pct Cell 9 Current,35pct Cell 9 Voltage,35pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,35pct Cell 10 Current,35pct Cell 10 Voltage,35pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,35pct Cell 11 Current,35pct Cell 11 Voltage,35pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,35pct Cell 12 Current,35pct Cell 12 Voltage,35pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,30pct Cell 13 Current,30pct Cell 13 Voltage,30pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,30pct Cell 14 Current,30pct Cell 14 Voltage,30pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,30pct Cell 15 Current,30pct Cell 15 Voltage,30pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,30pct Cell 16 Current,30pct Cell 16 Voltage,30pct Cell 16 Temp,Cell 16 Resistance
09-27-2025-Sat 13-27-36-PM,0.1,5.964,-63.586,74.55,,,,,,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-27-36-PM,0.3,5.968,-61.894,24.8667,09-27-2025-Sat 13-27-36-PM,0.4,5.968,-61.6314,18.65,09-27-2025-Sat 13-27-36-PM,0.1,5.964,-67.2519,74.55,09-27-2025-Sat 13-27-36-PM,0.1,5.968,-64.239,74.6,09-27-2025-Sat 13-27-36-PM,0.2,5.968,-65.544,37.3,09-27-2025-Sat 13-27-36-PM,0.4,5.964,-63.406,18.6375,09-27-2025-Sat 13-27-36-PM,0.1,5.956,-64.9854,74.45,09-27-2025-Sat 13-27-36-PM,0.2,5.972,-63.012,37.325,09-27-2025-Sat 13-27-36-PM,0.2,5.96,-63.7035,37.25,09-27-2025-Sat 13-27-36-PM,0.0,5.964,-62.667,inf
09-27-2025-Sat 13-27-38-PM,0.6,5.96,-63.602,12.4167,,,,,,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-27-38-PM,0.3,5.968,-61.916,24.8667,09-27-2025-Sat 13-27-38-PM,0.2,5.968,-61.6643,37.3,09-27-2025-Sat 13-27-38-PM,0.3,5.956,-67.2519,24.8167,09-27-2025-Sat 13-27-38-PM,0.2,5.968,-64.25,37.3,09-27-2025-Sat 13-27-38-PM,0.0,5.968,-65.544,inf,09-27-2025-Sat 13-27-38-PM,-0.1,5.968,-63.417,-74.6,09-27-2025-Sat 13-27-38-PM,0.1,5.96,-65.0511,74.5,09-27-2025-Sat 13-27-38-PM,0.3,5.972,-63.045,24.8833,09-27-2025-Sat 13-27-38-PM,0.3,5.96,-63.7035,24.8333,09-27-2025-Sat 13-27-38-PM,0.3,5.964,-62.684,24.85
09-27-2025-Sat 13-27-41-PM,0.3,5.964,-63.652,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-27-41-PM,0.2,5.968,-61.96,37.3,09-27-2025-Sat 13-27-41-PM,0.3,5.972,-61.6971,24.8833,09-27-2025-Sat 13-27-41-PM,0.1,5.96,-67.2847,74.5,09-27-2025-Sat 13-27-41-PM,0.1,5.968,-64.293,74.6,09-27-2025-Sat 13-27-41-PM,0.1,5.964,-65.5769,74.55,09-27-2025-Sat 13-27-41-PM,0.1,5.964,-63.439,74.55,09-27-2025-Sat 13-27-41-PM,0.1,5.96,-65.0511,74.5,09-27-2025-Sat 13-27-41-PM,0.2,5.972,-63.078,37.325,09-27-2025-Sat 13-27-41-PM,0.1,5.96,-63.7364,74.5,09-27-2025-Sat 13-27-41-PM,0.1,5.964,-62.717,74.55
09-27-2025-Sat 13-27-43-PM,0.3,5.96,-63.718,24.8333,,,,,,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-27-43-PM,0.0,5.972,-61.971,inf,09-27-2025-Sat 13-27-43-PM,0.4,5.968,-61.7301,18.65,09-27-2025-Sat 13-27-43-PM,0.1,5.96,-67.3176,74.5,09-27-2025-Sat 13-27-43-PM,0.2,5.968,-64.348,37.3,09-27-2025-Sat 13-27-43-PM,0.2,5.972,-65.6098,37.325,09-27-2025-Sat 13-27-43-PM,0.2,5.968,-63.472,37.3,09-27-2025-Sat 13-27-43-PM,0.0,5.956,-65.084,inf,09-27-2025-Sat 13-27-43-PM,0.2,5.972,-63.089,37.325,09-27-2025-Sat 13-27-43-PM,0.1,5.96,-63.7693,74.5,09-27-2025-Sat 13-27-43-PM,0.2,5.964,-62.75,37.275
09-27-2025-Sat 13-27-45-PM,0.4,5.96,-63.685,18.625,,,,,,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-27-45-PM,0.2,5.972,-62.026,37.325,09-27-2025-Sat 13-27-45-PM,0.4,5.972,-61.763,18.6625,09-27-2025-Sat 13-27-45-PM,0.5,5.964,-67.3176,14.91,09-27-2025-Sat 13-27-45-PM,0.1,5.968,-64.337,74.6,09-27-2025-Sat 13-27-45-PM,-0.1,5.968,-65.6425,-74.6,09-27-2025-Sat 13-27-45-PM,0.3,5.964,-63.483,24.85,09-27-2025-Sat 13-27-45-PM,0.3,5.96,-65.1169,24.8333,09-27-2025-Sat 13-27-45-PM,0.2,5.972,-63.144,37.325,09-27-2025-Sat 13-27-45-PM,0.2,5.956,-63.8022,37.225,09-27-2025-Sat 13-27-45-PM,0.0,5.964,-62.783,inf
09-27-2025-Sat 13-27-48-PM,0.3,5.964,-63.75,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-27-48-PM,0.3,5.968,-62.048,24.8667,09-27-2025-Sat 13-27-48-PM,0.2,5.972,-61.7959,37.325,09-27-2025-Sat 13-27-48-PM,0.3,5.964,-67.3504,24.85,09-27-2025-Sat 13-27-48-PM,0.1,5.968,-64.392,74.6,09-27-2025-Sat 13-27-48-PM,0.0,5.968,-65.6754,inf,09-27-2025-Sat 13-27-48-PM,0.4,5.968,-63.538,18.65,09-27-2025-Sat 13-27-48-PM,0.0,5.956,-65.1497,inf,09-27-2025-Sat 13-27-48-PM,0.0,5.972,-63.166,inf,09-27-2025-Sat 13-27-48-PM,0.1,5.96,-63.8022,74.5,09-27-2025-Sat 13-27-48-PM,0.1,5.964,-62.799,74.55
09-27-2025-Sat 13-27-50-PM,0.4,5.96,-63.717,18.625,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-27-50-PM,0.0,5.972,-60.5783,inf,09-27-2025-Sat 13-27-50-PM,0.1,5.972,-62.081,74.65,09-27-2025-Sat 13-27-50-PM,0.4,5.968,-61.8288,18.65,09-27-2025-Sat 13-27-50-PM,0.3,5.96,-67.3504,24.8333,09-27-2025-Sat 13-27-50-PM,0.2,5.968,-64.381,37.3,09-27-2025-Sat 13-27-50-PM,0.3,5.972,-65.7083,24.8833,09-27-2025-Sat 13-27-50-PM,0.2,5.964,-63.549,37.275,09-27-2025-Sat 13-27-50-PM,0.2,5.96,-65.1497,37.25,09-27-2025-Sat 13-27-50-PM,0.2,5.976,-63.188,37.35,09-27-2025-Sat 13-27-50-PM,0.1,5.96,-63.835,74.5,09-27-2025-Sat 13-27-50-PM,0.1,5.964,-62.832,74.55
09-27-2025-Sat 13-27-52-PM,0.2,5.96,-63.8,37.25,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-27-52-PM,0.6,5.972,-60.5783,12.4417,09-27-2025-Sat 13-27-52-PM,0.2,5.968,-62.103,37.3,09-27-2025-Sat 13-27-52-PM,0.2,5.968,-61.8617,37.3,09-27-2025-Sat 13-27-52-PM,0.3,5.956,-67.3832,24.8167,09-27-2025-Sat 13-27-52-PM,0.3,5.972,-64.436,24.8833,09-27-2025-Sat 13-27-52-PM,0.0,5.972,-65.7083,inf,09-27-2025-Sat 13-27-52-PM,0.4,5.964,-63.593,18.6375,09-27-2025-Sat 13-27-52-PM,0.2,5.96,-65.1826,37.25,09-27-2025-Sat 13-27-52-PM,0.2,5.972,-63.21,37.325,09-27-2025-Sat 13-27-52-PM,0.3,5.96,-63.8679,24.8333,09-27-2025-Sat 13-27-52-PM,0.3,5.968,-62.865,24.8667
09-27-2025-Sat 13-28-35-PM,0.1,5.968,-64.227,74.6,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-28-35-PM,0.7,5.972,-61.1707,10.6643,09-27-2025-Sat 13-28-35-PM,0.0,5.972,-62.651,inf,09-27-2025-Sat 13-28-35-PM,0.1,5.972,-62.4539,74.65,09-27-2025-Sat 13-28-35-PM,0.4,5.964,-67.6787,18.6375,09-27-2025-Sat 13-28-35-PM,-0.2,5.968,-64.852,-37.3,09-27-2025-Sat 13-28-35-PM,-0.1,5.972,-66.1025,-74.65,09-27-2025-Sat 13-28-35-PM,0.2,5.968,-64.031,37.3,09-27-2025-Sat 13-28-35-PM,0.1,5.96,-65.6098,74.5,09-27-2025-Sat 13-28-35-PM,0.2,5.976,-63.703,37.35,09-27-2025-Sat 13-28-35-PM,0.1,5.96,-64.328,74.5,09-27-2025-Sat 13-28-35-PM,0.1,5.968,-63.391,74.6
09-27-2025-Sat 13-28-37-PM,0.5,5.964,-64.277,14.91,,,,,,,,,,,,,,,,,,,,,09-27-2025-Sat 13-28-37-PM,0.3,5.972,-61.2036,24.8833,09-27-2025-Sat 13-28-37-PM,0.0,5.972,-62.684,inf,09-27-2025-Sat 13-28-37-PM,0.3,5.972,-62.4868,24.8833,09-27-2025-Sat 13-28-37-PM,0.2,5.96,-67.7115,37.25,09-27-2025-Sat 13-28-37-PM,0.2,5.968,-64.896,37.3,09-27-2025-Sat 13-28-37-PM,0.2,5.968,-66.1353,37.3,09-27-2025-Sat 13-28-37-PM,0.2,5.968,-64.075,37.3,09-27-2025-Sat 13-28-37-PM,0.3,5.96,-65.6425,24.8333,09-27-2025-Sat 13-28-37-PM,0.2,5.972,-63.736,37.325,09-27-2025-Sat 13-28-37-PM,-0.1,5.964,-64.361,-74.55,09-27-2025-Sat 13-28-37-PM,0.0,5.968,-63.424,inf
