Cell 9 Timestamp,50pct Cell 9 Current,50pct Cell 9 Voltage,50pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,50pct Cell 10 Current,50pct Cell 10 Voltage,50pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,50pct Cell 11 Current,50pct Cell 11 Voltage,50pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,50pct Cell 12 Current,50pct Cell 12 Voltage,50pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,50pct Cell 13 Current,50pct Cell 13 Voltage,50pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,50pct Cell 14 Current,50pct Cell 14 Voltage,50pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,50pct Cell 15 Current,50pct Cell 15 Voltage,50pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,50pct Cell 16 Current,50pct Cell 16 Voltage,50pct Cell 16 Temp,Cell 16 Resistance
08-29-2025-Fri 15-30-24-PM,0.1,5.908,-70.2708,73.85,08-29-2025-Fri 15-30-24-PM,0.2,5.912,-69.932,36.95,08-29-2025-Fri 15-30-24-PM,0.3,5.916,-69.6148,24.65,08-29-2025-Fri 15-30-24-PM,0.4,5.908,-68.97,18.4625,08-29-2025-Fri 15-30-24-PM,0.1,5.904,-68.729,73.8,08-29-2025-Fri 15-30-24-PM,0.2,5.916,-69.013,36.975,,,,,,08-29-2025-Fri 15-30-24-PM,0.2,5.908,-69.779,36.925
08-29-2025-Fri 15-31-46-PM,0.1,5.904,-70.861,73.8,08-29-2025-Fri 15-31-46-PM,0.3,5.908,-70.5,24.6167,08-29-2025-Fri 15-31-46-PM,0.4,5.912,-70.2052,18.475,08-29-2025-Fri 15-31-46-PM,0.5,5.908,-69.593,14.77,08-29-2025-Fri 15-31-46-PM,0.1,5.9,-69.4179,73.75,08-29-2025-Fri 15-31-46-PM,0.2,5.912,-69.615,36.95,,,,,,08-29-2025-Fri 15-31-46-PM,0.3,5.908,-70.353,24.6167
08-29-2025-Fri 15-31-49-PM,0.2,5.908,-70.861,36.925,08-29-2025-Fri 15-31-49-PM,0.3,5.908,-70.533,24.6167,08-29-2025-Fri 15-31-49-PM,0,5.908,-70.2052,inf,08-29-2025-Fri 15-31-49-PM,0.3,5.908,-69.626,24.6167,08-29-2025-Fri 15-31-49-PM,0.7,5.904,-69.4508,10.5429,08-29-2025-Fri 15-31-49-PM,0.2,5.916,-69.735,36.975,,,,,,08-29-2025-Fri 15-31-49-PM,0.1,5.908,-70.484,73.85
08-29-2025-Fri 15-31-51-PM,0.4,5.904,-70.861,18.45,08-29-2025-Fri 15-31-51-PM,0.5,5.912,-70.522,14.78,08-29-2025-Fri 15-31-51-PM,0.1,5.912,-70.2379,73.9,08-29-2025-Fri 15-31-51-PM,0.2,5.912,-69.669,36.95,08-29-2025-Fri 15-31-51-PM,0.3,5.9,-69.4836,24.5833,08-29-2025-Fri 15-31-51-PM,0.3,5.916,-69.636,24.65,,,,,,08-29-2025-Fri 15-31-51-PM,0.2,5.908,-70.336,36.925
08-29-2025-Fri 15-31-53-PM,0.4,5.9,-70.8937,18.4375,08-29-2025-Fri 15-31-53-PM,0.1,5.912,-70.555,73.9,08-29-2025-Fri 15-31-53-PM,0.5,5.912,-70.2379,14.78,08-29-2025-Fri 15-31-53-PM,0.3,5.908,-69.669,24.6167,08-29-2025-Fri 15-31-53-PM,0,5.9,-69.4508,inf,08-29-2025-Fri 15-31-53-PM,0.2,5.916,-69.702,36.975,,,,,,08-29-2025-Fri 15-31-53-PM,0.2,5.908,-70.451,36.925
08-29-2025-Fri 15-31-56-PM,0,5.904,-70.8937,inf,08-29-2025-Fri 15-31-56-PM,0.4,5.912,-70.555,18.475,08-29-2025-Fri 15-31-56-PM,0,5.912,-70.2379,inf,08-29-2025-Fri 15-31-56-PM,0.5,5.908,-69.658,14.77,08-29-2025-Fri 15-31-56-PM,0.5,5.904,-69.4836,14.76,08-29-2025-Fri 15-31-56-PM,0.1,5.916,-69.702,73.95,08-29-2025-Fri 15-31-56-PM,0.1,5.904,-71.0249,73.8,08-29-2025-Fri 15-31-56-PM,0.4,5.908,-70.435,18.4625
08-29-2025-Fri 15-31-58-PM,0.2,5.904,-70.9266,36.9,08-29-2025-Fri 15-31-58-PM,0.1,5.912,-70.566,73.9,08-29-2025-Fri 15-31-58-PM,0.3,5.908,-70.2379,24.6167,08-29-2025-Fri 15-31-58-PM,0.4,5.908,-69.691,18.4625,08-29-2025-Fri 15-31-58-PM,0,5.9,-69.5164,inf,08-29-2025-Fri 15-31-58-PM,0.4,5.916,-69.713,18.4875,08-29-2025-Fri 15-31-58-PM,0.2,5.904,-71.0249,36.9,08-29-2025-Fri 15-31-58-PM,0.3,5.904,-70.451,24.6
08-29-2025-Fri 15-32-00-PM,0.1,5.904,-70.9266,73.8,08-29-2025-Fri 15-32-00-PM,0.1,5.912,-70.588,73.9,08-29-2025-Fri 15-32-00-PM,0.1,5.912,-70.2708,73.9,08-29-2025-Fri 15-32-00-PM,0.1,5.912,-69.713,73.9,08-29-2025-Fri 15-32-00-PM,0.2,5.904,-69.5164,36.9,08-29-2025-Fri 15-32-00-PM,0.3,5.916,-69.757,24.65,08-29-2025-Fri 15-32-00-PM,0.5,5.904,-71.1561,14.76,08-29-2025-Fri 15-32-00-PM,0.2,5.904,-70.517,36.9
08-29-2025-Fri 15-32-03-PM,0.4,5.904,-70.9266,18.45,08-29-2025-Fri 15-32-03-PM,0.2,5.912,-70.588,36.95,08-29-2025-Fri 15-32-03-PM,0.2,5.908,-70.3036,36.925,08-29-2025-Fri 15-32-03-PM,0.1,5.908,-69.735,73.85,08-29-2025-Fri 15-32-03-PM,0,5.904,-69.5164,inf,08-29-2025-Fri 15-32-03-PM,0.6,5.916,-69.746,12.325,08-29-2025-Fri 15-32-03-PM,0.4,5.904,-71.0905,18.45,08-29-2025-Fri 15-32-03-PM,0.4,5.908,-70.5,18.4625
08-29-2025-Fri 15-32-05-PM,0.2,5.904,-70.9594,36.9,08-29-2025-Fri 15-32-05-PM,0.4,5.908,-70.61,18.4625,08-29-2025-Fri 15-32-05-PM,0.1,5.912,-70.3364,73.9,08-29-2025-Fri 15-32-05-PM,0.3,5.912,-69.768,24.6333,08-29-2025-Fri 15-32-05-PM,0.4,5.9,-69.5492,18.4375,08-29-2025-Fri 15-32-05-PM,0.1,5.916,-69.768,73.95,08-29-2025-Fri 15-32-05-PM,0.2,5.904,-71.0905,36.9,08-29-2025-Fri 15-32-05-PM,0.3,5.908,-70.5,24.6167
