Cell 1 Timestamp,DNEpct Cell 1 Current,DNEpct Cell 1 Voltage,DNEpct Cell 1 Temp,Cell 1 Resistance,Cell 2 Timestamp,DNEpct Cell 2 Current,DNEpct Cell 2 Voltage,DNEpct Cell 2 Temp,Cell 2 Resistance,Cell 3 Timestamp,DNEpct Cell 3 Current,DNEpct Cell 3 Voltage,DNEpct Cell 3 Temp,Cell 3 Resistance,Cell 4 Timestamp,DNEpct Cell 4 Current,DNEpct Cell 4 Voltage,DNEpct Cell 4 Temp,Cell 4 Resistance,Cell 5 Timestamp,DNEpct Cell 5 Current,DNEpct Cell 5 Voltage,DNEpct Cell 5 Temp,Cell 5 Resistance,Cell 6 Timestamp,DNEpct Cell 6 Current,DNEpct Cell 6 Voltage,DNEpct Cell 6 Temp,Cell 6 Resistance,Cell 7 Timestamp,DNEpct Cell 7 Current,DNEpct Cell 7 Voltage,DNEpct Cell 7 Temp,Cell 7 Resistance,Cell 8 Timestamp,DNEpct Cell 8 Current,DNEpct Cell 8 Voltage,DNEpct Cell 8 Temp,Cell 8 Resistance,Cell 9 Timestamp,15pct Cell 9 Current,15pct Cell 9 Voltage,15pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,15pct Cell 10 Current,15pct Cell 10 Voltage,15pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,15pct Cell 11 Current,15pct Cell 11 Voltage,15pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,15pct Cell 12 Current,15pct Cell 12 Voltage,15pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,10pct Cell 13 Current,10pct Cell 13 Voltage,10pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,10pct Cell 14 Current,10pct Cell 14 Voltage,10pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,10pct Cell 15 Current,10pct Cell 15 Voltage,10pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,10pct Cell 16 Current,10pct Cell 16 Voltage,10pct Cell 16 Temp,Cell 16 Resistance
09-12-2025-Fri 12-17-55-PM,0.2,5.948,-49.446,37.175,09-12-2025-Fri 12-12-32-PM,0.2,5.944,-44.865,37.15,09-12-2025-Fri 12-10-57-PM,0.2,5.948,-43.75,37.175,09-12-2025-Fri 12-12-18-PM,0.2,5.948,-43.3089,37.175,09-12-2025-Fri 11-47-01-AM,0.2,5.976,-32.048,37.35,09-12-2025-Fri 12-03-22-PM,0.2,5.976,-40.1275,37.35,09-12-2025-Fri 11-50-54-AM,0.2,5.972,-35.327,37.325,09-12-2025-Fri 11-55-55-AM,0.2,5.972,-37.9716,37.325,09-12-2025-Fri 12-17-55-PM,0.2,5.948,-51.2469,37.175,09-12-2025-Fri 12-12-32-PM,0.2,5.944,-46.96,37.15,09-12-2025-Fri 12-10-57-PM,0.2,5.948,-45.3285,37.175,09-12-2025-Fri 12-12-18-PM,0.2,5.948,-45.207,37.175,09-12-2025-Fri 11-47-01-AM,0.2,5.976,-34.9507,37.35,09-12-2025-Fri 12-03-22-PM,0.2,5.976,-41.906,37.35,09-12-2025-Fri 11-50-54-AM,0.2,5.972,-36.81,37.325,09-12-2025-Fri 11-55-55-AM,0.2,5.972,-38.453,37.325
09-12-2025-Fri 12-17-57-PM,0.7,5.944,-49.429,10.6143,09-12-2025-Fri 12-12-34-PM,0.5,5.944,-44.9313,14.86,09-12-2025-Fri 12-11-00-PM,0.5,5.948,-43.772,14.87,09-12-2025-Fri 12-12-20-PM,0.5,5.948,-43.2757,14.87,09-12-2025-Fri 11-47-03-AM,0.5,5.976,-32.048,14.94,09-12-2025-Fri 12-03-24-PM,0.3,5.98,-40.1607,24.9167,09-12-2025-Fri 11-50-57-AM,0.6,5.972,-35.349,12.4417,09-12-2025-Fri 11-55-57-AM,0.5,5.972,-38.038,14.93,09-12-2025-Fri 12-17-57-PM,0.7,5.944,-51.2469,10.6143,09-12-2025-Fri 12-12-34-PM,0.5,5.944,-46.993,14.86,09-12-2025-Fri 12-11-00-PM,0.5,5.948,-45.3616,14.87,09-12-2025-Fri 12-12-20-PM,0.5,5.948,-45.218,14.87,09-12-2025-Fri 11-47-03-AM,0.5,5.976,-34.9839,14.94,09-12-2025-Fri 12-03-24-PM,0.3,5.98,-41.928,24.9167,09-12-2025-Fri 11-50-57-AM,0.6,5.972,-36.8432,12.4417,09-12-2025-Fri 11-55-57-AM,0.5,5.972,-38.502,14.93
09-12-2025-Fri 12-19-24-PM,0.4,5.956,-49.842,18.6125,09-12-2025-Fri 12-13-18-PM,0.2,5.94,-45.4278,37.125,09-12-2025-Fri 12-11-02-PM,0.3,5.948,-43.827,24.7833,09-12-2025-Fri 12-12-22-PM,0.3,5.944,-43.4082,24.7667,09-12-2025-Fri 11-47-06-AM,0.7,5.976,-32.048,10.6714,09-12-2025-Fri 12-03-26-PM,0.6,5.976,-40.1607,12.45,09-12-2025-Fri 11-55-13-AM,0.5,5.968,-36.865,14.92,09-12-2025-Fri 11-56-00-AM,0.6,5.972,-38.038,12.4417,09-12-2025-Fri 12-19-24-PM,0.4,5.956,-51.478,18.6125,09-12-2025-Fri 12-13-18-PM,0.2,5.94,-47.468,37.125,09-12-2025-Fri 12-11-02-PM,0.3,5.948,-45.4278,24.7833,09-12-2025-Fri 12-12-22-PM,0.3,5.944,-45.284,24.7667,09-12-2025-Fri 11-47-06-AM,0.7,5.976,-34.9839,10.6714,09-12-2025-Fri 12-03-26-PM,0.6,5.976,-41.928,12.45,09-12-2025-Fri 11-55-13-AM,0.5,5.968,-38.1043,14.92,09-12-2025-Fri 11-56-00-AM,0.6,5.972,-38.502,12.4417
09-12-2025-Fri 12-19-26-PM,0.5,5.956,-49.859,14.89,09-12-2025-Fri 12-13-20-PM,0.4,5.94,-45.3947,18.5625,09-12-2025-Fri 12-11-04-PM,0.7,5.948,-43.872,10.6214,09-12-2025-Fri 12-12-25-PM,0.5,5.944,-43.4082,14.86,09-12-2025-Fri 11-47-08-AM,0.9,5.976,-32.081,8.3,09-12-2025-Fri 12-03-29-PM,0.6,5.976,-40.1607,12.45,09-12-2025-Fri 11-55-15-AM,0.6,5.968,-36.898,12.4333,09-12-2025-Fri 11-56-02-AM,0.6,5.976,-38.071,12.45,09-12-2025-Fri 12-19-26-PM,0.5,5.956,-51.5111,14.89,09-12-2025-Fri 12-13-20-PM,0.4,5.94,-47.478,18.5625,09-12-2025-Fri 12-11-04-PM,0.7,5.948,-45.4278,10.6214,09-12-2025-Fri 12-12-25-PM,0.5,5.944,-45.295,14.86,09-12-2025-Fri 11-47-08-AM,0.9,5.976,-35.0171,8.3,09-12-2025-Fri 12-03-29-PM,0.6,5.976,-41.95,12.45,09-12-2025-Fri 11-55-15-AM,0.6,5.968,-38.1707,12.4333,09-12-2025-Fri 11-56-02-AM,0.6,5.976,-38.552,12.45
09-12-2025-Fri 12-19-28-PM,0.7,5.956,-49.875,10.6357,09-12-2025-Fri 12-14-17-PM,0.5,5.944,-45.9242,14.86,09-12-2025-Fri 12-11-09-PM,0.5,5.948,-43.905,14.87,09-12-2025-Fri 12-12-27-PM,0.4,5.944,-43.4082,18.575,09-12-2025-Fri 11-47-10-AM,0.6,5.976,-32.137,12.45,09-12-2025-Fri 12-04-26-PM,0.3,5.972,-40.5917,24.8833,09-12-2025-Fri 11-55-18-AM,0.7,5.968,-36.932,10.6571,09-12-2025-Fri 11-56-36-AM,0.8,5.976,-38.5356,9.3375,09-12-2025-Fri 12-19-28-PM,0.7,5.956,-51.5111,10.6357,09-12-2025-Fri 12-14-17-PM,0.5,5.944,-48.03,14.86,09-12-2025-Fri 12-11-09-PM,0.5,5.948,-45.4609,14.87,09-12-2025-Fri 12-12-27-PM,0.4,5.944,-45.317,18.575,09-12-2025-Fri 11-47-10-AM,0.6,5.976,-35.0503,12.45,09-12-2025-Fri 12-04-26-PM,0.3,5.972,-42.282,24.8833,09-12-2025-Fri 11-55-18-AM,0.7,5.968,-38.2039,10.6571,09-12-2025-Fri 11-56-36-AM,0.8,5.976,-39.017,9.3375
09-12-2025-Fri 12-19-31-PM,0.5,5.956,-49.859,14.89,09-12-2025-Fri 12-14-19-PM,0.4,5.948,-45.9242,18.5875,09-12-2025-Fri 12-11-14-PM,0.3,5.948,-43.982,24.7833,09-12-2025-Fri 12-12-30-PM,0.4,5.944,-43.4082,18.575,09-12-2025-Fri 11-47-13-AM,0.6,5.976,-32.125,12.45,09-12-2025-Fri 12-04-28-PM,0.6,5.972,-40.5585,12.4417,09-12-2025-Fri 11-55-20-AM,0.6,5.968,-36.954,12.4333,09-12-2025-Fri 11-56-38-AM,0.6,5.976,-38.5687,12.45,09-12-2025-Fri 12-19-31-PM,0.5,5.956,-51.5111,14.89,09-12-2025-Fri 12-14-19-PM,0.4,5.948,-48.041,18.5875,09-12-2025-Fri 12-11-14-PM,0.3,5.948,-45.527,24.7833,09-12-2025-Fri 12-12-30-PM,0.4,5.944,-45.339,18.575,09-12-2025-Fri 11-47-13-AM,0.6,5.976,-35.0503,12.45,09-12-2025-Fri 12-04-28-PM,0.6,5.972,-42.271,12.4417,09-12-2025-Fri 11-55-20-AM,0.6,5.968,-38.237,12.4333,09-12-2025-Fri 11-56-38-AM,0.6,5.976,-39.05,12.45
09-12-2025-Fri 12-19-33-PM,0.3,5.956,-49.842,24.8167,09-12-2025-Fri 12-14-22-PM,0.3,5.944,-46.0234,24.7667,09-12-2025-Fri 12-11-45-PM,0.5,5.948,-44.446,14.87,09-12-2025-Fri 12-12-32-PM,0.4,5.944,-43.4414,18.575,09-12-2025-Fri 11-47-15-AM,0.7,5.98,-32.137,10.6786,09-12-2025-Fri 12-05-25-PM,0.3,5.976,-40.9564,24.9,09-12-2025-Fri 11-55-22-AM,0.6,5.964,-36.987,12.425,09-12-2025-Fri 11-56-40-AM,0.6,5.98,-38.602,12.4583,09-12-2025-Fri 12-19-33-PM,0.3,5.956,-51.5111,24.8167,09-12-2025-Fri 12-14-22-PM,0.3,5.944,-48.085,24.7667,09-12-2025-Fri 12-11-45-PM,0.5,5.948,-46.0566,14.87,09-12-2025-Fri 12-12-32-PM,0.4,5.944,-45.383,18.575,09-12-2025-Fri 11-47-15-AM,0.7,5.98,-35.0503,10.6786,09-12-2025-Fri 12-05-25-PM,0.3,5.976,-42.558,24.9,09-12-2025-Fri 11-55-22-AM,0.6,5.964,-38.2702,12.425,09-12-2025-Fri 11-56-40-AM,0.6,5.98,-39.083,12.4583
09-12-2025-Fri 12-19-35-PM,0.6,5.956,-49.875,12.4083,09-12-2025-Fri 12-14-24-PM,0.5,5.948,-46.0566,14.87,09-12-2025-Fri 12-11-47-PM,0.3,5.948,-44.457,24.7833,09-12-2025-Fri 12-12-34-PM,0.2,5.944,-43.5076,37.15,09-12-2025-Fri 11-48-58-AM,0.6,5.972,-33.112,12.4417,09-12-2025-Fri 12-05-28-PM,0.5,5.98,-40.9564,14.95,09-12-2025-Fri 11-55-25-AM,0.5,5.964,-37.031,14.91,09-12-2025-Fri 11-56-43-AM,0.6,5.98,-38.6352,12.4583,09-12-2025-Fri 12-19-35-PM,0.6,5.956,-51.478,12.4083,09-12-2025-Fri 12-14-24-PM,0.5,5.948,-48.118,14.87,09-12-2025-Fri 12-11-47-PM,0.3,5.948,-46.0897,24.7833,09-12-2025-Fri 12-12-34-PM,0.2,5.944,-45.416,37.15,09-12-2025-Fri 11-48-58-AM,0.6,5.972,-35.8473,12.4417,09-12-2025-Fri 12-05-28-PM,0.5,5.98,-42.58,14.95,09-12-2025-Fri 11-55-25-AM,0.5,5.964,-38.3366,14.91,09-12-2025-Fri 11-56-43-AM,0.6,5.98,-39.116,12.4583
09-12-2025-Fri 12-19-38-PM,0.6,5.956,-49.875,12.4083,09-12-2025-Fri 12-14-29-PM,0.4,5.948,-45.9904,18.5875,09-12-2025-Fri 12-11-49-PM,0.1,5.952,-44.501,74.4,09-12-2025-Fri 12-13-18-PM,0.0,5.944,-43.8718,inf,09-12-2025-Fri 11-49-01-AM,0.4,5.972,-33.123,18.6625,09-12-2025-Fri 12-05-30-PM,0.4,5.976,-40.9564,18.675,09-12-2025-Fri 11-55-27-AM,0.8,5.964,-37.064,9.3188,09-12-2025-Fri 11-57-35-AM,0.6,5.976,-39.2321,12.45,09-12-2025-Fri 12-19-38-PM,0.6,5.956,-51.5111,12.4083,09-12-2025-Fri 12-14-29-PM,0.4,5.948,-48.118,18.5875,09-12-2025-Fri 12-11-49-PM,0.1,5.952,-46.1228,74.4,09-12-2025-Fri 12-13-18-PM,0.0,5.944,-45.869,inf,09-12-2025-Fri 11-49-01-AM,0.4,5.972,-35.8805,18.6625,09-12-2025-Fri 12-05-30-PM,0.4,5.976,-42.58,18.675,09-12-2025-Fri 11-55-27-AM,0.8,5.964,-38.3698,9.3188,09-12-2025-Fri 11-57-35-AM,0.6,5.976,-39.696,12.45
09-12-2025-Fri 12-19-40-PM,0.4,5.956,-49.908,18.6125,09-12-2025-Fri 12-14-33-PM,0.5,5.944,-46.1228,14.86,09-12-2025-Fri 12-11-51-PM,0.1,5.948,-44.534,74.35,09-12-2025-Fri 12-13-20-PM,0.1,5.944,-43.8718,74.3,09-12-2025-Fri 11-49-03-AM,0.6,5.968,-33.123,12.4333,09-12-2025-Fri 12-05-32-PM,0.4,5.976,-40.9895,18.675,09-12-2025-Fri 11-55-29-AM,0.8,5.964,-37.131,9.3188,09-12-2025-Fri 11-57-37-AM,0.6,5.976,-39.2654,12.45,09-12-2025-Fri 12-19-40-PM,0.4,5.956,-51.5111,18.6125,09-12-2025-Fri 12-14-33-PM,0.5,5.944,-48.173,14.86,09-12-2025-Fri 12-11-51-PM,0.1,5.948,-46.1559,74.35,09-12-2025-Fri 12-13-20-PM,0.1,5.944,-45.891,74.3,09-12-2025-Fri 11-49-03-AM,0.6,5.968,-35.8805,12.4333,09-12-2025-Fri 12-05-32-PM,0.4,5.976,-42.602,18.675,09-12-2025-Fri 11-55-29-AM,0.8,5.964,-38.4361,9.3188,09-12-2025-Fri 11-57-37-AM,0.6,5.976,-39.73,12.45
