Cell 1 Timestamp,25pct Cell 1 Current,25pct Cell 1 Voltage,25pct Cell 1 Temp,Cell 1 Resistance,Cell 2 Timestamp,25pct Cell 2 Current,25pct Cell 2 Voltage,25pct Cell 2 Temp,Cell 2 Resistance,Cell 3 Timestamp,25pct Cell 3 Current,25pct Cell 3 Voltage,25pct Cell 3 Temp,Cell 3 Resistance,Cell 4 Timestamp,25pct Cell 4 Current,25pct Cell 4 Voltage,25pct Cell 4 Temp,Cell 4 Resistance,Cell 5 Timestamp,20pct Cell 5 Current,20pct Cell 5 Voltage,20pct Cell 5 Temp,Cell 5 Resistance,Cell 6 Timestamp,20pct Cell 6 Current,20pct Cell 6 Voltage,20pct Cell 6 Temp,Cell 6 Resistance,Cell 7 Timestamp,20pct Cell 7 Current,20pct Cell 7 Voltage,20pct Cell 7 Temp,Cell 7 Resistance,Cell 8 Timestamp,20pct Cell 8 Current,20pct Cell 8 Voltage,20pct Cell 8 Temp,Cell 8 Resistance,Cell 9 Timestamp,15pct Cell 9 Current,15pct Cell 9 Voltage,15pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,15pct Cell 10 Current,15pct Cell 10 Voltage,15pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,10pct Cell 11 Current,10pct Cell 11 Voltage,10pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,10pct Cell 12 Current,10pct Cell 12 Voltage,10pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,5pct Cell 13 Current,5pct Cell 13 Voltage,5pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,5pct Cell 14 Current,5pct Cell 14 Voltage,5pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,5pct Cell 15 Current,5pct Cell 15 Voltage,5pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,5pct Cell 16 Current,5pct Cell 16 Voltage,5pct Cell 16 Temp,Cell 16 Resistance
10-24-2025-Fri 18-44-55-PM,0.2,5.852,-52.596,36.575,10-24-2025-Fri 18-46-56-PM,0.1,5.856,-50.1567,73.2,10-24-2025-Fri 18-50-24-PM,0.2,5.856,-54.073,36.6,10-24-2025-Fri 18-46-54-PM,0.2,5.86,-47.3799,36.625,10-24-2025-Fri 18-48-56-PM,0.2,5.856,-51.674,36.6,10-24-2025-Fri 18-49-10-PM,0.2,5.86,-49.5289,36.625,10-24-2025-Fri 18-43-37-PM,0.2,5.856,-47.333,36.6,10-24-2025-Fri 18-46-33-PM,0.1,5.856,-52.1055,73.2,10-24-2025-Fri 18-40-44-PM,0.2,5.848,-52.3366,36.55,10-24-2025-Fri 18-40-06-PM,0.2,5.856,-46.857,36.6,10-24-2025-Fri 18-35-14-PM,0.2,5.856,-39.7295,36.6,10-24-2025-Fri 18-37-43-PM,0.2,5.856,-40.631,36.6,10-24-2025-Fri 18-23-47-PM,0.2,5.84,-27.768,36.5,10-24-2025-Fri 18-26-30-PM,0.2,5.864,-26.554,36.65,10-24-2025-Fri 18-23-54-PM,0.2,5.844,-28.5004,36.525,10-24-2025-Fri 18-32-41-PM,0.2,5.856,-31.877,36.6
10-24-2025-Fri 18-44-57-PM,0.4,5.848,-52.646,18.275,10-24-2025-Fri 18-46-59-PM,0.6,5.856,-50.2558,12.2,10-24-2025-Fri 18-50-26-PM,0.3,5.856,-54.084,24.4,10-24-2025-Fri 18-46-56-PM,0.7,5.856,-47.4791,10.4571,10-24-2025-Fri 18-48-58-PM,0.7,5.86,-51.696,10.4643,10-24-2025-Fri 18-49-12-PM,0.5,5.856,-49.5289,14.64,10-24-2025-Fri 18-43-39-PM,0.4,5.856,-47.388,18.3,10-24-2025-Fri 18-46-35-PM,0.3,5.86,-52.1385,24.4167,10-24-2025-Fri 18-40-46-PM,0.2,5.848,-52.3366,36.55,10-24-2025-Fri 18-40-08-PM,0.7,5.856,-46.89,10.4571,10-24-2025-Fri 18-35-17-PM,0.7,5.856,-39.8623,10.4571,10-24-2025-Fri 18-37-45-PM,0.5,5.852,-40.664,14.63,10-24-2025-Fri 18-23-49-PM,0.7,5.84,-27.8014,10.4286,10-24-2025-Fri 18-26-33-PM,0.6,5.864,-26.566,12.2167,10-24-2025-Fri 18-23-57-PM,0.4,5.844,-28.5337,18.2625,10-24-2025-Fri 18-33-54-PM,0.5,5.848,-33.505,14.62
10-24-2025-Fri 18-45-00-PM,0.7,5.852,-52.662,10.45,10-24-2025-Fri 18-48-56-PM,0.5,5.856,-52.2375,14.64,10-24-2025-Fri 18-50-28-PM,0.5,5.86,-54.095,14.65,10-24-2025-Fri 18-46-59-PM,0.5,5.86,-47.4129,14.65,10-24-2025-Fri 18-49-00-PM,0.6,5.856,-51.708,12.2,10-24-2025-Fri 18-49-15-PM,0.6,5.86,-49.5949,12.2083,10-24-2025-Fri 18-43-58-PM,0.4,5.856,-47.84,18.3,10-24-2025-Fri 18-46-37-PM,0.3,5.856,-52.2046,24.4,10-24-2025-Fri 18-40-48-PM,0.4,5.848,-52.3696,18.275,10-24-2025-Fri 18-40-10-PM,0.4,5.852,-46.934,18.2875,10-24-2025-Fri 18-35-19-PM,0.7,5.86,-39.9949,10.4643,10-24-2025-Fri 18-38-14-PM,0.5,5.852,-41.526,14.63,10-24-2025-Fri 18-23-52-PM,0.5,5.844,-27.8347,14.61,10-24-2025-Fri 18-26-36-PM,0.6,5.86,-26.577,12.2083,10-24-2025-Fri 18-23-59-PM,0.5,5.844,-28.567,14.61,10-24-2025-Fri 18-33-57-PM,0.3,5.848,-33.538,24.3667
10-24-2025-Fri 18-45-02-PM,0.5,5.852,-52.728,14.63,10-24-2025-Fri 18-48-58-PM,0.4,5.856,-52.3366,18.3,10-24-2025-Fri 18-50-31-PM,0.5,5.856,-54.128,14.64,10-24-2025-Fri 18-48-56-PM,0.7,5.864,-49.5949,10.4714,10-24-2025-Fri 18-49-03-PM,0.4,5.864,-51.752,18.325,10-24-2025-Fri 18-49-17-PM,0.4,5.856,-49.628,18.3,10-24-2025-Fri 18-44-08-PM,0.9,5.856,-48.072,8.1333,10-24-2025-Fri 18-46-40-PM,0.3,5.856,-52.2375,24.4,10-24-2025-Fri 18-40-51-PM,0.6,5.848,-52.4027,12.1833,10-24-2025-Fri 18-40-13-PM,0.3,5.852,-47.0,24.3833,10-24-2025-Fri 18-35-21-PM,0.3,5.86,-40.0944,24.4167,10-24-2025-Fri 18-38-16-PM,0.4,5.856,-41.581,18.3,10-24-2025-Fri 18-23-54-PM,0.3,5.844,-27.9013,24.35,10-24-2025-Fri 18-30-21-PM,0.6,5.86,-27.289,12.2083,10-24-2025-Fri 18-24-01-PM,0.6,5.84,-28.567,12.1667,10-24-2025-Fri 18-33-59-PM,0.6,5.852,-33.588,12.1917
10-24-2025-Fri 18-45-04-PM,0.5,5.848,-52.778,14.62,10-24-2025-Fri 18-49-00-PM,0.7,5.856,-52.2706,10.4571,10-24-2025-Fri 18-50-33-PM,0.5,5.856,-54.161,14.64,10-24-2025-Fri 18-48-58-PM,0.3,5.864,-49.628,24.4333,10-24-2025-Fri 18-49-05-PM,0.5,5.86,-51.796,14.65,10-24-2025-Fri 18-50-24-PM,0.4,5.86,-50.6853,18.3125,10-24-2025-Fri 18-44-10-PM,0.3,5.856,-48.127,24.4,10-24-2025-Fri 18-46-47-PM,0.3,5.856,-52.3696,24.4,10-24-2025-Fri 18-41-39-PM,0.3,5.848,-53.3269,24.3667,10-24-2025-Fri 18-40-15-PM,0.4,5.852,-47.022,18.2875,10-24-2025-Fri 18-35-24-PM,0.7,5.856,-40.2602,10.4571,10-24-2025-Fri 18-38-19-PM,0.4,5.852,-41.648,18.2875,10-24-2025-Fri 18-23-57-PM,0.5,5.844,-27.9344,14.61,10-24-2025-Fri 18-30-23-PM,0.5,5.86,-27.289,14.65,10-24-2025-Fri 18-24-04-PM,0.6,5.844,-28.6335,12.175,10-24-2025-Fri 18-34-01-PM,0.4,5.852,-33.605,18.2875
10-24-2025-Fri 18-45-07-PM,0.6,5.848,-52.811,12.1833,10-24-2025-Fri 18-49-03-PM,0.3,5.856,-52.3696,24.4,10-24-2025-Fri 18-50-35-PM,0.4,5.856,-54.15,18.3,10-24-2025-Fri 18-49-00-PM,0.1,5.86,-49.628,73.25,10-24-2025-Fri 18-49-07-PM,0.4,5.86,-51.829,18.3125,10-24-2025-Fri 18-50-26-PM,0.3,5.856,-50.7184,24.4,10-24-2025-Fri 18-44-12-PM,0.6,5.856,-48.193,12.2,10-24-2025-Fri 18-46-49-PM,0.5,5.856,-52.4027,14.64,10-24-2025-Fri 18-42-24-PM,0.5,5.852,-55.4054,14.63,10-24-2025-Fri 18-40-17-PM,0.5,5.852,-47.078,14.63,10-24-2025-Fri 18-35-26-PM,0.5,5.856,-40.426,14.64,10-24-2025-Fri 18-38-21-PM,0.3,5.856,-41.725,24.4,10-24-2025-Fri 18-23-59-PM,0.4,5.844,-27.9678,18.2625,10-24-2025-Fri 18-30-25-PM,0.7,5.86,-27.289,10.4643,10-24-2025-Fri 18-24-06-PM,0.5,5.844,-28.6668,14.61,10-24-2025-Fri 18-34-04-PM,0.3,5.848,-33.688,24.3667
10-24-2025-Fri 18-45-09-PM,0.5,5.852,-52.828,14.63,10-24-2025-Fri 18-49-05-PM,0.4,5.856,-52.3696,18.3,10-24-2025-Fri 18-50-38-PM,0.3,5.86,-54.194,24.4167,10-24-2025-Fri 18-49-03-PM,0.5,5.86,-49.6941,14.65,10-24-2025-Fri 18-49-10-PM,0.7,5.86,-51.84,10.4643,10-24-2025-Fri 18-50-28-PM,0.4,5.856,-50.7514,18.3,10-24-2025-Fri 18-44-15-PM,0.5,5.856,-48.226,14.64,10-24-2025-Fri 18-46-52-PM,0.4,5.856,-52.4357,18.3,10-24-2025-Fri 18-42-26-PM,0.3,5.848,-55.4714,24.3667,10-24-2025-Fri 18-40-20-PM,0.3,5.852,-47.111,24.3833,10-24-2025-Fri 18-35-28-PM,0.5,5.856,-40.5917,14.64,10-24-2025-Fri 18-38-23-PM,0.2,5.852,-41.769,36.575,10-24-2025-Fri 18-24-01-PM,0.5,5.84,-28.0011,14.6,10-24-2025-Fri 18-30-28-PM,0.7,5.86,-27.311,10.4643,10-24-2025-Fri 18-24-08-PM,0.7,5.84,-28.7001,10.4286,10-24-2025-Fri 18-34-06-PM,0.4,5.852,-33.738,18.2875
10-24-2025-Fri 18-45-11-PM,0.4,5.848,-52.86,18.275,10-24-2025-Fri 18-49-07-PM,0.5,5.856,-52.4357,14.64,10-24-2025-Fri 18-50-40-PM,0.1,5.856,-54.216,73.2,10-24-2025-Fri 18-49-05-PM,0.5,5.864,-49.7271,14.66,10-24-2025-Fri 18-49-12-PM,0.3,5.86,-51.862,24.4167,10-24-2025-Fri 18-50-31-PM,0.4,5.86,-50.7514,18.3125,10-24-2025-Fri 18-44-17-PM,0.5,5.86,-48.281,14.65,10-24-2025-Fri 18-46-54-PM,0.4,5.856,-52.5017,18.3,10-24-2025-Fri 18-42-29-PM,0.2,5.848,-55.5703,36.55,10-24-2025-Fri 18-40-22-PM,0.5,5.852,-47.177,14.63,10-24-2025-Fri 18-35-35-PM,0.3,5.856,-41.0227,24.4,10-24-2025-Fri 18-38-26-PM,0.3,5.852,-41.813,24.3833,10-24-2025-Fri 18-24-04-PM,0.4,5.84,-28.0344,18.25,10-24-2025-Fri 18-32-00-PM,0.4,5.864,-29.552,18.325,10-24-2025-Fri 18-26-00-PM,0.6,5.848,-30.0975,12.1833,10-24-2025-Fri 18-34-08-PM,0.2,5.852,-33.804,36.575
10-24-2025-Fri 18-45-14-PM,0.4,5.852,-52.894,18.2875,10-24-2025-Fri 18-49-10-PM,0.6,5.86,-52.4357,12.2083,10-24-2025-Fri 18-50-42-PM,0.3,5.856,-54.25,24.4,10-24-2025-Fri 18-49-07-PM,0.2,5.86,-49.7932,36.625,10-24-2025-Fri 18-49-15-PM,0.6,5.856,-51.906,12.2,10-24-2025-Fri 18-50-33-PM,0.4,5.856,-50.7844,18.3,10-24-2025-Fri 18-44-19-PM,0.4,5.86,-48.337,18.3125,10-24-2025-Fri 18-46-56-PM,0.3,5.86,-52.5347,24.4167,10-24-2025-Fri 18-42-31-PM,0.4,5.852,-55.6032,18.2875,10-24-2025-Fri 18-40-24-PM,0.5,5.852,-47.177,14.63,10-24-2025-Fri 18-35-38-PM,0.3,5.856,-41.1221,24.4,10-24-2025-Fri 18-38-28-PM,0.5,5.852,-41.913,14.63,10-24-2025-Fri 18-24-06-PM,0.4,5.844,-28.0677,18.2625,10-24-2025-Fri 18-32-03-PM,0.5,5.86,-29.618,14.65,10-24-2025-Fri 18-26-03-PM,0.5,5.848,-30.0975,14.62,10-24-2025-Fri 18-34-10-PM,0.6,5.848,-33.854,12.1833
10-24-2025-Fri 18-45-16-PM,0.5,5.852,-52.927,14.63,10-24-2025-Fri 18-49-12-PM,0.2,5.852,-52.5347,36.575,10-24-2025-Fri 18-52-02-PM,0.4,5.856,-56.503,18.3,10-24-2025-Fri 18-49-10-PM,0.5,5.864,-49.7602,14.66,10-24-2025-Fri 18-49-17-PM,0.7,5.86,-51.939,10.4643,10-24-2025-Fri 18-50-35-PM,0.2,5.856,-50.8505,36.6,10-24-2025-Fri 18-44-22-PM,0.4,5.856,-48.392,18.3,10-24-2025-Fri 18-46-59-PM,0.4,5.856,-52.5678,18.3,10-24-2025-Fri 18-42-33-PM,0.5,5.848,-55.6692,14.62,10-24-2025-Fri 18-40-27-PM,0.4,5.852,-47.254,18.2875,10-24-2025-Fri 18-36-04-PM,0.3,5.852,-42.3151,24.3833,10-24-2025-Fri 18-38-31-PM,0.3,5.856,-41.968,24.4,10-24-2025-Fri 18-24-08-PM,0.3,5.84,-28.1009,24.3333,10-24-2025-Fri 18-32-05-PM,0.7,5.86,-29.696,10.4643,10-24-2025-Fri 18-26-05-PM,0.5,5.844,-30.1309,14.61,10-24-2025-Fri 18-35-03-PM,0.5,5.852,-34.983,14.63
