Cell 1 Timestamp,DNEpct Cell 1 Current,DNEpct Cell 1 Voltage,DNEpct Cell 1 Temp,Cell 1 Resistance,Cell 2 Timestamp,DNEpct Cell 2 Current,DNEpct Cell 2 Voltage,DNEpct Cell 2 Temp,Cell 2 Resistance,Cell 3 Timestamp,DNEpct Cell 3 Current,DNEpct Cell 3 Voltage,DNEpct Cell 3 Temp,Cell 3 Resistance,Cell 4 Timestamp,DNEpct Cell 4 Current,DNEpct Cell 4 Voltage,DNEpct Cell 4 Temp,Cell 4 Resistance,Cell 5 Timestamp,DNEpct Cell 5 Current,DNEpct Cell 5 Voltage,DNEpct Cell 5 Temp,Cell 5 Resistance,Cell 6 Timestamp,DNEpct Cell 6 Current,DNEpct Cell 6 Voltage,DNEpct Cell 6 Temp,Cell 6 Resistance,Cell 7 Timestamp,DNEpct Cell 7 Current,DNEpct Cell 7 Voltage,DNEpct Cell 7 Temp,Cell 7 Resistance,Cell 8 Timestamp,DNEpct Cell 8 Current,DNEpct Cell 8 Voltage,DNEpct Cell 8 Temp,Cell 8 Resistance,Cell 9 Timestamp,35pct Cell 9 Current,35pct Cell 9 Voltage,35pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,35pct Cell 10 Current,35pct Cell 10 Voltage,35pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,35pct Cell 11 Current,35pct Cell 11 Voltage,35pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,35pct Cell 12 Current,35pct Cell 12 Voltage,35pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,30pct Cell 13 Current,30pct Cell 13 Voltage,30pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,30pct Cell 14 Current,30pct Cell 14 Voltage,30pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,30pct Cell 15 Current,30pct Cell 15 Voltage,30pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,30pct Cell 16 Current,30pct Cell 16 Voltage,30pct Cell 16 Temp,Cell 16 Resistance
09-05-2025-Fri 20-08-21-PM,0.2,5.9,-61.17,36.875,09-05-2025-Fri 20-03-15-PM,0.1,5.912,-56.7902,73.9,09-05-2025-Fri 20-05-58-PM,0.2,5.912,-58.69,36.95,09-05-2025-Fri 20-05-58-PM,0.2,5.908,-57.68,36.925,09-05-2025-Fri 20-18-15-PM,0.2,5.9,-63.101,36.875,09-05-2025-Fri 20-23-16-PM,0.2,5.916,-65.2484,36.975,09-05-2025-Fri 20-18-17-PM,0.2,5.904,-64.153,36.9,09-05-2025-Fri 20-21-39-PM,0.2,5.904,-66.3652,36.9,09-05-2025-Fri 20-08-21-PM,0.2,5.9,-62.717,36.875,09-05-2025-Fri 20-03-15-PM,0.1,5.912,-58.328,73.9,09-05-2025-Fri 20-05-58-PM,0.2,5.912,-60.0515,36.95,09-05-2025-Fri 20-05-58-PM,0.2,5.908,-58.152,36.925,09-05-2025-Fri 20-18-15-PM,0.2,5.9,-62.9144,36.875,09-05-2025-Fri 20-23-16-PM,0.2,5.916,-65.84,36.975,09-05-2025-Fri 20-18-17-PM,0.2,5.904,-64.5253,36.9,09-05-2025-Fri 20-21-39-PM,0.2,5.904,-65.938,36.9
09-05-2025-Fri 20-08-23-PM,0.4,5.9,-61.22,18.4375,09-05-2025-Fri 20-03-18-PM,0.5,5.912,-56.9219,14.78,09-05-2025-Fri 20-06-01-PM,0.5,5.912,-58.778,14.78,09-05-2025-Fri 20-06-01-PM,0.3,5.908,-57.8448,24.6167,09-05-2025-Fri 20-18-17-PM,0.4,5.9,-63.177,18.4375,09-05-2025-Fri 20-23-18-PM,0.5,5.916,-65.2812,14.79,09-05-2025-Fri 20-18-20-PM,0.5,5.904,-64.153,14.76,09-05-2025-Fri 20-21-41-PM,0.6,5.908,-66.3652,12.3083,09-05-2025-Fri 20-08-23-PM,0.4,5.9,-62.7499,18.4375,09-05-2025-Fri 20-03-18-PM,0.5,5.912,-58.405,14.78,09-05-2025-Fri 20-06-01-PM,0.5,5.912,-60.0845,14.78,09-05-2025-Fri 20-06-01-PM,0.3,5.908,-58.229,24.6167,09-05-2025-Fri 20-18-17-PM,0.4,5.9,-62.9473,18.4375,09-05-2025-Fri 20-23-18-PM,0.5,5.916,-65.872,14.79,09-05-2025-Fri 20-18-20-PM,0.5,5.904,-64.5253,14.76,09-05-2025-Fri 20-21-41-PM,0.6,5.908,-65.938,12.3083
09-05-2025-Fri 20-08-26-PM,0.4,5.904,-61.187,18.45,09-05-2025-Fri 20-03-37-PM,0.4,5.908,-57.0868,18.4625,09-05-2025-Fri 20-08-16-PM,0.2,5.912,-59.843,36.95,09-05-2025-Fri 20-08-16-PM,0.3,5.908,-58.8331,24.6167,09-05-2025-Fri 20-18-20-PM,0.5,5.9,-63.145,14.75,09-05-2025-Fri 20-23-20-PM,0.3,5.916,-65.2812,24.65,09-05-2025-Fri 20-18-22-PM,0.8,5.9,-64.185,9.2188,09-05-2025-Fri 20-21-43-PM,0.3,5.908,-66.3652,24.6167,09-05-2025-Fri 20-08-26-PM,0.4,5.904,-62.7499,18.45,09-05-2025-Fri 20-03-37-PM,0.4,5.908,-58.69,18.4625,09-05-2025-Fri 20-08-16-PM,0.2,5.912,-61.1049,36.95,09-05-2025-Fri 20-08-16-PM,0.3,5.908,-59.272,24.6167,09-05-2025-Fri 20-18-20-PM,0.5,5.9,-62.9473,14.75,09-05-2025-Fri 20-23-20-PM,0.3,5.916,-65.894,24.65,09-05-2025-Fri 20-18-22-PM,0.8,5.9,-64.5582,9.2188,09-05-2025-Fri 20-21-43-PM,0.3,5.908,-65.938,24.6167
09-05-2025-Fri 20-08-28-PM,0.4,5.904,-61.203,18.45,09-05-2025-Fri 20-03-39-PM,0.5,5.908,-57.1198,14.77,09-05-2025-Fri 20-08-19-PM,0.5,5.908,-59.854,14.77,09-05-2025-Fri 20-08-19-PM,0.6,5.908,-58.8331,12.3083,09-05-2025-Fri 20-18-22-PM,0.4,5.9,-63.188,18.4375,09-05-2025-Fri 20-23-23-PM,0.4,5.912,-65.3139,18.475,09-05-2025-Fri 20-18-24-PM,0.5,5.904,-64.186,14.76,09-05-2025-Fri 20-21-46-PM,0.4,5.908,-66.3981,18.4625,09-05-2025-Fri 20-08-28-PM,0.4,5.904,-62.7499,18.45,09-05-2025-Fri 20-03-39-PM,0.5,5.908,-58.734,14.77,09-05-2025-Fri 20-08-19-PM,0.5,5.908,-61.1049,14.77,09-05-2025-Fri 20-08-19-PM,0.6,5.908,-59.272,12.3083,09-05-2025-Fri 20-18-22-PM,0.4,5.9,-62.9801,18.4375,09-05-2025-Fri 20-23-23-PM,0.4,5.912,-65.938,18.475,09-05-2025-Fri 20-18-24-PM,0.5,5.904,-64.5253,14.76,09-05-2025-Fri 20-21-46-PM,0.4,5.908,-65.938,18.4625
09-05-2025-Fri 20-09-35-PM,0.4,5.9,-61.582,18.4375,09-05-2025-Fri 20-03-42-PM,0.2,5.908,-57.1528,36.925,09-05-2025-Fri 20-08-21-PM,0.4,5.908,-59.854,18.4625,09-05-2025-Fri 20-08-21-PM,0.3,5.908,-58.8331,24.6167,09-05-2025-Fri 20-18-24-PM,0.5,5.9,-63.188,14.75,09-05-2025-Fri 20-24-13-PM,0.5,5.912,-65.8726,14.78,09-05-2025-Fri 20-19-36-PM,0.6,5.9,-64.657,12.2917,09-05-2025-Fri 20-22-43-PM,0.5,5.904,-66.9236,14.76,09-05-2025-Fri 20-09-35-PM,0.4,5.9,-63.0459,18.4375,09-05-2025-Fri 20-03-42-PM,0.2,5.908,-58.778,36.925,09-05-2025-Fri 20-08-21-PM,0.4,5.908,-61.1049,18.4625,09-05-2025-Fri 20-08-21-PM,0.3,5.908,-59.272,24.6167,09-05-2025-Fri 20-18-24-PM,0.5,5.9,-62.9473,14.75,09-05-2025-Fri 20-24-13-PM,0.5,5.912,-66.486,14.78,09-05-2025-Fri 20-19-36-PM,0.6,5.9,-64.9526,12.2917,09-05-2025-Fri 20-22-43-PM,0.5,5.904,-66.661,14.76
09-05-2025-Fri 20-09-38-PM,0.5,5.904,-61.598,14.76,09-05-2025-Fri 20-05-56-PM,0.4,5.912,-58.5037,18.475,09-05-2025-Fri 20-08-23-PM,0.6,5.912,-59.909,12.3167,09-05-2025-Fri 20-08-23-PM,0.7,5.908,-58.899,10.55,09-05-2025-Fri 20-19-36-PM,0.3,5.9,-63.693,24.5833,09-05-2025-Fri 20-24-15-PM,0.5,5.916,-65.9383,14.79,09-05-2025-Fri 20-19-39-PM,0.6,5.904,-64.668,12.3,09-05-2025-Fri 20-22-45-PM,0.6,5.908,-67.0221,12.3083,09-05-2025-Fri 20-09-38-PM,0.5,5.904,-63.0788,14.76,09-05-2025-Fri 20-05-56-PM,0.4,5.912,-60.095,18.475,09-05-2025-Fri 20-08-23-PM,0.6,5.912,-61.1378,12.3167,09-05-2025-Fri 20-08-23-PM,0.7,5.908,-59.327,10.55,09-05-2025-Fri 20-19-36-PM,0.3,5.9,-63.4734,24.5833,09-05-2025-Fri 20-24-15-PM,0.5,5.916,-66.529,14.79,09-05-2025-Fri 20-19-39-PM,0.6,5.904,-64.9526,12.3,09-05-2025-Fri 20-22-45-PM,0.6,5.908,-66.726,12.3083
09-05-2025-Fri 20-09-40-PM,0.4,5.9,-61.648,18.4375,09-05-2025-Fri 20-05-58-PM,0.6,5.912,-58.339,12.3167,09-05-2025-Fri 20-08-26-PM,0.6,5.912,-59.887,12.3167,09-05-2025-Fri 20-08-26-PM,0.3,5.908,-58.8661,24.6167,09-05-2025-Fri 20-19-39-PM,0.5,5.9,-63.747,14.75,09-05-2025-Fri 20-24-17-PM,0.3,5.912,-65.9383,24.6333,09-05-2025-Fri 20-19-41-PM,0.5,5.904,-64.7,14.76,09-05-2025-Fri 20-22-48-PM,0.2,5.908,-67.0549,36.925,09-05-2025-Fri 20-09-40-PM,0.4,5.9,-63.1117,18.4375,09-05-2025-Fri 20-05-58-PM,0.6,5.912,-60.062,12.3167,09-05-2025-Fri 20-08-26-PM,0.6,5.912,-61.1707,12.3167,09-05-2025-Fri 20-08-26-PM,0.3,5.908,-59.327,24.6167,09-05-2025-Fri 20-19-39-PM,0.5,5.9,-63.5391,14.75,09-05-2025-Fri 20-24-17-PM,0.3,5.912,-66.54,24.6333,09-05-2025-Fri 20-19-41-PM,0.5,5.904,-64.9854,14.76,09-05-2025-Fri 20-22-48-PM,0.2,5.908,-66.776,36.925
09-05-2025-Fri 20-09-42-PM,0.4,5.9,-61.631,18.4375,09-05-2025-Fri 20-06-01-PM,0.5,5.912,-58.4048,14.78,09-05-2025-Fri 20-08-28-PM,0.3,5.912,-59.909,24.6333,09-05-2025-Fri 20-08-28-PM,0.2,5.908,-58.899,36.925,09-05-2025-Fri 20-19-41-PM,0.8,5.9,-63.747,9.2188,09-05-2025-Fri 20-24-20-PM,0.4,5.916,-65.971,18.4875,09-05-2025-Fri 20-19-43-PM,0.5,5.904,-64.7,14.76,09-05-2025-Fri 20-22-50-PM,0.5,5.908,-67.0877,14.77,09-05-2025-Fri 20-09-42-PM,0.4,5.9,-63.1117,18.4375,09-05-2025-Fri 20-06-01-PM,0.5,5.912,-60.095,14.78,09-05-2025-Fri 20-08-28-PM,0.3,5.912,-61.1707,24.6333,09-05-2025-Fri 20-08-28-PM,0.2,5.908,-59.338,36.925,09-05-2025-Fri 20-19-41-PM,0.8,5.9,-63.5391,9.2188,09-05-2025-Fri 20-24-20-PM,0.4,5.916,-66.562,18.4875,09-05-2025-Fri 20-19-43-PM,0.5,5.904,-64.9526,14.76,09-05-2025-Fri 20-22-50-PM,0.5,5.908,-66.809,14.77
09-05-2025-Fri 20-09-45-PM,0.4,5.904,-61.648,18.45,09-05-2025-Fri 20-08-16-PM,0.2,5.912,-59.5906,36.95,09-05-2025-Fri 20-09-35-PM,0.1,5.912,-60.348,73.9,09-05-2025-Fri 20-09-35-PM,0.3,5.908,-59.3271,24.6167,09-05-2025-Fri 20-19-43-PM,0.3,5.904,-63.758,24.6,09-05-2025-Fri 20-24-22-PM,0.5,5.916,-66.0039,14.79,09-05-2025-Fri 20-19-46-PM,0.6,5.904,-64.711,12.3,09-05-2025-Fri 20-22-52-PM,0.1,5.908,-67.1205,73.85,09-05-2025-Fri 20-09-45-PM,0.4,5.904,-63.1117,18.45,09-05-2025-Fri 20-08-16-PM,0.2,5.912,-61.126,36.95,09-05-2025-Fri 20-09-35-PM,0.1,5.912,-61.5985,73.9,09-05-2025-Fri 20-09-35-PM,0.3,5.908,-59.788,24.6167,09-05-2025-Fri 20-19-43-PM,0.3,5.904,-63.5391,24.6,09-05-2025-Fri 20-24-22-PM,0.5,5.916,-66.584,14.79,09-05-2025-Fri 20-19-46-PM,0.6,5.904,-64.9854,12.3,09-05-2025-Fri 20-22-52-PM,0.1,5.908,-66.858,73.85
09-05-2025-Fri 20-09-47-PM,0.3,5.904,-61.648,24.6,09-05-2025-Fri 20-08-19-PM,0.2,5.908,-59.6236,36.925,09-05-2025-Fri 20-09-38-PM,0.7,5.908,-60.348,10.55,09-05-2025-Fri 20-09-38-PM,0.4,5.908,-59.3601,18.4625,09-05-2025-Fri 20-19-46-PM,0.2,5.904,-63.769,36.9,09-05-2025-Fri 20-24-24-PM,0.2,5.912,-66.0039,36.95,09-05-2025-Fri 20-20-19-PM,0.6,5.9,-64.909,12.2917,09-05-2025-Fri 20-23-09-PM,0.4,5.908,-67.3504,18.4625,09-05-2025-Fri 20-09-47-PM,0.3,5.904,-63.1117,24.6,09-05-2025-Fri 20-08-19-PM,0.2,5.908,-61.149,36.925,09-05-2025-Fri 20-09-38-PM,0.7,5.908,-61.5656,10.55,09-05-2025-Fri 20-09-38-PM,0.4,5.908,-59.81,18.4625,09-05-2025-Fri 20-19-46-PM,0.2,5.904,-63.5391,36.9,09-05-2025-Fri 20-24-24-PM,0.2,5.912,-66.606,36.95,09-05-2025-Fri 20-20-19-PM,0.6,5.9,-65.1497,12.2917,09-05-2025-Fri 20-23-09-PM,0.4,5.908,-67.121,18.4625
