Timestamp,DNEpct Cell 1 Temp,DNEpct Cell 3 Temp,DNEpct Cell 5 Temp,DNEpct Cell 7 Temp,35pct Cell 10 Temp,35pct Cell 12 Temp,30pct Cell 14 Temp,30pct Cell 16 Temp
09-05-2025-Fri 16-34-33-PM,19.735,20.36,19.977,20.901,19.718,19.673,19.651,21.053
09-05-2025-Fri 16-34-36-PM,19.735,20.338,19.899,20.788,19.718,19.595,19.505,20.884
09-05-2025-Fri 16-34-38-PM,19.735,20.349,19.921,20.799,19.718,19.606,19.516,20.884
09-05-2025-Fri 16-34-41-PM,19.718,20.349,19.944,20.799,19.707,19.628,19.527,20.884
09-05-2025-Fri 16-34-43-PM,19.718,20.338,19.989,20.878,19.707,19.673,19.628,21.002
09-05-2025-Fri 16-34-45-PM,19.752,20.338,19.989,20.811,19.73,19.673,19.572,20.901
09-05-2025-Fri 16-34-48-PM,19.719,20.326,19.932,20.788,19.707,19.628,19.55,20.884
09-05-2025-Fri 16-34-50-PM,19.786,20.36,20.022,20.867,19.763,19.707,19.651,20.968
09-05-2025-Fri 16-34-53-PM,19.803,20.371,20.045,20.901,19.763,19.707,19.719,21.002
09-05-2025-Fri 16-34-55-PM,19.803,20.394,20.068,20.878,19.775,19.752,19.685,20.985
09-05-2025-Fri 16-34-57-PM,19.887,20.417,20.101,20.979,19.831,19.73,19.741,21.053
09-05-2025-Fri 16-35-00-PM,19.854,20.405,20.034,20.912,19.82,19.696,19.673,20.985
09-05-2025-Fri 16-35-02-PM,19.871,20.439,20.056,20.957,19.831,19.719,19.707,21.053
09-05-2025-Fri 16-35-05-PM,19.871,20.417,20.124,20.934,19.82,19.786,19.786,21.036
09-05-2025-Fri 16-35-07-PM,19.888,20.439,20.034,20.856,19.842,19.707,19.628,20.918
09-05-2025-Fri 16-35-09-PM,19.904,20.461,20.045,20.867,19.842,19.707,19.617,20.935
09-05-2025-Fri 16-35-12-PM,19.87,20.428,20.045,20.844,19.82,19.719,19.606,20.918
09-05-2025-Fri 16-35-14-PM,19.854,20.428,20.045,20.856,19.809,19.707,19.606,20.918
09-05-2025-Fri 16-35-16-PM,19.853,20.416,20.045,20.867,19.82,19.719,19.628,20.935
09-05-2025-Fri 16-35-19-PM,19.887,20.439,20.045,20.867,19.831,19.707,19.617,20.935
09-05-2025-Fri 16-35-21-PM,19.938,20.461,20.034,20.856,19.864,19.696,19.617,20.918
09-05-2025-Fri 16-35-24-PM,19.87,20.394,20.011,20.856,19.82,19.673,19.617,20.918
09-05-2025-Fri 16-35-26-PM,19.87,20.439,20.079,20.867,19.82,19.73,19.628,20.918
09-05-2025-Fri 16-35-29-PM,19.887,20.417,20.045,20.901,19.842,19.752,19.684,21.036
09-05-2025-Fri 16-35-31-PM,19.853,20.383,20.124,20.968,19.797,19.775,19.775,21.087
09-05-2025-Fri 16-35-33-PM,19.904,20.416,20.102,21.025,19.842,19.752,19.82,21.154
09-05-2025-Fri 16-35-36-PM,19.921,20.439,20.124,20.991,19.865,19.763,19.797,21.07
09-05-2025-Fri 16-35-38-PM,19.921,20.45,20.147,21.024,19.865,19.798,19.842,21.137
09-05-2025-Fri 16-35-41-PM,19.972,20.428,20.113,20.923,19.865,19.741,19.73,21.002
09-05-2025-Fri 16-35-43-PM,20.005,20.461,20.157,21.115,19.921,19.797,19.898,21.255
