Timestamp,DNEpct Cell 1 Current,DNEpct Cell 1 Voltage,DNEpct Cell 1 Resistance,DNEpct Cell 1 Temp,DNEpct Cell 2 Current,DNEpct Cell 2 Voltage,DNEpct Cell 2 Resistance,DNEpct Cell 2 Temp,DNEpct Cell 3 Current,DNEpct Cell 3 Voltage,DNEpct Cell 3 Resistance,DNEpct Cell 3 Temp,DNEpct Cell 4 Current,DNEpct Cell 4 Voltage,DNEpct Cell 4 Resistance,DNEpct Cell 4 Temp,DNEpct Cell 5 Current,DNEpct Cell 5 Voltage,DNEpct Cell 5 Resistance,DNEpct Cell 5 Temp,DNEpct Cell 6 Current,DNEpct Cell 6 Voltage,DNEpct Cell 6 Resistance,DNEpct Cell 6 Temp,DNEpct Cell 7 Current,DNEpct Cell 7 Voltage,DNEpct Cell 7 Resistance,DNEpct Cell 7 Temp,DNEpct Cell 8 Current,DNEpct Cell 8 Voltage,DNEpct Cell 8 Resistance,DNEpct Cell 8 Temp,35pct Cell 9 Current,35pct Cell 9 Voltage,35pct Cell 9 Resistance,35pct Cell 9 Temp,35pct Cell 10 Current,35pct Cell 10 Voltage,35pct Cell 10 Resistance,35pct Cell 10 Temp,35pct Cell 11 Current,35pct Cell 11 Voltage,35pct Cell 11 Resistance,35pct Cell 11 Temp,35pct Cell 12 Current,35pct Cell 12 Voltage,35pct Cell 12 Resistance,35pct Cell 12 Temp,30pct Cell 13 Current,30pct Cell 13 Voltage,30pct Cell 13 Resistance,30pct Cell 13 Temp,30pct Cell 14 Current,30pct Cell 14 Voltage,30pct Cell 14 Resistance,30pct Cell 14 Temp,30pct Cell 15 Current,30pct Cell 15 Voltage,30pct Cell 15 Resistance,30pct Cell 15 Temp,30pct Cell 16 Current,30pct Cell 16 Voltage,30pct Cell 16 Resistance,30pct Cell 16 Temp
09-05-2025-Fri 16-34-43-PM,106.8,5.656,0.06619850187265917,19.718,97.4,5.66,0.07263860369609856,20.2923,127.6,5.652,0.05536833855799373,20.338,113.8,5.712,0.06274165202108964,21.0358,97.5,5.62,0.07205128205128206,19.989,133.9,5.68,0.053024645257654955,20.6302,109.3,5.6,0.06404391582799634,20.878,120.0,5.596,0.058291666666666665,22.0494,106.8,5.656,0.06619850187265917,19.1441,97.4,5.66,0.07263860369609856,19.707,127.6,5.652,0.05536833855799373,19.6844,113.8,5.712,0.06274165202108964,19.673,97.5,5.62,0.07205128205128206,18.2999,133.9,5.68,0.053024645257654955,19.628,109.3,5.6,0.06404391582799634,19.9545,120.0,5.596,0.058291666666666665,21.002
09-05-2025-Fri 16-34-45-PM,103.7,5.608,0.06759884281581485,19.752,95.6,5.616,0.07343096234309623,20.3262,122.0,5.608,0.05745901639344262,20.338,109.2,5.66,0.0647893772893773,21.0019,95.4,5.568,0.07295597484276728,19.989,127.7,5.632,0.055129209083790126,20.6302,102.3,5.556,0.06788856304985337,20.811,114.8,5.552,0.06045296167247386,22.0494,103.7,5.608,0.06759884281581485,19.178,95.6,5.616,0.07343096234309623,19.73,122.0,5.608,0.05745901639344262,19.6844,109.2,5.66,0.0647893772893773,19.673,95.4,5.568,0.07295597484276728,18.3337,127.7,5.632,0.055129209083790126,19.572,102.3,5.556,0.06788856304985337,19.7521,114.8,5.552,0.06045296167247386,20.901
09-05-2025-Fri 16-34-48-PM,103.6,5.608,0.06766409266409266,19.719,96.2,5.616,0.07297297297297296,20.2593,120.9,5.608,0.05798180314309346,20.326,108.7,5.664,0.06513339466421343,21.0358,95.5,5.572,0.07293193717277487,19.932,126.5,5.636,0.055691699604743086,20.5963,101.5,5.56,0.06847290640394088,20.788,113.6,5.556,0.0611355633802817,21.88,103.6,5.608,0.06766409266409266,19.178,96.2,5.616,0.07297297297297296,19.707,120.9,5.608,0.05798180314309346,19.6844,108.7,5.664,0.06513339466421343,19.628,95.5,5.572,0.07293193717277487,18.1652,126.5,5.636,0.055691699604743086,19.55,101.5,5.56,0.06847290640394088,19.8876,113.6,5.556,0.0611355633802817,20.884
09-05-2025-Fri 16-34-50-PM,102.9,5.612,0.06817298347910593,19.786,95.8,5.62,0.07332985386221295,20.3601,119.9,5.612,0.0585070892410342,20.36,108.2,5.664,0.0654343807763401,21.0019,95.4,5.572,0.0730083857442348,20.022,125.4,5.636,0.05618022328548644,20.6641,101.7,5.564,0.0683874139626352,20.867,113.0,5.556,0.06146017699115044,22.0494,102.9,5.612,0.06817298347910593,19.2119,95.8,5.62,0.07332985386221295,19.763,119.9,5.612,0.0585070892410342,19.7182,108.2,5.664,0.0654343807763401,19.707,95.4,5.572,0.0730083857442348,18.4015,125.4,5.636,0.05618022328548644,19.651,101.7,5.564,0.0683874139626352,19.8876,113.0,5.556,0.06146017699115044,20.968
09-05-2025-Fri 16-34-53-PM,102.9,5.612,0.06817298347910593,19.803,95.9,5.616,0.07320125130344109,20.3939,118.9,5.612,0.058999158957106806,20.371,108.1,5.668,0.06554116558741907,21.0358,95.2,5.576,0.0732142857142857,20.045,124.6,5.636,0.056540930979133236,20.6979,101.7,5.564,0.0683874139626352,20.901,113.1,5.56,0.06145004420866491,21.9478,102.9,5.612,0.06817298347910593,19.2119,95.9,5.616,0.07320125130344109,19.763,118.9,5.612,0.058999158957106806,19.6844,108.1,5.668,0.06554116558741907,19.707,95.2,5.576,0.0732142857142857,18.4015,124.6,5.636,0.056540930979133236,19.719,101.7,5.564,0.0683874139626352,20.0561,113.1,5.56,0.06145004420866491,21.002
09-05-2025-Fri 16-34-55-PM,102.3,5.612,0.06857282502443793,19.803,95.3,5.62,0.07371458551941239,20.3601,118.3,5.612,0.05929839391377853,20.394,107.6,5.672,0.06589219330855019,21.1035,95.3,5.576,0.07313746065057712,20.068,124.0,5.64,0.05685483870967742,20.6641,101.7,5.564,0.0683874139626352,20.878,112.6,5.56,0.061722912966252215,22.0155,102.3,5.612,0.06857282502443793,19.2457,95.3,5.62,0.07371458551941239,19.775,118.3,5.612,0.05929839391377853,19.7182,107.6,5.672,0.06589219330855019,19.752,95.3,5.576,0.07313746065057712,18.4353,124.0,5.64,0.05685483870967742,19.685,101.7,5.564,0.0683874139626352,19.9545,112.6,5.56,0.061722912966252215,20.985
09-05-2025-Fri 16-34-57-PM,102.2,5.616,0.06868884540117416,19.887,95.2,5.62,0.07379201680672269,20.4617,117.6,5.612,0.059651360544217685,20.417,107.7,5.668,0.06578458681522747,21.0697,95.2,5.584,0.07331932773109243,20.101,123.5,5.64,0.05708502024291498,20.8326,101.2,5.564,0.06872529644268775,20.979,111.5,5.56,0.06233183856502242,22.1171,102.2,5.616,0.06868884540117416,19.3126,95.2,5.62,0.07379201680672269,19.831,117.6,5.612,0.059651360544217685,19.7182,107.7,5.668,0.06578458681522747,19.73,95.2,5.584,0.07331932773109243,18.4015,123.5,5.64,0.05708502024291498,19.741,101.2,5.564,0.06872529644268775,19.9884,111.5,5.56,0.06233183856502242,21.053
09-05-2025-Fri 16-35-29-PM,105.9,5.664,0.0668555240793201,19.887,96.4,5.672,0.07354771784232365,20.4617,122.9,5.66,0.05756712774613507,20.417,112.5,5.716,0.06351111111111112,21.0358,99.3,5.628,0.07084592145015106,20.045,130.1,5.692,0.054688700999231364,20.6302,103.5,5.612,0.06777777777777778,20.901,114.0,5.608,0.06149122807017544,22.1171,105.9,5.664,0.0668555240793201,19.3126,96.4,5.672,0.07354771784232365,19.842,122.9,5.66,0.05756712774613507,19.7521,112.5,5.716,0.06351111111111112,19.752,99.3,5.628,0.07084592145015106,18.4684,130.1,5.692,0.054688700999231364,19.684,103.5,5.612,0.06777777777777778,19.9545,114.0,5.608,0.06149122807017544,21.036
09-05-2025-Fri 16-35-31-PM,101.7,5.612,0.06897738446411014,19.853,94.4,5.62,0.07441737288135593,20.3939,118.1,5.612,0.05939881456392888,20.383,108.5,5.668,0.06529953917050692,21.0697,95.8,5.576,0.07275574112734864,20.124,124.8,5.644,0.056530448717948725,20.7318,99.9,5.564,0.06961961961961963,20.968,109.7,5.564,0.06340018231540565,22.151,101.7,5.612,0.06897738446411014,19.3126,94.4,5.62,0.07441737288135593,19.797,118.1,5.612,0.05939881456392888,19.6844,108.5,5.668,0.06529953917050692,19.775,95.8,5.576,0.07275574112734864,18.57,124.8,5.644,0.056530448717948725,19.775,99.9,5.564,0.06961961961961963,20.0222,109.7,5.564,0.06340018231540565,21.087
09-05-2025-Fri 16-35-33-PM,101.3,5.62,0.06934846989141165,19.904,94.2,5.624,0.07462845010615711,20.4278,117.0,5.616,0.05999999999999999,20.416,107.7,5.672,0.06583101207056638,21.1035,94.7,5.58,0.07365364308342133,20.102,123.5,5.644,0.0571255060728745,20.7657,99.7,5.568,0.06980942828485456,21.025,109.0,5.564,0.06380733944954128,22.0494,101.3,5.62,0.06934846989141165,19.3804,94.2,5.624,0.07462845010615711,19.842,117.0,5.616,0.05999999999999999,19.7182,107.7,5.672,0.06583101207056638,19.752,94.7,5.58,0.07365364308342133,18.4353,123.5,5.644,0.0571255060728745,19.82,99.7,5.568,0.06980942828485456,20.2593,109.0,5.564,0.06380733944954128,21.154
