Timestamp,DNEpct Cell 1 Temp,DNEpct Cell 3 Temp,DNEpct Cell 5 Temp,DNEpct Cell 7 Temp,50pct Cell 10 Temp,50pct Cell 12 Temp,50pct Cell 14 Temp,50pct Cell 16 Temp
08-29-2025-Fri 12-04-14-PM,20.14,20.405,20.36,20.101,20.157,20.034,19.494,19.567
08-29-2025-Fri 12-04-17-PM,20.157,20.405,20.371,20.079,20.169,20.045,19.493,19.533
08-29-2025-Fri 12-04-19-PM,20.14,20.383,20.371,20.068,20.157,20.045,19.482,19.516
08-29-2025-Fri 12-04-21-PM,20.174,20.45,20.405,20.056,20.18,20.079,19.471,19.499
08-29-2025-Fri 12-04-24-PM,20.157,20.394,20.416,20.079,20.169,20.067,19.493,19.499
08-29-2025-Fri 12-04-26-PM,20.191,20.462,20.416,20.056,20.214,20.113,19.482,19.499
08-29-2025-Fri 12-04-29-PM,20.174,20.405,20.45,20.056,20.191,20.112,19.527,19.465
08-29-2025-Fri 12-04-31-PM,20.191,20.45,20.473,20.079,20.202,20.146,19.516,19.516
08-29-2025-Fri 12-04-33-PM,20.259,20.45,20.495,20.113,20.259,20.146,19.572,19.516
08-29-2025-Fri 12-04-36-PM,20.242,20.439,20.473,20.079,20.248,20.146,19.55,19.499
08-29-2025-Fri 12-04-38-PM,20.276,20.484,20.507,20.135,20.281,20.18,19.572,19.567
08-29-2025-Fri 12-04-41-PM,20.36,20.518,20.529,20.079,20.349,20.214,19.606,19.482
08-29-2025-Fri 12-04-43-PM,20.276,20.495,20.529,20.124,20.304,20.236,19.583,19.567
08-29-2025-Fri 12-04-45-PM,20.327,20.54,20.574,20.124,20.326,20.247,19.606,19.533
08-29-2025-Fri 12-04-48-PM,20.394,20.563,20.551,20.124,20.383,20.236,19.606,19.533
08-29-2025-Fri 12-04-50-PM,20.394,20.563,20.54,20.09,20.371,20.225,19.572,19.499
08-29-2025-Fri 12-04-52-PM,20.36,20.563,20.54,20.101,20.36,20.236,19.572,19.516
08-29-2025-Fri 12-04-55-PM,20.394,20.574,20.551,20.101,20.383,20.247,19.583,19.516
08-29-2025-Fri 12-04-57-PM,20.377,20.596,20.574,20.09,20.371,20.27,19.572,19.499
08-29-2025-Fri 12-05-00-PM,20.343,20.551,20.54,20.079,20.349,20.236,19.55,19.482
08-29-2025-Fri 12-05-02-PM,20.31,20.507,20.551,20.068,20.326,20.236,19.55,19.449
08-29-2025-Fri 12-05-04-PM,20.36,20.574,20.54,20.068,20.371,20.248,19.539,19.465
08-29-2025-Fri 12-05-07-PM,20.36,20.585,20.585,20.079,20.36,20.27,19.561,19.465
08-29-2025-Fri 12-05-09-PM,20.411,20.619,20.574,20.068,20.405,20.281,19.55,19.465
08-29-2025-Fri 12-05-11-PM,20.36,20.563,20.551,20.045,20.36,20.247,19.527,19.432
08-29-2025-Fri 12-05-14-PM,20.36,20.574,20.574,20.034,20.371,20.27,19.527,19.398
08-29-2025-Fri 12-05-16-PM,20.377,20.585,20.563,20.011,20.371,20.259,19.493,19.381
08-29-2025-Fri 12-05-18-PM,20.36,20.563,20.574,20.022,20.36,20.259,19.505,19.381
08-29-2025-Fri 12-05-21-PM,20.36,20.551,20.551,20.011,20.36,20.247,19.493,19.381
08-29-2025-Fri 12-05-24-PM,20.377,20.608,20.608,20.011,20.371,20.292,19.494,19.364
08-29-2025-Fri 12-05-28-PM,20.394,20.574,20.574,20.022,20.383,20.259,19.516,19.381
