Cell 1 Timestamp,60pct Cell 1 Current,60pct Cell 1 Voltage,60pct Cell 1 Temp,Cell 1 Resistance,Cell 2 Timestamp,60pct Cell 2 Current,60pct Cell 2 Voltage,60pct Cell 2 Temp,Cell 2 Resistance,Cell 3 Timestamp,60pct Cell 3 Current,60pct Cell 3 Voltage,60pct Cell 3 Temp,Cell 3 Resistance,Cell 4 Timestamp,60pct Cell 4 Current,60pct Cell 4 Voltage,60pct Cell 4 Temp,Cell 4 Resistance,Cell 5 Timestamp,60pct Cell 5 Current,60pct Cell 5 Voltage,60pct Cell 5 Temp,Cell 5 Resistance,Cell 6 Timestamp,60pct Cell 6 Current,60pct Cell 6 Voltage,60pct Cell 6 Temp,Cell 6 Resistance,Cell 7 Timestamp,55pct Cell 7 Current,55pct Cell 7 Voltage,55pct Cell 7 Temp,Cell 7 Resistance,Cell 8 Timestamp,55pct Cell 8 Current,55pct Cell 8 Voltage,55pct Cell 8 Temp,Cell 8 Resistance,Cell 9 Timestamp,55pct Cell 9 Current,55pct Cell 9 Voltage,55pct Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,55pct Cell 10 Current,55pct Cell 10 Voltage,55pct Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,55pct Cell 11 Current,55pct Cell 11 Voltage,55pct Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,55pct Cell 12 Current,55pct Cell 12 Voltage,55pct Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,45pct Cell 13 Current,45pct Cell 13 Voltage,45pct Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,45pct Cell 14 Current,45pct Cell 14 Voltage,45pct Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,40pct Cell 15 Current,40pct Cell 15 Voltage,40pct Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,40pct Cell 16 Current,40pct Cell 16 Voltage,40pct Cell 16 Temp,Cell 16 Resistance
11-07-2025-Fri 16-00-18-PM,0.2,5.808,-70.383,36.3,11-07-2025-Fri 16-01-10-PM,0.2,5.812,-67.9413,36.325,11-07-2025-Fri 16-05-13-PM,0.2,5.816,-71.417,36.35,11-07-2025-Fri 16-02-47-PM,0.2,5.82,-65.6425,36.375,11-07-2025-Fri 16-09-05-PM,0.2,5.816,-74.541,36.35,11-07-2025-Fri 16-05-27-PM,0.2,5.816,-71.2544,36.35,11-07-2025-Fri 16-00-18-PM,0.1,5.812,-68.575,72.65,11-07-2025-Fri 16-01-59-PM,0.2,5.812,-71.32,36.325,11-07-2025-Fri 16-00-13-PM,0.2,5.804,-73.8427,36.275,11-07-2025-Fri 16-01-07-PM,0.2,5.816,-71.209,36.35,11-07-2025-Fri 16-00-13-PM,0.2,5.812,-70.1724,36.325,11-07-2025-Fri 15-58-52-PM,0.1,5.808,-64.754,72.6,11-07-2025-Fri 15-58-52-PM,0.2,5.804,-64.9526,36.275,11-07-2025-Fri 16-01-03-PM,0.2,5.816,-68.564,36.35,11-07-2025-Fri 15-56-40-PM,0.1,5.8,-63.9337,72.5,11-07-2025-Fri 15-56-35-PM,0.2,5.804,-63.769,36.275
11-07-2025-Fri 16-00-20-PM,0.4,5.804,-70.449,18.1375,11-07-2025-Fri 16-01-12-PM,0.4,5.812,-67.9742,18.1625,11-07-2025-Fri 16-05-15-PM,0.2,5.816,-71.45,36.35,11-07-2025-Fri 16-02-54-PM,0.4,5.816,-65.774,18.175,11-07-2025-Fri 16-09-08-PM,0.5,5.816,-74.606,14.54,11-07-2025-Fri 16-06-02-PM,0.2,5.816,-71.6478,36.35,11-07-2025-Fri 16-00-20-PM,0.5,5.816,-68.619,14.54,11-07-2025-Fri 16-02-01-PM,0.5,5.812,-71.32,14.53,11-07-2025-Fri 16-00-15-PM,0.5,5.804,-73.8756,14.51,11-07-2025-Fri 16-01-10-PM,0.3,5.812,-71.264,24.2167,11-07-2025-Fri 16-00-15-PM,0.4,5.812,-70.2052,18.1625,11-07-2025-Fri 15-58-55-PM,0.5,5.808,-64.797,14.52,11-07-2025-Fri 15-58-55-PM,0.3,5.8,-65.0183,24.1667,11-07-2025-Fri 16-01-05-PM,0.2,5.816,-68.619,36.35,11-07-2025-Fri 15-56-42-PM,0.3,5.804,-64.0323,24.1833,11-07-2025-Fri 15-56-37-PM,0.5,5.808,-63.835,14.52
11-07-2025-Fri 16-01-00-PM,0.4,5.808,-71.154,18.15,11-07-2025-Fri 16-01-14-PM,0.4,5.808,-67.9742,18.15,11-07-2025-Fri 16-05-18-PM,0.4,5.816,-71.461,18.175,11-07-2025-Fri 16-02-56-PM,0.4,5.82,-65.774,18.1875,11-07-2025-Fri 16-09-10-PM,0.3,5.816,-74.672,24.2333,11-07-2025-Fri 16-06-04-PM,0.4,5.816,-71.6805,18.175,11-07-2025-Fri 16-01-00-PM,0.3,5.812,-69.428,24.2167,11-07-2025-Fri 16-02-04-PM,0.6,5.812,-71.3527,12.1083,11-07-2025-Fri 16-00-18-PM,0.5,5.804,-73.9084,14.51,11-07-2025-Fri 16-01-12-PM,0.1,5.808,-71.308,72.6,11-07-2025-Fri 16-00-18-PM,0.3,5.816,-70.2708,24.2333,11-07-2025-Fri 15-58-57-PM,0.4,5.808,-64.863,18.15,11-07-2025-Fri 15-58-57-PM,0.6,5.804,-65.0511,12.0917,11-07-2025-Fri 16-01-07-PM,0.6,5.816,-68.652,12.1167,11-07-2025-Fri 15-56-44-PM,0.4,5.8,-64.1309,18.125,11-07-2025-Fri 15-56-40-PM,0.4,5.804,-63.917,18.1375
11-07-2025-Fri 16-01-03-PM,0.1,5.804,-71.203,72.55,11-07-2025-Fri 16-01-42-PM,0.1,5.808,-68.5649,72.6,11-07-2025-Fri 16-05-20-PM,0.2,5.816,-71.482,36.35,11-07-2025-Fri 16-02-58-PM,0.2,5.82,-65.8726,36.375,11-07-2025-Fri 16-09-12-PM,0.3,5.812,-74.715,24.2167,11-07-2025-Fri 16-06-07-PM,0.2,5.812,-71.7461,36.325,11-07-2025-Fri 16-01-03-PM,0.4,5.812,-69.45,18.1625,11-07-2025-Fri 16-02-35-PM,0.4,5.812,-71.8444,18.1625,11-07-2025-Fri 16-00-20-PM,0.3,5.808,-73.9738,24.2,11-07-2025-Fri 16-01-14-PM,0.1,5.812,-71.329,72.65,11-07-2025-Fri 16-00-20-PM,0.3,5.816,-70.3036,24.2333,11-07-2025-Fri 15-58-59-PM,0.6,5.808,-64.874,12.1,11-07-2025-Fri 15-58-59-PM,0.4,5.804,-65.084,18.1375,11-07-2025-Fri 16-01-10-PM,0.4,5.82,-68.685,18.1875,11-07-2025-Fri 15-56-47-PM,0.5,5.8,-64.2295,14.5,11-07-2025-Fri 15-56-42-PM,-0.1,5.808,-64.016,-72.6
11-07-2025-Fri 16-01-05-PM,0.3,5.804,-71.236,24.1833,11-07-2025-Fri 16-01-45-PM,0.3,5.808,-68.6306,24.2,11-07-2025-Fri 16-05-22-PM,0.4,5.812,-71.548,18.1625,11-07-2025-Fri 16-03-01-PM,0.1,5.816,-65.9383,72.7,11-07-2025-Fri 16-09-15-PM,0.4,5.816,-74.792,18.175,11-07-2025-Fri 16-06-09-PM,0.4,5.816,-71.7461,18.175,11-07-2025-Fri 16-01-05-PM,0.7,5.816,-69.516,10.3857,11-07-2025-Fri 16-02-37-PM,0.5,5.816,-71.91,14.54,11-07-2025-Fri 16-01-00-PM,0.2,5.804,-74.5632,36.275,11-07-2025-Fri 16-01-42-PM,0.4,5.812,-71.799,18.1625,11-07-2025-Fri 16-01-00-PM,0.5,5.816,-71.0249,14.54,11-07-2025-Fri 16-00-13-PM,0.5,5.808,-66.484,14.52,11-07-2025-Fri 16-00-13-PM,0.3,5.804,-66.6609,24.1833,11-07-2025-Fri 16-01-12-PM,-0.1,5.816,-68.739,-72.7,11-07-2025-Fri 15-57-15-PM,0.4,5.804,-65.3139,18.1375,11-07-2025-Fri 15-56-44-PM,0.3,5.808,-64.082,24.2
11-07-2025-Fri 16-01-07-PM,0.4,5.804,-71.252,18.1375,11-07-2025-Fri 16-01-48-PM,0.2,5.812,-68.6634,36.325,11-07-2025-Fri 16-05-25-PM,0.4,5.816,-71.559,18.175,11-07-2025-Fri 16-03-03-PM,0.1,5.82,-65.9054,72.75,11-07-2025-Fri 16-09-17-PM,0.2,5.816,-74.846,36.35,11-07-2025-Fri 16-06-11-PM,0.6,5.816,-71.7461,12.1167,11-07-2025-Fri 16-01-07-PM,0.6,5.812,-69.549,12.1083,11-07-2025-Fri 16-02-40-PM,0.4,5.812,-71.9427,18.1625,11-07-2025-Fri 16-01-03-PM,0.5,5.808,-74.6286,14.52,11-07-2025-Fri 16-01-45-PM,0.1,5.812,-71.854,72.65,11-07-2025-Fri 16-01-03-PM,0.7,5.812,-71.0576,10.3786,11-07-2025-Fri 16-00-15-PM,0.3,5.812,-66.528,24.2167,11-07-2025-Fri 16-00-15-PM,0.6,5.808,-66.6937,12.1,11-07-2025-Fri 16-01-14-PM,0.3,5.816,-68.794,24.2333,11-07-2025-Fri 15-57-17-PM,0.3,5.804,-65.4126,24.1833,11-07-2025-Fri 15-56-47-PM,0.3,5.808,-64.18,24.2
11-07-2025-Fri 16-01-10-PM,0.5,5.808,-71.318,14.52,11-07-2025-Fri 16-01-50-PM,0.4,5.808,-68.729,18.15,11-07-2025-Fri 16-05-27-PM,0.1,5.816,-71.603,72.7,11-07-2025-Fri 16-03-05-PM,0.3,5.816,-66.0039,24.2333,11-07-2025-Fri 16-09-19-PM,0.2,5.816,-74.923,36.35,11-07-2025-Fri 16-06-14-PM,0.3,5.812,-71.7789,24.2167,11-07-2025-Fri 16-01-10-PM,0.4,5.812,-69.581,18.1625,11-07-2025-Fri 16-02-47-PM,0.4,5.812,-72.041,18.1625,11-07-2025-Fri 16-01-05-PM,0.2,5.804,-74.6613,36.275,11-07-2025-Fri 16-01-48-PM,0.1,5.812,-71.887,72.65,11-07-2025-Fri 16-01-05-PM,0.3,5.812,-71.0905,24.2167,11-07-2025-Fri 16-00-18-PM,0.5,5.812,-66.593,14.53,11-07-2025-Fri 16-00-18-PM,0.1,5.804,-66.7921,72.55,11-07-2025-Fri 16-01-42-PM,0.3,5.816,-69.308,24.2333,11-07-2025-Fri 15-57-20-PM,0.1,5.804,-65.5112,72.55,11-07-2025-Fri 15-57-15-PM,0.3,5.808,-65.15,24.2
11-07-2025-Fri 16-01-12-PM,0.3,5.804,-71.35,24.1833,11-07-2025-Fri 16-01-52-PM,0.4,5.812,-68.7617,18.1625,11-07-2025-Fri 16-06-02-PM,0.2,5.812,-71.996,36.325,11-07-2025-Fri 16-03-57-PM,0.3,5.816,-66.8579,24.2333,11-07-2025-Fri 16-09-22-PM,0.3,5.816,-74.977,24.2333,11-07-2025-Fri 16-06-16-PM,0.4,5.812,-71.8116,18.1625,11-07-2025-Fri 16-01-12-PM,0.4,5.812,-69.625,18.1625,11-07-2025-Fri 16-02-54-PM,0.2,5.812,-72.1393,36.325,11-07-2025-Fri 16-01-07-PM,0.3,5.804,-74.6613,24.1833,11-07-2025-Fri 16-01-50-PM,0.4,5.812,-71.93,18.1625,11-07-2025-Fri 16-01-07-PM,0.6,5.812,-71.1233,12.1083,11-07-2025-Fri 16-00-20-PM,0.6,5.812,-66.615,12.1083,11-07-2025-Fri 16-00-20-PM,0.3,5.804,-66.7593,24.1833,11-07-2025-Fri 16-01-45-PM,0.3,5.816,-69.341,24.2333,11-07-2025-Fri 15-57-22-PM,0.3,5.808,-65.5769,24.2,11-07-2025-Fri 15-57-17-PM,0.1,5.808,-65.248,72.6
11-07-2025-Fri 16-01-14-PM,0.4,5.808,-71.383,18.15,11-07-2025-Fri 16-01-54-PM,0.4,5.812,-68.729,18.1625,11-07-2025-Fri 16-06-04-PM,0.4,5.816,-72.062,18.175,11-07-2025-Fri 16-04-00-PM,0.5,5.816,-66.8579,14.54,11-07-2025-Fri 16-09-24-PM,0.2,5.812,-75.043,36.325,11-07-2025-Fri 16-06-18-PM,0.3,5.812,-71.8444,24.2167,11-07-2025-Fri 16-01-14-PM,0.5,5.816,-69.68,14.54,11-07-2025-Fri 16-02-56-PM,0.6,5.812,-72.2048,12.1083,11-07-2025-Fri 16-01-10-PM,0.2,5.804,-74.6941,36.275,11-07-2025-Fri 16-01-52-PM,0.3,5.812,-71.952,24.2167,11-07-2025-Fri 16-01-10-PM,0.3,5.812,-71.1561,24.2167,11-07-2025-Fri 16-01-00-PM,0.5,5.808,-67.414,14.52,11-07-2025-Fri 16-01-00-PM,0.1,5.804,-67.613,72.55,11-07-2025-Fri 16-01-48-PM,0.5,5.82,-69.385,14.55,11-07-2025-Fri 15-57-24-PM,0.3,5.8,-65.6425,24.1667,11-07-2025-Fri 15-57-20-PM,0.3,5.808,-65.33,24.2
11-07-2025-Fri 16-01-42-PM,0.2,5.808,-71.859,36.3,11-07-2025-Fri 16-01-57-PM,0.3,5.812,-68.8274,24.2167,11-07-2025-Fri 16-06-07-PM,0.3,5.816,-72.083,24.2333,11-07-2025-Fri 16-04-02-PM,0.1,5.816,-66.9892,72.7,11-07-2025-Fri 16-09-26-PM,0.3,5.816,-75.119,24.2333,11-07-2025-Fri 16-06-21-PM,0.4,5.816,-71.8444,18.175,11-07-2025-Fri 16-01-42-PM,0.3,5.812,-70.183,24.2167,11-07-2025-Fri 16-02-58-PM,0.3,5.812,-72.2048,24.2167,11-07-2025-Fri 16-01-12-PM,0.4,5.804,-74.7268,18.1375,11-07-2025-Fri 16-01-54-PM,0.3,5.808,-71.963,24.2,11-07-2025-Fri 16-01-12-PM,0.3,5.816,-71.2216,24.2333,11-07-2025-Fri 16-01-03-PM,0.4,5.812,-67.458,18.1625,11-07-2025-Fri 16-01-03-PM,0.2,5.804,-67.6459,36.275,11-07-2025-Fri 16-01-50-PM,0.4,5.82,-69.428,18.1875,11-07-2025-Fri 15-57-27-PM,0.0,5.804,-65.7083,inf,11-07-2025-Fri 15-57-22-PM,0.5,5.804,-65.396,14.51
