Timestamp,60pct Cell 1 Temp,60pct Cell 3 Temp,60pct Cell 5 Temp,55pct Cell 7 Temp,55pct Cell 10 Temp,55pct Cell 12 Temp,45pct Cell 14 Temp,40pct Cell 16 Temp
11-07-2025-Fri 14-39-37-PM,17.406,17.333,18.323,18.863,17.423,18.165,19.122,19.33
11-07-2025-Fri 14-39-40-PM,17.541,17.445,18.345,18.919,17.546,18.21,19.167,19.398
11-07-2025-Fri 14-39-42-PM,17.541,17.456,18.379,18.919,17.546,18.233,19.201,19.381
11-07-2025-Fri 14-39-44-PM,17.507,17.467,18.311,18.874,17.535,18.165,19.065,19.296
11-07-2025-Fri 14-39-47-PM,17.592,17.546,18.345,18.975,17.614,18.222,19.144,19.448
11-07-2025-Fri 14-39-50-PM,17.575,17.558,18.379,19.009,17.591,18.244,19.19,19.499
11-07-2025-Fri 14-39-52-PM,17.592,17.558,18.368,18.975,17.637,18.267,19.144,19.448
11-07-2025-Fri 14-39-54-PM,17.592,15.579,18.356,18.919,15.647,16.265,19.077,19.364
11-07-2025-Fri 14-39-57-PM,17.642,16.433,18.458,19.066,16.523,17.176,19.268,19.533
11-07-2025-Fri 14-39-59-PM,17.642,16.309,18.357,18.953,16.399,16.973,19.111,19.398
11-07-2025-Fri 14-40-02-PM,17.675,16.242,18.39,18.964,16.321,16.895,19.122,19.398
11-07-2025-Fri 14-40-04-PM,17.693,16.208,18.39,18.964,16.276,16.839,19.122,19.398
11-07-2025-Fri 14-40-06-PM,17.676,16.163,18.39,18.965,16.231,16.816,19.133,19.415
11-07-2025-Fri 14-40-09-PM,17.625,16.107,18.402,18.987,16.175,16.794,19.133,19.431
11-07-2025-Fri 14-40-11-PM,17.692,16.174,18.412,18.998,16.242,16.827,19.144,19.448
11-07-2025-Fri 14-40-13-PM,17.709,16.22,18.402,18.987,16.287,16.85,19.133,19.431
11-07-2025-Fri 14-40-16-PM,17.71,16.197,18.368,18.964,16.31,16.839,19.111,19.397
11-07-2025-Fri 14-40-18-PM,17.659,16.175,18.368,18.93,16.299,16.861,19.088,19.347
11-07-2025-Fri 14-40-20-PM,17.676,16.321,18.413,18.93,16.388,16.985,19.077,19.347
11-07-2025-Fri 14-40-23-PM,17.727,16.5,18.413,18.942,16.579,17.131,19.1,19.347
11-07-2025-Fri 14-40-25-PM,17.71,16.714,18.446,18.942,16.771,17.367,19.111,19.347
11-07-2025-Fri 14-40-28-PM,17.727,16.86,18.424,18.942,16.939,17.502,19.111,19.347
11-07-2025-Fri 14-40-30-PM,17.709,16.972,18.413,18.953,17.062,17.625,19.111,19.364
11-07-2025-Fri 14-40-32-PM,17.743,17.108,18.412,18.953,17.198,17.738,19.111,19.364
11-07-2025-Fri 14-40-35-PM,17.743,17.209,18.424,18.964,17.277,17.828,19.111,19.38
11-07-2025-Fri 14-40-37-PM,17.76,17.22,18.413,18.953,17.31,17.839,19.1,19.364
11-07-2025-Fri 14-40-39-PM,17.76,17.231,18.446,18.953,17.299,17.861,19.111,19.364
11-07-2025-Fri 14-40-42-PM,17.676,17.153,18.435,18.964,17.243,17.839,19.122,19.364
11-07-2025-Fri 14-40-44-PM,17.743,17.231,18.424,18.953,17.321,17.873,19.111,19.364
11-07-2025-Fri 14-40-46-PM,17.777,17.276,18.435,18.964,17.344,17.884,19.1,19.381
11-07-2025-Fri 14-40-49-PM,17.76,17.254,18.435,18.987,17.333,17.884,19.133,19.414
11-07-2025-Fri 14-40-53-PM,17.811,17.288,18.446,18.987,17.378,17.895,19.133,19.397
11-07-2025-Fri 14-40-58-PM,17.76,17.242,18.447,18.987,17.321,17.873,19.122,19.397
11-07-2025-Fri 14-41-02-PM,17.811,17.254,18.446,19.009,17.366,17.884,19.155,19.431
11-07-2025-Fri 14-41-05-PM,17.828,17.299,18.469,19.02,17.4,17.918,19.144,19.431
11-07-2025-Fri 14-41-07-PM,17.845,17.322,18.48,19.043,17.412,17.929,19.167,19.465
11-07-2025-Fri 14-41-10-PM,17.828,17.299,18.48,19.032,17.4,17.929,19.167,19.448
11-07-2025-Fri 14-41-12-PM,17.845,17.344,18.492,19.043,17.434,17.963,19.178,19.465
11-07-2025-Fri 14-41-14-PM,17.862,17.389,18.503,19.043,17.456,17.985,19.178,19.465
11-07-2025-Fri 14-41-17-PM,17.879,17.378,18.48,19.054,17.479,17.974,19.178,19.482
11-07-2025-Fri 14-41-19-PM,17.878,17.389,18.503,19.043,17.49,17.996,19.178,19.448
11-07-2025-Fri 14-41-22-PM,17.896,17.389,18.48,19.054,17.524,17.996,19.201,19.465
11-07-2025-Fri 14-41-24-PM,17.878,17.434,18.503,19.054,17.546,18.053,19.189,19.465
11-07-2025-Fri 14-41-26-PM,17.878,17.49,18.537,19.066,17.569,18.109,19.201,19.482
11-07-2025-Fri 14-41-29-PM,17.861,17.49,18.514,19.077,17.58,18.109,19.212,19.499
11-07-2025-Fri 14-41-31-PM,17.912,17.513,18.525,19.077,17.614,18.12,19.201,19.499
11-07-2025-Fri 14-41-34-PM,17.912,17.546,18.536,19.088,17.625,18.132,19.2,19.499
11-07-2025-Fri 14-41-36-PM,17.912,17.524,18.525,19.077,17.636,18.143,19.212,19.499
11-07-2025-Fri 14-41-39-PM,17.912,17.535,18.514,19.088,17.648,18.131,19.2,19.499
11-07-2025-Fri 14-41-41-PM,17.962,17.569,18.525,19.088,17.692,18.154,19.212,19.499
11-07-2025-Fri 14-41-43-PM,17.929,17.558,18.525,19.1,17.659,18.154,19.212,19.533
11-07-2025-Fri 14-41-46-PM,17.946,17.569,18.536,19.088,17.692,18.176,19.223,19.499
11-07-2025-Fri 14-41-48-PM,17.912,17.58,18.548,19.11,17.67,18.188,19.223,19.533
11-07-2025-Fri 14-41-50-PM,17.895,17.569,18.559,19.122,17.659,18.188,19.234,19.533
11-07-2025-Fri 14-41-53-PM,17.946,17.614,18.559,19.111,17.704,18.199,19.223,19.516
11-07-2025-Fri 14-41-55-PM,17.946,17.603,18.548,19.122,17.704,18.188,19.223,19.533
11-07-2025-Fri 14-41-57-PM,17.979,17.603,18.548,19.133,17.726,18.188,19.234,19.549
11-07-2025-Fri 14-42-00-PM,17.979,17.648,18.582,19.122,17.738,18.233,19.234,19.533
11-07-2025-Fri 14-42-02-PM,17.912,17.602,18.581,19.122,17.692,18.233,19.245,19.533
11-07-2025-Fri 14-42-05-PM,17.996,17.625,18.559,19.144,17.749,18.21,19.245,19.566
11-07-2025-Fri 14-42-07-PM,18.013,17.648,18.57,19.144,17.76,18.21,19.245,19.549
11-07-2025-Fri 14-42-09-PM,17.996,17.659,18.581,19.133,17.76,18.232,19.245,19.533
11-07-2025-Fri 14-42-12-PM,17.979,17.625,18.593,19.144,17.738,18.233,19.257,19.549
11-07-2025-Fri 14-42-14-PM,17.979,17.67,18.593,19.144,17.749,18.255,19.245,19.566
11-07-2025-Fri 14-42-16-PM,18.013,17.67,18.581,19.155,17.782,18.244,19.257,19.566
11-07-2025-Fri 14-42-19-PM,17.963,17.625,18.581,19.144,17.738,18.244,19.245,19.566
11-07-2025-Fri 14-42-21-PM,17.996,17.647,18.593,19.155,17.76,18.244,19.268,19.566
11-07-2025-Fri 14-42-23-PM,17.963,17.648,18.593,19.167,17.76,18.266,19.268,19.583
11-07-2025-Fri 14-42-26-PM,18.064,17.704,18.593,19.144,17.828,18.266,19.257,19.549
11-07-2025-Fri 14-42-29-PM,18.03,17.704,18.604,19.167,17.805,18.278,19.268,19.583
11-07-2025-Fri 14-42-31-PM,18.081,17.738,18.604,19.167,17.839,18.278,19.257,19.583
11-07-2025-Fri 14-42-33-PM,18.03,17.738,18.649,19.167,17.816,18.323,19.268,19.566
11-07-2025-Fri 14-42-36-PM,18.013,17.67,18.581,19.167,17.794,18.255,19.257,19.583
11-07-2025-Fri 14-42-38-PM,18.03,17.692,18.615,19.167,17.805,18.289,19.268,19.583
11-07-2025-Fri 14-42-40-PM,18.064,17.76,18.66,19.189,17.839,18.334,19.279,19.6
11-07-2025-Fri 14-42-43-PM,18.098,17.749,18.626,19.167,17.861,18.3,19.268,19.566
11-07-2025-Fri 14-42-45-PM,18.047,17.726,18.626,19.178,17.828,18.3,19.279,19.583
11-07-2025-Fri 14-42-48-PM,18.081,17.738,18.638,19.189,17.85,18.3,19.279,19.583
11-07-2025-Fri 14-42-50-PM,18.081,17.738,18.604,19.189,17.862,18.3,19.279,19.617
11-07-2025-Fri 14-42-52-PM,18.098,17.783,18.638,19.189,17.895,18.345,19.279,19.6
11-07-2025-Fri 14-42-55-PM,18.114,17.749,18.649,19.212,17.873,18.311,19.313,19.617
11-07-2025-Fri 14-42-57-PM,18.098,17.783,18.683,19.201,17.873,18.357,19.302,19.6
11-07-2025-Fri 14-42-59-PM,18.114,17.783,18.649,19.212,17.895,18.334,19.302,19.617
11-07-2025-Fri 14-43-02-PM,18.114,17.749,18.627,19.201,17.884,18.3,19.291,19.6
11-07-2025-Fri 14-43-04-PM,18.148,17.873,18.683,19.212,17.951,18.402,19.291,19.617
11-07-2025-Fri 14-43-06-PM,18.131,17.839,18.694,19.223,17.917,18.39,19.313,19.634
11-07-2025-Fri 14-43-09-PM,18.131,17.816,18.683,19.201,17.906,18.368,19.302,19.6
11-07-2025-Fri 14-43-11-PM,18.131,17.827,18.672,19.212,17.928,18.379,19.302,19.617
11-07-2025-Fri 14-43-14-PM,18.081,17.794,18.672,19.212,17.895,18.379,19.302,19.617
11-07-2025-Fri 14-43-16-PM,18.148,17.827,18.683,19.234,17.94,18.379,19.324,19.634
11-07-2025-Fri 14-43-19-PM,18.199,17.873,18.694,19.234,17.974,18.39,19.324,19.634
11-07-2025-Fri 14-43-21-PM,18.132,17.794,18.649,19.234,17.929,18.345,19.313,19.634
11-07-2025-Fri 14-43-24-PM,18.131,17.805,18.683,19.234,17.929,18.379,19.324,19.634
11-07-2025-Fri 14-43-26-PM,18.148,17.839,18.705,19.246,17.94,18.402,19.324,19.651
11-07-2025-Fri 14-43-28-PM,18.132,17.805,18.672,19.246,17.929,18.368,19.324,19.651
11-07-2025-Fri 14-43-31-PM,18.199,17.895,18.727,19.257,17.985,18.424,19.336,19.651
11-07-2025-Fri 14-43-34-PM,18.199,17.873,18.694,19.246,17.985,18.402,19.324,19.651
11-07-2025-Fri 14-43-36-PM,18.216,17.873,18.705,19.246,17.996,18.413,19.336,19.651
11-07-2025-Fri 14-43-38-PM,18.182,17.85,18.694,19.257,17.974,18.39,19.336,19.651
11-07-2025-Fri 14-43-41-PM,18.216,17.861,18.694,19.257,17.996,18.402,19.336,19.668
11-07-2025-Fri 14-43-43-PM,18.165,17.85,18.716,19.268,17.963,18.413,19.347,19.668
11-07-2025-Fri 14-43-46-PM,18.199,17.861,18.705,19.268,17.985,18.402,19.347,19.668
11-07-2025-Fri 14-43-48-PM,18.216,17.895,18.716,19.268,17.996,18.413,19.324,19.668
11-07-2025-Fri 14-43-51-PM,18.216,17.895,18.717,19.291,18.019,18.424,19.358,19.685
11-07-2025-Fri 14-43-53-PM,18.182,17.85,18.694,19.279,17.985,18.401,19.347,19.685
11-07-2025-Fri 14-43-55-PM,18.182,17.839,18.672,19.257,17.985,18.39,19.324,19.668
11-07-2025-Fri 14-43-58-PM,18.216,17.872,18.705,19.279,18.007,18.413,19.358,19.685
11-07-2025-Fri 14-44-00-PM,18.199,17.873,18.728,19.291,18.007,18.435,19.37,19.685
11-07-2025-Fri 14-44-02-PM,18.233,17.895,18.716,19.268,18.019,18.424,19.336,19.668
11-07-2025-Fri 14-44-05-PM,18.233,17.906,18.739,19.28,18.03,18.447,19.358,19.668
11-07-2025-Fri 14-44-07-PM,18.216,17.873,18.728,19.302,18.019,18.435,19.37,19.702
11-07-2025-Fri 14-44-10-PM,18.249,17.929,18.716,19.291,18.053,18.447,19.347,19.702
11-07-2025-Fri 14-44-12-PM,18.266,17.94,18.75,19.302,18.064,18.458,19.369,19.685
11-07-2025-Fri 14-44-14-PM,18.249,17.94,18.75,19.302,18.064,18.48,19.37,19.702
11-07-2025-Fri 14-44-17-PM,18.283,17.94,18.75,19.313,18.064,18.458,19.381,19.719
11-07-2025-Fri 14-44-19-PM,18.334,17.996,18.75,19.302,18.12,18.48,19.37,19.702
11-07-2025-Fri 14-44-21-PM,18.266,17.94,18.761,19.313,18.064,18.469,19.381,19.702
11-07-2025-Fri 14-44-24-PM,18.3,17.974,18.75,19.313,18.098,18.469,19.369,19.702
11-07-2025-Fri 14-44-26-PM,18.3,17.94,18.739,19.313,18.086,18.447,19.381,19.702
11-07-2025-Fri 14-44-29-PM,18.3,17.963,18.761,19.313,18.086,18.469,19.381,19.702
11-07-2025-Fri 14-44-31-PM,18.283,17.985,18.784,19.324,18.098,18.514,19.381,19.718
11-07-2025-Fri 14-44-33-PM,18.283,17.974,18.784,19.313,18.098,18.514,19.381,19.701
11-07-2025-Fri 14-44-36-PM,18.351,17.996,18.739,19.313,18.143,18.481,19.37,19.718
11-07-2025-Fri 14-44-38-PM,18.317,17.963,18.75,19.324,18.12,18.481,19.392,19.718
11-07-2025-Fri 14-44-40-PM,18.317,17.985,18.761,19.324,18.12,18.492,19.381,19.718
11-07-2025-Fri 14-44-43-PM,18.351,17.985,18.773,19.324,18.143,18.503,19.403,19.719
11-07-2025-Fri 14-44-45-PM,18.283,18.008,18.795,19.324,18.109,18.537,19.381,19.718
11-07-2025-Fri 14-44-47-PM,18.317,17.996,18.795,19.335,18.109,18.514,19.403,19.735
11-07-2025-Fri 14-44-50-PM,18.351,18.008,18.773,19.335,18.143,18.503,19.392,19.735
11-07-2025-Fri 14-44-52-PM,18.385,18.064,18.818,19.335,18.166,18.548,19.403,19.735
11-07-2025-Fri 14-44-55-PM,18.351,18.019,18.795,19.347,18.143,18.514,19.403,19.735
11-07-2025-Fri 14-44-57-PM,18.351,18.008,18.784,19.347,18.154,18.514,19.403,19.735
11-07-2025-Fri 14-44-59-PM,18.402,18.042,18.784,19.347,18.188,18.514,19.392,19.735
11-07-2025-Fri 14-45-02-PM,18.334,18.008,18.795,19.358,18.143,18.525,19.403,19.752
