Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
08-28-2025-Thu 19-34-34-PM,-1.29243,-0.3524,1.05953,1.79894,0.456388,1.36271,\1.5643,0.456388
08-28-2025-Thu 19-34-36-PM,-1.326,-0.285374,1.05953,1.79894,0.422522,1.36271,1.5643,0.456388
08-28-2025-Thu 19-34-39-PM,-1.25886,-0.3524,1.02566,1.79894,0.422522,1.32885,1.5643,0.422522
08-28-2025-Thu 19-34-41-PM,-1.29243,-0.386048,0.993411,1.76588,0.388656,1.32885,1.53043,0.354789
08-28-2025-Thu 19-34-44-PM,-1.39308,-0.3524,0.959544,1.73202,0.354789,1.29498,1.49657,0.388656
08-28-2025-Thu 19-34-46-PM,-1.35944,-0.419626,0.959544,1.73202,0.320923,1.26112,1.49657,0.354789
08-28-2025-Thu 19-34-48-PM,-1.42664,-0.386048,0.925678,1.69815,0.320923,1.22725,1.42883,0.320923
08-28-2025-Thu 19-34-51-PM,-1.46021,-0.419626,0.891812,1.69815,0.28867,1.22725,1.42883,0.28867
08-28-2025-Thu 19-34-53-PM,-1.46021,-0.486782,0.891812,1.66429,0.28867,1.195,1.42883,0.28867
08-28-2025-Thu 19-34-55-PM,-1.46021,-0.553934,0.857945,1.63042,0.254803,1.195,1.36271,0.254803
08-28-2025-Thu 19-34-58-PM,-1.49378,-0.520283,0.824079,1.59817,0.220937,1.16113,1.36271,0.220937
08-28-2025-Thu 19-35-00-PM,-1.52728,-0.553934,0.791826,1.59817,0.220937,1.12726,1.36271,0.220937
08-28-2025-Thu 19-35-02-PM,-1.56092,-0.58752,0.757959,1.5643,0.220937,1.12726,1.32885,0.187071
08-28-2025-Thu 19-35-05-PM,-1.46021,-0.58752,0.757959,1.5643,0.187071,1.0934,1.29498,0.187071
08-28-2025-Thu 19-35-07-PM,-1.59448,-0.621094,0.724093,1.49657,0.153205,1.02566,1.29498,0.153205
08-28-2025-Thu 19-35-10-PM,-1.52728,-0.654667,0.724093,1.49657,0.153205,1.05953,1.26112,0.120951
08-28-2025-Thu 19-35-14-PM,-1.66161,-0.621094,0.690227,1.4627,0.120951,1.05953,1.26112,0.120951
08-28-2025-Thu 19-35-17-PM,-1.69504,-0.688109,0.656361,1.42883,0.0870847,1.02566,1.29498,0.0870847
08-28-2025-Thu 19-35-19-PM,-1.66161,-0.721756,0.690227,1.4627,0.0532184,0.959544,1.32885,0.153205
