all_data_POWER_ON_only_2025-08-28
Timestamp,Cell 1 - Current - ,Cell 1 - Voltage - ,Cell 1 - Temperature - ,Cell 2 - Current - ,Cell 2 - Voltage - ,Cell 2 - Temperature - ,Cell 3 - Current - ,Cell 3 - Voltage - ,Cell 3 - Temperature - ,Cell 4 - Current - ,Cell 4 - Voltage - ,Cell 4 - Temperature - ,Cell 5 - Current ,Cell 5 - Voltage ,Cell 5 - Temperature ,Cell 6 - Current ,Cell 6 - Voltage ,Cell 6 - Temperature ,Cell 7 - Current ,Cell 7 - Voltage ,Cell 7 - Temperature ,Cell 8 - Current ,Cell 8 - Voltage ,Cell 8 - Temperature ,Cell 9 - Current ,Cell 9 - Voltage ,Cell 9 - Temperature ,Cell 10 - Current ,Cell 10 - Voltage ,Cell 10 - Temperature ,Cell 11 - Current ,Cell 11 - Voltage ,Cell 11 - Temperature ,Cell 12 - Current ,Cell 12 - Voltage ,Cell 12 - Temperature ,Cell 13 - Current ,Cell 13 - Voltage ,Cell 13 - Temperature ,Cell 14 - Current ,Cell 14 - Voltage ,Cell 14 - Temperature ,Cell 15 - Current ,Cell 15 - Voltage ,Cell 15 - Temperature ,Cell 16 - Current ,Cell 16 - Voltage ,Cell 16 - Temperature 
08-28-2025-Thu 19-06-25-PM,,,,,,,,,,,,,,,,,,,,,,,,,106.1,5.62,18.9079,86.7,5.628,19.4481,97.8,5.628,20.3601,103.2,5.672,20.4955,127.2,5.572,19.0764,105.2,5.644,19.9884,109.7,5.564,20.5963,113.8,5.564,19.9206
08-28-2025-Thu 19-06-28-PM,,,,,,,,,,,,,,,,,,,,,,,,,105.5,5.62,18.7724,86.2,5.632,19.2796,95.2,5.628,20.1916,103.0,5.676,20.3939,126.8,5.576,18.9756,105.1,5.644,20.0222,108.5,5.572,20.5625,112.4,5.564,19.7182
08-28-2025-Thu 19-06-30-PM,,,,,,,,,,,,,,,,,,,,,,,,,105.4,5.624,18.6716,85.9,5.632,19.2119,94.2,5.628,20.1916,102.9,5.676,20.4278,126.4,5.576,18.9756,105.3,5.644,19.9884,107.8,5.572,20.4955,111.7,5.568,19.786
08-28-2025-Thu 19-06-32-PM,,,,,,,,,,,,,,,,,,,,,,,,,105.4,5.624,18.6716,85.5,5.632,19.2796,93.8,5.628,20.1577,102.6,5.68,20.3601,126.5,5.576,18.9417,105.6,5.648,19.9206,107.6,5.568,20.4955,111.1,5.568,19.9884
08-28-2025-Thu 19-06-35-PM,,,,,,,,,,,,,,,,,,,,,,,,,105.3,5.624,18.6377,85.5,5.636,19.178,93.8,5.632,20.1916,102.2,5.676,20.3601,126.5,5.576,18.9417,106.0,5.644,19.8876,107.2,5.568,20.5625,110.6,5.568,19.8198
08-28-2025-Thu 19-06-37-PM,,,,,,,,,,,,,,,,,,,,,,,,,105.0,5.624,18.57,85.4,5.636,19.1103,93.8,5.632,20.09,102.1,5.68,20.1916,126.1,5.576,18.874,106.0,5.648,19.8876,107.1,5.572,20.5625,110.6,5.568,19.7521
08-28-2025-Thu 19-06-40-PM,,,,,,,,,,,,,,,,,,,,,,,,,105.5,5.624,18.57,85.5,5.632,19.0433,93.6,5.628,20.0222,102.4,5.676,20.2593,126.2,5.576,18.8401,105.7,5.648,19.7521,107.0,5.572,20.4955,110.1,5.568,19.7521
08-28-2025-Thu 19-06-42-PM,,,,,,,,,,,,,,,,,,,,,,,,,105.2,5.624,18.5361,85.1,5.636,18.9756,93.3,5.632,19.9545,102.4,5.676,20.1916,125.9,5.576,18.8401,106.2,5.648,19.7521,106.6,5.572,20.2593,109.7,5.572,19.8876
08-28-2025-Thu 19-10-02-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.3,5.644,14.4875,80.5,5.648,15.1955,90.1,5.644,16.4437,96.0,5.692,17.1525,118.9,5.6,15.5672,98.2,5.664,16.4437,99.5,5.592,16.9501,102.5,5.592,16.2413
08-28-2025-Thu 19-10-04-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.0,5.64,14.4206,80.1,5.652,15.1624,88.5,5.652,16.4106,95.8,5.696,17.2202,118.1,5.6,15.5333,98.3,5.668,16.3429,98.5,5.592,16.9501,101.2,5.592,16.2082
08-28-2025-Thu 19-10-06-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.8,5.644,14.4875,79.9,5.652,15.1285,87.8,5.648,16.376,95.7,5.696,17.2202,118.6,5.6,15.5672,98.8,5.668,16.376,98.4,5.596,17.1186,100.9,5.592,16.0728
08-28-2025-Thu 19-10-09-PM,,,,,,,,,,,,,,,,,,,,,,,,,98.1,5.644,14.4536,79.8,5.648,15.1285,87.9,5.648,16.3429,95.6,5.696,17.0847,118.3,5.6,15.5672,99.0,5.668,16.309,98.3,5.596,16.8493,100.5,5.592,16.1405
08-28-2025-Thu 19-10-11-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.8,5.648,14.3867,80.1,5.652,15.0947,87.5,5.648,16.4776,95.3,5.696,17.0847,118.3,5.604,15.5333,99.1,5.672,16.376,98.2,5.596,17.1186,100.1,5.596,16.0728
08-28-2025-Thu 19-10-14-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.6,5.644,14.4206,79.8,5.656,15.0269,87.7,5.652,16.309,95.5,5.7,16.9839,118.0,5.596,15.5333,98.9,5.668,16.3429,97.9,5.592,17.0517,100.0,5.596,16.1736
08-28-2025-Thu 19-10-16-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.7,5.644,14.319,79.9,5.652,15.1285,87.1,5.648,16.309,95.3,5.696,17.0847,118.0,5.6,15.4656,98.8,5.668,16.2752,97.6,5.596,17.017,99.8,5.596,16.309
08-28-2025-Thu 19-10-18-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.5,5.644,14.2851,80.0,5.652,15.0269,87.1,5.648,16.3429,95.3,5.696,16.9501,117.8,5.6,15.5672,99.2,5.668,16.2413,97.4,5.596,17.0517,99.5,5.596,15.9042
08-28-2025-Thu 19-10-21-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.7,5.644,14.3528,79.8,5.656,15.0608,87.1,5.648,16.2752,95.3,5.696,17.0847,118.0,5.6,15.4656,98.8,5.668,16.2082,97.3,5.596,17.0517,99.4,5.596,15.9381
08-28-2025-Thu 19-10-23-PM,,,,,,,,,,,,,,,,,,,,,,,,,97.3,5.644,14.3528,80.2,5.656,14.9931,87.2,5.648,16.2752,95.2,5.696,17.0517,117.9,5.6,15.4656,98.6,5.668,16.2082,97.5,5.596,17.0847,99.3,5.596,15.9381
