Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
11-07-2025-Fri 14-39-37-PM,16.9839,17.558,17.929,18.7055,17.8274,17.4565,19.482,19.9545
11-07-2025-Fri 14-39-40-PM,17.1863,17.5911,17.9628,18.7393,17.8951,17.558,19.482,20.0561
11-07-2025-Fri 14-39-42-PM,17.1863,17.625,17.9967,18.6716,17.8951,17.558,19.5158,20.09
11-07-2025-Fri 14-39-44-PM,17.1186,17.6927,18.0298,18.6377,17.8951,17.5911,19.2119,19.9545
11-07-2025-Fri 14-39-47-PM,17.2541,17.7266,18.0298,18.7724,17.929,17.6588,19.2796,20.1238
11-07-2025-Fri 14-39-50-PM,17.2202,17.8274,18.0298,18.7393,17.929,17.625,19.2796,20.2593
11-07-2025-Fri 14-39-52-PM,17.2202,17.7266,18.0298,18.8401,17.9628,17.7266,19.3465,20.0561
11-07-2025-Fri 14-39-54-PM,17.2541,17.7266,18.0298,18.8401,17.929,11.7572,19.3126,19.8876
11-07-2025-Fri 14-39-57-PM,17.2541,17.7604,18.1314,18.874,18.0298,14.2851,19.482,20.1916
11-07-2025-Fri 14-39-59-PM,17.2871,17.7266,18.0644,18.8071,17.9967,13.9142,19.2796,19.9884
11-07-2025-Fri 14-40-02-PM,17.321,17.7935,18.0975,18.8071,18.0298,13.611,19.2796,19.9884
11-07-2025-Fri 14-40-04-PM,17.3887,17.7935,18.0975,18.8071,17.9967,13.4425,19.2796,19.9884
11-07-2025-Fri 14-40-06-PM,17.3549,17.7935,18.0644,18.8071,17.9967,13.3409,19.3126,20.0222
11-07-2025-Fri 14-40-09-PM,17.2202,17.8274,18.0975,18.8401,18.0298,13.274,19.2796,20.0222
11-07-2025-Fri 14-40-11-PM,17.3549,17.8274,18.0975,18.874,18.0298,13.3409,19.3126,20.0222
11-07-2025-Fri 14-40-13-PM,17.3887,17.8274,18.0975,18.8401,18.0298,13.4425,19.2796,20.0222
11-07-2025-Fri 14-40-16-PM,17.3549,17.7266,18.0975,18.8401,18.0644,13.5102,19.2796,19.9545
11-07-2025-Fri 14-40-18-PM,17.2541,17.6927,18.0975,18.8401,18.0644,13.5771,19.3126,19.8537
11-07-2025-Fri 14-40-20-PM,17.2871,17.8612,18.0975,18.8401,18.0644,13.8134,19.2796,19.8537
11-07-2025-Fri 14-40-23-PM,17.3887,17.8274,18.1314,18.8071,18.0644,14.2851,19.2796,19.8876
11-07-2025-Fri 14-40-25-PM,17.3549,17.8951,18.1314,18.8071,18.0644,14.8923,19.3126,19.8876
11-07-2025-Fri 14-40-28-PM,17.3887,17.8274,18.1314,18.8071,18.0644,15.3648,19.3126,19.8876
11-07-2025-Fri 14-40-30-PM,17.321,17.8274,18.1314,18.8071,18.0975,15.7688,19.2796,19.9206
11-07-2025-Fri 14-40-32-PM,17.4226,17.7935,18.1314,18.8401,18.0644,16.1066,19.3126,19.8876
11-07-2025-Fri 14-40-35-PM,17.4226,17.8612,18.1314,18.8401,18.0644,16.3429,19.2796,19.9206
11-07-2025-Fri 14-40-37-PM,17.4226,17.8274,18.1314,18.8401,18.0975,16.4106,19.2796,19.8876
11-07-2025-Fri 14-40-39-PM,17.4226,17.8951,18.1314,18.8401,18.0975,16.376,19.3126,19.8876
11-07-2025-Fri 14-40-42-PM,17.2541,17.8274,18.1652,18.8401,18.0975,16.376,19.3126,19.8876
11-07-2025-Fri 14-40-44-PM,17.3887,17.8274,18.1314,18.8401,18.0975,16.4776,19.3126,19.8876
11-07-2025-Fri 14-40-46-PM,17.4565,17.8951,18.1314,18.874,18.0975,16.4776,19.2796,19.8876
11-07-2025-Fri 14-40-49-PM,17.4226,17.8612,18.1314,18.874,18.0975,16.4776,19.3126,19.9545
11-07-2025-Fri 14-40-53-PM,17.4903,17.8612,18.1652,18.874,18.1314,16.5114,19.3126,19.9206
11-07-2025-Fri 14-40-58-PM,17.3887,17.8951,18.1652,18.874,18.1314,16.4437,19.2796,19.9206
11-07-2025-Fri 14-41-02-PM,17.4565,17.8274,18.1652,18.9079,18.1652,16.4776,19.3465,19.9545
11-07-2025-Fri 14-41-05-PM,17.4565,17.8951,18.1991,18.9417,18.1991,16.5453,19.3126,19.9206
11-07-2025-Fri 14-41-07-PM,17.4903,17.929,18.1991,18.9417,18.1991,16.5453,19.3126,19.9884
11-07-2025-Fri 14-41-10-PM,17.4565,17.8951,18.1991,18.9417,18.1991,16.5453,19.3465,19.9545
11-07-2025-Fri 14-41-12-PM,17.4903,17.929,18.1991,18.9417,18.1991,16.613,19.3465,19.9884
11-07-2025-Fri 14-41-14-PM,17.558,17.9628,18.1991,18.9417,18.1652,16.6461,19.3465,19.9884
11-07-2025-Fri 14-41-17-PM,17.558,17.8951,18.1991,18.9756,18.1991,16.6799,19.3465,19.9884
11-07-2025-Fri 14-41-19-PM,17.5234,17.929,18.233,18.9417,18.233,16.7138,19.3465,19.9545
11-07-2025-Fri 14-41-22-PM,17.558,17.8274,18.233,18.9417,18.233,16.7815,19.3804,19.9884
11-07-2025-Fri 14-41-24-PM,17.5234,17.8951,18.233,18.9756,18.233,16.8823,19.3804,19.9545
11-07-2025-Fri 14-41-26-PM,17.5234,17.9967,18.233,18.9756,18.233,16.9501,19.3804,19.9884
11-07-2025-Fri 14-41-29-PM,17.5234,17.929,18.233,18.9756,18.1991,17.017,19.3804,20.0222
11-07-2025-Fri 14-41-31-PM,17.558,17.9628,18.233,19.0095,18.266,17.017,19.3804,19.9884
11-07-2025-Fri 14-41-34-PM,17.5911,17.9967,18.266,19.0095,18.233,17.0517,19.3465,19.9884
11-07-2025-Fri 14-41-36-PM,17.558,17.929,18.233,19.0095,18.266,17.0847,19.4142,19.9884
11-07-2025-Fri 14-41-39-PM,17.558,17.929,18.266,19.0095,18.266,17.1186,19.3465,19.9884
11-07-2025-Fri 14-41-41-PM,17.625,17.929,18.266,19.0095,18.2999,17.1525,19.3804,19.9884
11-07-2025-Fri 14-41-43-PM,17.5911,17.9628,18.233,19.0433,18.266,17.1186,19.3804,20.0222
11-07-2025-Fri 14-41-46-PM,17.5911,17.929,18.266,19.0095,18.2999,17.1863,19.4142,19.9884
11-07-2025-Fri 14-41-48-PM,17.558,17.9967,18.266,19.0433,18.266,17.1863,19.3804,20.0222
11-07-2025-Fri 14-41-50-PM,17.5234,17.9967,18.2999,19.0433,18.266,17.1863,19.3804,20.0222
11-07-2025-Fri 14-41-53-PM,17.5911,18.0298,18.2999,19.0095,18.2999,17.2202,19.3465,20.0222
11-07-2025-Fri 14-41-55-PM,17.5911,17.9967,18.2999,19.0433,18.2999,17.2202,19.3465,20.0222
11-07-2025-Fri 14-41-57-PM,17.625,17.9628,18.2999,19.0764,18.3337,17.2202,19.3804,20.0222
11-07-2025-Fri 14-42-00-PM,17.625,18.0644,18.2999,19.0433,18.3337,17.2541,19.3804,20.0222
11-07-2025-Fri 14-42-02-PM,17.5234,18.0298,18.2999,19.0433,18.2999,17.2541,19.4142,20.0222
11-07-2025-Fri 14-42-05-PM,17.625,17.9967,18.2999,19.0764,18.3676,17.2541,19.3804,20.0561
11-07-2025-Fri 14-42-07-PM,17.6927,17.9967,18.3337,19.0764,18.3337,17.2541,19.3804,20.0222
11-07-2025-Fri 14-42-09-PM,17.6588,18.0298,18.3337,19.0433,18.3337,17.2871,19.3804,20.0222
11-07-2025-Fri 14-42-12-PM,17.5911,18.0298,18.3337,19.0764,18.3676,17.2541,19.4142,20.0222
11-07-2025-Fri 14-42-14-PM,17.625,18.0975,18.2999,19.0764,18.3337,17.2871,19.3804,20.0561
11-07-2025-Fri 14-42-16-PM,17.6588,18.0298,18.3337,19.0764,18.3676,17.321,19.3804,20.0561
11-07-2025-Fri 14-42-19-PM,17.558,18.0298,18.2999,19.1103,18.3676,17.2871,19.4142,20.0222
11-07-2025-Fri 14-42-21-PM,17.625,18.0298,18.3337,19.0764,18.3676,17.2871,19.4142,20.0561
11-07-2025-Fri 14-42-23-PM,17.558,18.0298,18.3337,19.1103,18.3676,17.3549,19.4142,20.0561
11-07-2025-Fri 14-42-26-PM,17.7266,18.0298,18.3337,19.0764,18.4015,17.3549,19.4142,20.0222
11-07-2025-Fri 14-42-29-PM,17.6927,18.0644,18.3337,19.1103,18.3676,17.3549,19.4142,20.0561
11-07-2025-Fri 14-42-31-PM,17.7604,18.0975,18.3337,19.1103,18.4015,17.3549,19.3804,20.0561
11-07-2025-Fri 14-42-33-PM,17.6588,18.1652,18.3676,19.1103,18.4015,17.3887,19.4142,20.0222
11-07-2025-Fri 14-42-36-PM,17.625,18.0298,18.3337,19.1103,18.4015,17.3549,19.3804,20.0561
11-07-2025-Fri 14-42-38-PM,17.625,18.0975,18.3337,19.1103,18.4353,17.3549,19.4142,20.0561
11-07-2025-Fri 14-42-40-PM,17.6927,18.1991,18.3676,19.1441,18.4353,17.3887,19.4142,20.0561
11-07-2025-Fri 14-42-43-PM,17.7604,18.0975,18.3676,19.1103,18.4353,17.3887,19.4142,20.0222
11-07-2025-Fri 14-42-45-PM,17.6927,18.0975,18.3676,19.1103,18.4015,17.3887,19.4142,20.0561
11-07-2025-Fri 14-42-48-PM,17.7266,18.0975,18.4015,19.1441,18.4353,17.3887,19.4142,20.0222
11-07-2025-Fri 14-42-50-PM,17.7266,18.0644,18.3337,19.1441,18.4353,17.4226,19.4142,20.09
11-07-2025-Fri 14-42-52-PM,17.7266,18.1314,18.3676,19.1441,18.4684,17.4903,19.4142,20.0561
11-07-2025-Fri 14-42-55-PM,17.7604,18.0975,18.4015,19.1441,18.4684,17.3887,19.4481,20.09
11-07-2025-Fri 14-42-57-PM,17.7266,18.1991,18.4015,19.1441,18.4684,17.4226,19.4481,20.0561
11-07-2025-Fri 14-42-59-PM,17.7604,18.1314,18.4015,19.1441,18.4684,17.4565,19.4142,20.09
11-07-2025-Fri 14-43-02-PM,17.7604,18.0644,18.4015,19.1441,18.4684,17.4226,19.4142,20.0561
11-07-2025-Fri 14-43-04-PM,17.8274,18.233,18.4015,19.178,18.4684,17.558,19.4142,20.0561
11-07-2025-Fri 14-43-06-PM,17.7935,18.233,18.4015,19.178,18.4684,17.4903,19.4481,20.09
11-07-2025-Fri 14-43-09-PM,17.7935,18.1991,18.4015,19.1441,18.4684,17.4565,19.4481,20.0561
11-07-2025-Fri 14-43-11-PM,17.7935,18.1652,18.4015,19.178,18.4684,17.5234,19.4481,20.0561
11-07-2025-Fri 14-43-14-PM,17.6927,18.1652,18.4015,19.178,18.4684,17.5234,19.4481,20.0561
