Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
05-01-2026-Fri 12-38-33-PM,-0.1,0.596,-0.1,0.596,-0.1,0.636,-0.2,0.632,-0.1,0.488,-0.1,0.592,-0.1,0.544,0.1,0.584
05-01-2026-Fri 12-38-35-PM,-0.2,0.596,-0.3,0.6,-0.2,0.632,-0.3,0.632,0.0,0.492,0.0,0.592,-0.3,0.54,-0.1,0.584
05-01-2026-Fri 12-38-36-PM,-0.5,0.596,-0.3,0.596,-0.1,0.636,-0.3,0.632,0.0,0.492,0.2,0.588,0.0,0.544,-0.2,0.588
05-01-2026-Fri 12-38-37-PM,0.0,0.596,-0.5,0.6,-0.1,0.632,-0.1,0.628,-0.1,0.488,-0.1,0.588,-0.3,0.544,0.0,0.588
05-01-2026-Fri 12-38-39-PM,-0.4,0.596,-0.4,0.6,-0.2,0.632,0.1,0.632,-0.3,0.492,-0.1,0.588,-0.1,0.54,-0.2,0.588
05-01-2026-Fri 12-38-40-PM,-0.2,0.596,-0.1,0.6,-0.3,0.632,0.0,0.628,-0.3,0.488,-0.2,0.588,-0.2,0.54,0.1,0.588
05-01-2026-Fri 12-38-42-PM,-0.3,0.596,-0.4,0.6,-0.2,0.636,-0.1,0.628,-0.2,0.492,0.1,0.588,-0.1,0.54,-0.1,0.584
05-01-2026-Fri 12-38-43-PM,-0.6,0.596,-0.4,0.6,0.0,0.632,-0.2,0.632,-0.2,0.492,0.0,0.588,-0.3,0.54,-0.1,0.588
05-01-2026-Fri 12-38-44-PM,0.0,0.596,-0.1,0.6,-0.1,0.632,0.0,0.632,-0.1,0.492,-0.2,0.588,0.2,0.54,-0.4,0.584
05-01-2026-Fri 12-38-46-PM,-0.1,0.596,-0.1,0.6,-0.1,0.632,-0.2,0.632,-0.2,0.492,-0.2,0.588,-0.1,0.54,-0.3,0.588
05-01-2026-Fri 12-38-47-PM,-0.2,0.6,-0.3,0.6,0.1,0.632,-0.3,0.628,-0.1,0.488,-0.2,0.592,-0.1,0.544,-0.2,0.588
05-01-2026-Fri 12-38-49-PM,-0.4,0.596,-0.4,0.6,0.0,0.632,-0.1,0.628,-0.1,0.492,0.0,0.588,-0.1,0.54,0.0,0.584
05-01-2026-Fri 12-38-50-PM,-0.2,0.596,-0.3,0.6,-0.1,0.632,-0.2,0.632,-0.2,0.488,-0.1,0.588,0.0,0.544,-0.2,0.588
05-01-2026-Fri 12-38-51-PM,-0.4,0.6,-0.3,0.6,0.0,0.632,-0.3,0.632,-0.1,0.488,-0.1,0.588,0.2,0.54,0.1,0.588
05-01-2026-Fri 12-38-53-PM,-0.3,0.596,0.1,0.6,-0.2,0.632,-0.2,0.628,-0.3,0.488,-0.1,0.588,-0.2,0.54,-0.1,0.584
05-01-2026-Fri 12-38-54-PM,-0.5,0.596,-0.4,0.6,-0.3,0.632,-0.2,0.628,-0.3,0.492,-0.1,0.592,-0.1,0.54,-0.1,0.584
05-01-2026-Fri 12-38-56-PM,-0.4,0.592,-0.2,0.6,-0.1,0.632,-0.2,0.628,-0.3,0.492,0.1,0.592,-0.2,0.54,-0.2,0.588
05-01-2026-Fri 12-38-57-PM,-0.2,0.596,-0.3,0.6,0.0,0.632,0.1,0.632,-0.1,0.492,-0.2,0.588,-0.1,0.544,0.0,0.584
05-01-2026-Fri 12-38-58-PM,-0.4,0.592,-0.1,0.6,-0.2,0.632,-0.2,0.632,-0.2,0.492,0.1,0.588,-0.2,0.54,-0.2,0.588
05-01-2026-Fri 12-39-00-PM,-0.2,0.596,-0.3,0.6,0.1,0.632,-0.1,0.628,-0.2,0.492,0.2,0.588,-0.1,0.54,0.0,0.588
05-01-2026-Fri 12-39-01-PM,-0.2,0.596,-0.3,0.6,0.1,0.632,-0.1,0.628,-0.3,0.488,-0.1,0.588,-0.3,0.54,0.0,0.588
05-01-2026-Fri 12-39-03-PM,-0.3,0.596,-0.3,0.6,-0.3,0.632,-0.2,0.632,-0.2,0.488,0.0,0.588,0.0,0.54,-0.1,0.588
05-01-2026-Fri 12-39-04-PM,0.2,0.592,-0.2,0.6,-0.1,0.632,0.2,0.628,-0.4,0.492,-0.2,0.588,-0.1,0.536,-0.1,0.584
05-01-2026-Fri 12-39-05-PM,-0.2,0.596,-0.2,0.6,0.2,0.636,-0.4,0.632,-0.5,0.492,-0.2,0.588,0.0,0.54,0.0,0.588
05-01-2026-Fri 12-39-07-PM,-0.3,0.592,-0.3,0.6,-0.2,0.632,-0.1,0.632,-0.2,0.488,0.0,0.588,-0.1,0.544,-0.1,0.584
05-01-2026-Fri 12-39-08-PM,-0.1,0.596,-0.1,0.596,-0.2,0.632,0.0,0.628,-0.2,0.488,-0.4,0.588,-0.1,0.54,0.0,0.584
05-01-2026-Fri 12-39-10-PM,-0.1,0.596,-0.5,0.596,-0.3,0.632,-0.2,0.628,-0.2,0.488,-0.1,0.592,-0.2,0.536,0.0,0.584
05-01-2026-Fri 12-39-11-PM,-0.2,0.596,-0.1,0.596,0.0,0.632,-0.2,0.628,-0.2,0.488,0.1,0.588,0.1,0.54,-0.1,0.584
05-01-2026-Fri 12-39-12-PM,-0.2,0.592,-0.2,0.6,0.1,0.632,-0.2,0.628,-0.2,0.492,0.0,0.588,0.0,0.54,0.0,0.584
05-01-2026-Fri 12-39-14-PM,-0.2,0.596,-0.3,0.6,-0.3,0.632,-0.3,0.628,0.0,0.488,-0.1,0.588,-0.3,0.536,-0.2,0.584
05-01-2026-Fri 12-39-15-PM,-0.3,0.596,-0.3,0.6,-0.3,0.632,-0.1,0.628,-0.1,0.488,-0.1,0.588,0.0,0.536,-0.1,0.584
05-01-2026-Fri 12-39-17-PM,-0.2,0.596,-0.2,0.6,-0.1,0.628,-0.3,0.628,-0.2,0.488,-0.1,0.588,0.0,0.536,0.0,0.584
05-01-2026-Fri 12-39-18-PM,-0.1,0.596,-0.2,0.6,0.0,0.632,0.1,0.628,-0.3,0.488,0.0,0.588,-0.3,0.536,-0.3,0.584
05-01-2026-Fri 12-39-19-PM,-0.1,0.596,-0.2,0.6,-0.1,0.632,0.0,0.628,-0.1,0.488,0.0,0.588,-0.1,0.544,-0.2,0.588
05-01-2026-Fri 12-39-21-PM,-0.1,0.596,-0.2,0.6,-0.2,0.632,-0.2,0.628,-0.5,0.492,0.0,0.588,-0.1,0.54,-0.2,0.584
05-01-2026-Fri 12-39-22-PM,-0.4,0.596,-0.2,0.6,-0.1,0.632,-0.3,0.628,-0.4,0.492,-0.1,0.588,-0.3,0.536,-0.2,0.584
05-01-2026-Fri 12-39-24-PM,-0.3,0.596,-0.3,0.6,0.0,0.632,0.2,0.628,-0.3,0.488,-0.1,0.588,-0.3,0.54,0.0,0.584
05-01-2026-Fri 12-39-25-PM,-0.3,0.596,-0.4,0.596,0.0,0.632,-0.2,0.632,0.1,0.492,-0.2,0.592,0.2,0.54,-0.1,0.584
05-01-2026-Fri 12-39-27-PM,-0.2,0.596,0.0,0.596,-0.1,0.632,-0.1,0.632,-0.4,0.488,-0.2,0.588,-0.4,0.54,-0.1,0.584
05-01-2026-Fri 12-39-28-PM,-0.3,0.596,0.0,0.6,-0.2,0.632,-0.3,0.628,0.0,0.488,0.0,0.588,0.0,0.54,0.1,0.584
05-01-2026-Fri 12-39-30-PM,-0.1,0.596,-0.5,0.6,-0.2,0.628,-0.3,0.628,-0.3,0.488,-0.3,0.588,-0.2,0.54,-0.1,0.584
05-01-2026-Fri 12-39-31-PM,-0.1,0.596,-0.2,0.596,0.0,0.632,-0.1,0.628,-0.2,0.488,-0.1,0.588,-0.3,0.54,0.0,0.588
05-01-2026-Fri 12-39-32-PM,-0.4,0.596,-0.4,0.6,-0.1,0.632,-0.4,0.628,-0.4,0.488,0.0,0.588,-0.2,0.54,0.1,0.584
05-01-2026-Fri 12-39-34-PM,-0.2,0.596,-0.4,0.6,-0.2,0.632,-0.2,0.628,-0.2,0.488,0.0,0.588,-0.1,0.54,0.2,0.588
05-01-2026-Fri 12-39-35-PM,-0.3,0.596,-0.5,0.6,-0.1,0.632,-0.3,0.628,-0.3,0.488,0.2,0.588,0.0,0.54,0.0,0.584
05-01-2026-Fri 12-39-37-PM,-0.3,0.596,-0.4,0.6,-0.1,0.632,-0.1,0.628,-0.1,0.488,-0.1,0.588,-0.1,0.54,0.0,0.588
05-01-2026-Fri 12-39-38-PM,-0.2,0.596,-0.1,0.596,-0.2,0.632,-0.2,0.628,-0.5,0.492,-0.2,0.592,-0.1,0.54,-0.2,0.584
05-01-2026-Fri 12-39-39-PM,-0.2,0.596,-0.3,0.6,-0.1,0.632,-0.1,0.628,-0.1,0.488,-0.1,0.588,0.0,0.54,-0.1,0.588
05-01-2026-Fri 12-39-41-PM,-0.1,0.596,-0.6,0.6,-0.1,0.632,-0.2,0.628,-0.2,0.488,0.0,0.588,-0.2,0.54,-0.1,0.584
05-01-2026-Fri 12-39-43-PM,-0.1,0.596,-0.3,0.6,0.1,0.632,0.0,0.628,-0.2,0.488,0.0,0.588,-0.1,0.54,-0.1,0.584
05-01-2026-Fri 12-39-44-PM,-0.4,0.596,-0.3,0.596,-0.1,0.628,0.0,0.628,-0.1,0.488,0.2,0.592,-0.2,0.54,0.0,0.584
05-01-2026-Fri 12-39-45-PM,-0.1,0.596,-0.2,0.6,-0.1,0.632,-0.2,0.628,-0.3,0.488,0.4,0.588,-0.2,0.54,-0.1,0.584
05-01-2026-Fri 12-39-47-PM,-0.2,0.596,-0.1,0.604,-0.3,0.632,-0.3,0.628,-0.2,0.488,-0.1,0.588,-0.2,0.54,0.3,0.584
05-01-2026-Fri 12-39-48-PM,-0.2,0.596,-0.4,0.596,-0.1,0.632,-0.2,0.628,-0.1,0.488,-0.1,0.592,-0.1,0.536,0.1,0.584
05-01-2026-Fri 12-39-50-PM,-0.3,0.596,-0.3,0.596,0.1,0.632,-0.1,0.628,0.0,0.488,-0.2,0.588,-0.1,0.536,0.0,0.584
05-01-2026-Fri 12-39-51-PM,-0.2,0.596,-0.4,0.6,-0.1,0.632,0.0,0.632,-0.3,0.488,-0.2,0.588,0.0,0.536,-0.2,0.584
05-01-2026-Fri 12-39-52-PM,-0.1,0.592,-0.3,0.6,0.0,0.632,-0.1,0.628,-0.3,0.488,-0.1,0.588,0.0,0.54,0.0,0.584
05-01-2026-Fri 12-39-54-PM,-0.1,0.596,-0.2,0.596,-0.1,0.628,-0.3,0.628,-0.1,0.488,-0.2,0.588,-0.2,0.536,-0.3,0.584
05-01-2026-Fri 12-39-55-PM,-0.2,0.596,-0.3,0.6,-0.1,0.632,-0.2,0.632,-0.2,0.492,0.1,0.588,-0.1,0.54,0.0,0.584
05-01-2026-Fri 12-39-57-PM,-0.1,0.596,-0.3,0.6,-0.4,0.632,-0.1,0.628,-0.4,0.484,-0.1,0.588,-0.1,0.544,0.0,0.584
