Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
05-07-2026-Thu 13-00-13-PM,-0.2,0.468,-0.2,0.492,-0.2,0.584,-0.5,0.52,-0.1,0.564,-0.3,0.568,-0.3,0.556,-0.1,0.68
05-07-2026-Thu 13-00-15-PM,-0.1,0.472,-0.1,0.496,-0.3,0.584,-0.4,0.52,-0.3,0.568,-0.2,0.568,0.0,0.556,-0.4,0.68
05-07-2026-Thu 13-00-16-PM,0.1,0.472,0.0,0.496,0.0,0.58,-0.2,0.52,-0.1,0.568,-0.1,0.568,-0.3,0.556,-0.1,0.676
05-07-2026-Thu 13-00-17-PM,-0.2,0.472,-0.2,0.496,0.2,0.58,-0.2,0.52,0.0,0.564,-0.1,0.568,-0.1,0.556,0.0,0.68
05-07-2026-Thu 13-00-19-PM,0.0,0.472,0.1,0.5,-0.1,0.584,-0.4,0.52,-0.3,0.568,-0.3,0.568,-0.1,0.556,-0.1,0.676
05-07-2026-Thu 13-00-20-PM,-0.4,0.472,-0.2,0.496,-0.3,0.584,-0.1,0.52,-0.3,0.568,-0.1,0.568,-0.1,0.556,-0.2,0.676
05-07-2026-Thu 13-00-22-PM,-0.2,0.468,-0.2,0.496,-0.5,0.584,-0.3,0.52,-0.3,0.564,-0.2,0.568,-0.3,0.556,-0.1,0.68
05-07-2026-Thu 13-00-23-PM,-0.3,0.468,-0.2,0.496,-0.1,0.584,0.1,0.52,0.0,0.564,0.1,0.568,-0.3,0.556,-0.1,0.676
05-07-2026-Thu 13-00-24-PM,-0.2,0.468,0.0,0.496,-0.1,0.58,-0.1,0.52,-0.1,0.564,-0.2,0.568,-0.3,0.556,0.0,0.676
05-07-2026-Thu 13-00-26-PM,-0.2,0.468,-0.3,0.492,0.1,0.584,-0.1,0.52,-0.2,0.568,0.1,0.568,-0.1,0.556,-0.2,0.68
05-07-2026-Thu 13-00-27-PM,0.0,0.472,-0.2,0.496,-0.1,0.584,-0.2,0.52,0.0,0.568,-0.1,0.568,-0.5,0.556,0.0,0.68
05-07-2026-Thu 13-00-29-PM,-0.2,0.472,-0.2,0.496,-0.2,0.584,-0.1,0.516,0.0,0.564,-0.1,0.568,0.0,0.556,-0.3,0.68
05-07-2026-Thu 13-00-30-PM,-0.1,0.468,-0.4,0.5,0.0,0.584,-0.2,0.52,0.1,0.564,-0.1,0.568,0.0,0.56,-0.1,0.676
05-07-2026-Thu 13-00-31-PM,-0.2,0.472,-0.2,0.492,-0.4,0.58,-0.5,0.52,-0.1,0.564,0.0,0.564,-0.1,0.56,0.0,0.676
05-07-2026-Thu 13-00-33-PM,Power On
05-07-2026-Thu 13-00-34-PM,91.9,4.78,88.6,4.772,91.3,4.768,98.7,4.832,110.3,4.728,85.6,4.8,118.9,4.7,96.7,4.704
05-07-2026-Thu 13-00-35-PM,87.4,4.796,83.6,4.792,85.6,4.784,93.0,4.844,104.5,4.748,82.0,4.82,109.9,4.724,91.4,4.728
05-07-2026-Thu 13-00-37-PM,Power Off
05-07-2026-Thu 13-00-38-PM,-0.4,1.368,-0.3,1.148,-0.3,1.452,-0.5,1.592,-0.1,1.692,0.0,1.568,-0.1,1.104,-0.2,1.172
05-07-2026-Thu 13-00-40-PM,-0.3,1.116,-0.2,0.884,0.0,1.128,-0.2,1.344,-0.4,1.52,-0.2,1.232,-0.3,0.924,-0.3,0.96
05-07-2026-Thu 13-00-41-PM,0.0,1.0,0.1,0.772,-0.2,0.98,-0.2,1.192,0.1,1.428,-0.5,1.072,-0.5,0.84,-0.2,0.852
05-07-2026-Thu 13-00-43-PM,-0.2,0.948,-0.2,0.72,-0.1,0.912,-0.4,1.096,0.1,1.364,-0.2,0.992,-0.2,0.796,-0.2,0.812
05-07-2026-Thu 13-00-44-PM,-0.1,0.912,-0.1,0.688,-0.4,0.868,-0.1,1.032,-0.3,1.312,0.0,0.936,0.0,0.768,-0.1,0.784
05-07-2026-Thu 13-00-46-PM,-0.1,0.884,-0.4,0.668,-0.3,0.836,-0.2,0.98,-0.1,1.264,0.0,0.896,-0.3,0.752,0.1,0.764
05-07-2026-Thu 13-00-47-PM,-0.4,0.868,-0.2,0.652,-0.2,0.816,-0.6,0.948,0.0,1.224,0.1,0.872,-0.1,0.74,-0.1,0.752
05-07-2026-Thu 13-00-48-PM,-0.4,0.852,-0.3,0.644,-0.4,0.8,-0.3,0.924,-0.1,1.192,-0.2,0.852,-0.4,0.732,-0.1,0.74
05-07-2026-Thu 13-00-50-PM,-0.2,0.844,0.0,0.636,-0.3,0.792,-0.2,0.904,-0.2,1.172,0.0,0.84,0.1,0.724,-0.2,0.732
05-07-2026-Thu 13-00-51-PM,-0.2,0.832,0.0,0.632,-0.3,0.78,-0.3,0.892,0.1,1.148,-0.1,0.832,-0.4,0.72,-0.1,0.728
05-07-2026-Thu 13-00-53-PM,-0.3,0.824,-0.1,0.628,-0.6,0.772,-0.2,0.876,-0.3,1.136,-0.2,0.82,-0.5,0.716,-0.2,0.72
05-07-2026-Thu 13-00-54-PM,-0.3,0.82,-0.1,0.624,-0.6,0.768,-0.4,0.868,-0.4,1.12,0.0,0.812,-0.4,0.708,0.0,0.716
05-07-2026-Thu 13-00-55-PM,-0.2,0.808,-0.1,0.62,-0.5,0.76,-0.2,0.856,-0.3,1.108,-0.3,0.804,-0.4,0.712,-0.2,0.712
05-07-2026-Thu 13-00-57-PM,-0.4,0.804,-0.3,0.616,-0.6,0.756,-0.2,0.844,-0.3,1.092,-0.3,0.796,0.1,0.704,-0.1,0.708
05-07-2026-Thu 13-00-58-PM,-0.3,0.796,-0.3,0.612,-0.4,0.748,-0.4,0.836,0.0,1.084,0.0,0.792,-0.1,0.7,-0.1,0.704
05-07-2026-Thu 13-01-00-PM,-0.1,0.792,-0.2,0.608,-0.5,0.748,-0.5,0.832,0.0,1.076,-0.3,0.788,-0.3,0.7,0.1,0.704
05-07-2026-Thu 13-01-01-PM,-0.4,0.792,-0.4,0.604,-0.4,0.74,-0.2,0.824,-0.1,1.06,0.0,0.78,-0.4,0.696,0.0,0.7
05-07-2026-Thu 13-01-03-PM,0.1,0.78,-0.3,0.6,-0.6,0.736,-0.1,0.812,-0.1,1.052,-0.1,0.772,-0.3,0.696,-0.1,0.696
05-07-2026-Thu 13-01-04-PM,-0.2,0.78,0.0,0.6,-0.3,0.736,-0.3,0.808,-0.2,1.044,0.1,0.772,-0.3,0.692,-0.2,0.7
05-07-2026-Thu 13-01-05-PM,-0.4,0.776,0.1,0.596,0.0,0.732,-0.2,0.804,0.1,1.036,0.1,0.768,-0.3,0.688,-0.2,0.696
05-07-2026-Thu 13-01-07-PM,-0.1,0.772,-0.2,0.596,-0.1,0.728,-0.2,0.8,0.1,1.028,-0.1,0.764,-0.1,0.688,-0.3,0.692
05-07-2026-Thu 13-01-08-PM,0.0,0.768,-0.1,0.596,-0.5,0.724,-0.4,0.796,-0.1,1.024,0.1,0.76,-0.1,0.684,-0.2,0.692
05-07-2026-Thu 13-01-10-PM,-0.2,0.764,-0.1,0.592,-0.1,0.724,-0.4,0.792,-0.2,1.016,0.0,0.756,-0.4,0.684,-0.2,0.692
05-07-2026-Thu 13-01-11-PM,-0.1,0.764,-0.2,0.592,-0.4,0.72,-0.4,0.784,-0.1,1.012,0.0,0.756,-0.3,0.684,0.0,0.688
05-07-2026-Thu 13-01-12-PM,-0.1,0.76,-0.1,0.588,-0.2,0.72,-0.6,0.788,-0.1,1.004,-0.2,0.756,-0.1,0.684,-0.2,0.688
05-07-2026-Thu 13-01-14-PM,-0.2,0.76,-0.2,0.592,-0.3,0.716,-0.3,0.78,-0.1,1.0,-0.1,0.752,0.0,0.68,-0.1,0.688
05-07-2026-Thu 13-01-15-PM,-0.3,0.756,-0.3,0.588,-0.3,0.712,-0.4,0.776,-0.2,0.996,-0.1,0.748,-0.2,0.68,-0.1,0.684
05-07-2026-Thu 13-01-16-PM,Power On
05-07-2026-Thu 13-01-18-PM,84.3,4.808,80.4,4.804,83.7,4.8,92.0,4.86,102.9,4.76,78.8,4.828,106.4,4.736,86.6,4.74
05-07-2026-Thu 13-01-19-PM,83.0,4.816,77.4,4.816,80.9,4.808,88.0,4.864,97.8,4.772,77.3,4.84,100.5,4.752,83.7,4.752
05-07-2026-Thu 13-01-21-PM,82.3,4.824,73.4,4.82,79.8,4.812,85.3,4.868,94.6,4.776,76.6,4.844,97.3,4.756,82.2,4.764
05-07-2026-Thu 13-01-22-PM,82.0,4.828,72.8,4.828,79.0,4.816,83.2,4.868,92.2,4.784,76.1,4.848,94.7,4.764,82.7,4.764
05-07-2026-Thu 13-01-24-PM,81.7,4.828,71.5,4.828,78.3,4.82,81.3,4.88,90.2,4.788,75.7,4.848,93.5,4.768,80.7,4.768
05-07-2026-Thu 13-01-25-PM,81.0,4.832,70.5,4.832,77.8,4.824,79.8,4.876,88.2,4.788,75.3,4.852,92.4,4.772,79.2,4.776
05-07-2026-Thu 13-01-26-PM,Power Off
05-07-2026-Thu 13-01-28-PM,-0.5,1.788,-0.3,1.336,-0.4,1.804,-0.2,1.752,-0.1,1.764,-0.1,1.92,0.0,1.448,-0.2,1.364
05-07-2026-Thu 13-01-29-PM,-0.3,1.58,-0.2,1.1,-0.2,1.68,-0.3,1.656,-0.1,1.668,-0.1,1.824,-0.1,1.184,-0.2,1.152
05-07-2026-Thu 13-01-30-PM,-0.2,1.408,0.1,0.98,-0.4,1.604,-0.3,1.588,0.0,1.62,0.0,1.76,-0.2,1.08,-0.2,1.056
05-07-2026-Thu 13-01-32-PM,-0.4,1.26,0.0,0.9,-0.2,1.548,-0.4,1.548,0.0,1.58,-0.1,1.708,-0.2,1.024,-0.2,0.992
05-07-2026-Thu 13-01-33-PM,-0.1,1.176,0.2,0.844,-0.3,1.492,-0.3,1.512,-0.1,1.548,-0.2,1.652,-0.3,0.976,0.0,0.948
05-07-2026-Thu 13-01-35-PM,-0.2,1.108,-0.4,0.8,-0.3,1.44,-0.6,1.48,0.0,1.52,-0.2,1.592,0.0,0.943999,-0.4,0.916
05-07-2026-Thu 13-01-36-PM,-0.2,1.056,0.0,0.764,-0.3,1.388,-0.4,1.452,0.3,1.496,-0.2,1.524,-0.1,0.912,0.0,0.884
05-07-2026-Thu 13-01-37-PM,-0.3,1.016,-0.1,0.732,-0.2,1.336,-0.3,1.424,-0.1,1.476,0.0,1.46,-0.1,0.888,0.0,0.856
05-07-2026-Thu 13-01-39-PM,-0.4,0.984,0.0,0.708,-0.3,1.28,-0.3,1.4,-0.2,1.456,-0.1,1.396,-0.5,0.864,0.0,0.84
05-07-2026-Thu 13-01-40-PM,0.1,0.952,-0.4,0.684,-0.1,1.212,-0.1,1.376,-0.3,1.44,-0.1,1.324,-0.1,0.844,0.0,0.816
05-07-2026-Thu 13-01-42-PM,-0.1,0.928,-0.2,0.672,-0.2,1.152,-0.2,1.348,0.0,1.424,-0.3,1.252,-0.4,0.828,-0.3,0.8
05-07-2026-Thu 13-01-43-PM,-0.2,0.904,-0.1,0.652,-0.3,1.1,-0.3,1.328,0.1,1.408,0.1,1.184,-0.4,0.812,0.0,0.788
05-07-2026-Thu 13-01-44-PM,-0.3,0.884,-0.2,0.64,-0.4,1.056,-0.4,1.308,-0.2,1.396,0.0,1.132,-0.6,0.8,-0.2,0.772
05-07-2026-Thu 13-01-46-PM,-0.2,0.868,-0.1,0.624,0.0,1.02,-0.4,1.288,0.0,1.384,-0.2,1.088,-0.3,0.788,-0.1,0.76
05-07-2026-Thu 13-01-47-PM,-0.4,0.852,-0.2,0.616,-0.4,0.992,-0.4,1.264,-0.1,1.376,0.2,1.048,-0.3,0.776,-0.3,0.748
05-07-2026-Thu 13-01-49-PM,-0.4,0.836,0.0,0.608,-0.3,0.964,-0.4,1.244,0.0,1.356,0.1,1.012,-0.2,0.768,-0.2,0.74
05-07-2026-Thu 13-01-50-PM,0.0,0.824,-0.1,0.6,-0.3,0.94,-0.2,1.224,-0.1,1.348,-0.1,0.988,-0.3,0.756,-0.2,0.732
05-07-2026-Thu 13-01-51-PM,-0.3,0.82,-0.2,0.592,0.0,0.916,-0.2,1.2,0.0,1.332,0.0,0.96,-0.6,0.748,-0.1,0.724
05-07-2026-Thu 13-01-53-PM,-0.2,0.804,-0.2,0.58,-0.4,0.904,-0.2,1.18,0.3,1.324,-0.2,0.936,-0.2,0.74,0.0,0.716
05-07-2026-Thu 13-01-54-PM,0.0,0.796,-0.3,0.58,-0.3,0.888,-0.2,1.16,0.0,1.312,0.1,0.916,-0.1,0.74,-0.1,0.712
05-07-2026-Thu 13-01-56-PM,-0.3,0.788,-0.2,0.572,-0.4,0.872,-0.2,1.144,0.0,1.304,-0.1,0.896,-0.1,0.732,-0.2,0.704
05-07-2026-Thu 13-01-57-PM,-0.1,0.78,-0.1,0.568,-0.1,0.86,-0.4,1.124,0.0,1.296,0.0,0.888,-0.1,0.724,-0.2,0.7
