Cell 1 Timestamp,x61 Cell 1 Current,x61 Cell 1 Voltage,x61 Cell 1 Temp,x61 Cell 1 Temp,Cell 1 Resistance,Cell 2 Timestamp,x61 Cell 2 Current,x61 Cell 2 Voltage,x61 Cell 2 Temp,Cell 2 Resistance,Cell 3 Timestamp,x61 Cell 3 Current,x61 Cell 3 Voltage,x61 Cell 3 Temp,Cell 3 Resistance,Cell 4 Timestamp,x61 Cell 4 Current,x61 Cell 4 Voltage,x61 Cell 4 Temp,x61 Cell 4 Temp,Cell 4 Resistance,Cell 5 Timestamp,x62 Cell 5 Current,x62 Cell 5 Voltage,x62 Cell 5 Temp,Cell 5 Resistance,Cell 6 Timestamp,x62 Cell 6 Current,x62 Cell 6 Voltage,x62 Cell 6 Temp,Cell 6 Resistance,Cell 7 Timestamp,x62 Cell 7 Current,x62 Cell 7 Voltage,x62 Cell 7 Temp,x62 Cell 7 Temp,Cell 7 Resistance,Cell 8 Timestamp,x62 Cell 8 Current,x62 Cell 8 Voltage,x62 Cell 8 Temp,Cell 8 Resistance,Cell 9 Timestamp,x63 Cell 9 Current,x63 Cell 9 Voltage,x63 Cell 9 Temp,Cell 9 Resistance,Cell 10 Timestamp,x63 Cell 10 Current,x63 Cell 10 Voltage,x63 Cell 10 Temp,Cell 10 Resistance,Cell 11 Timestamp,x63 Cell 11 Current,x63 Cell 11 Voltage,x63 Cell 11 Temp,Cell 11 Resistance,Cell 12 Timestamp,x63 Cell 12 Current,x63 Cell 12 Voltage,x63 Cell 12 Temp,Cell 12 Resistance,Cell 13 Timestamp,x64 Cell 13 Current,x64 Cell 13 Voltage,x64 Cell 13 Temp,Cell 13 Resistance,Cell 14 Timestamp,x64 Cell 14 Current,x64 Cell 14 Voltage,x64 Cell 14 Temp,Cell 14 Resistance,Cell 15 Timestamp,x64 Cell 15 Current,x64 Cell 15 Voltage,x64 Cell 15 Temp,Cell 15 Resistance,Cell 16 Timestamp,x64 Cell 16 Current,x64 Cell 16 Voltage,x64 Cell 16 Temp,Cell 16 Resistance
05-07-2026-Thu 14-32-33-PM,0.2,5.06,-64.6567,-64.657,31.625,05-07-2026-Thu 14-30-16-PM,0.2,5.06,-62.914,31.625,05-07-2026-Thu 14-33-16-PM,0.1,5.056,-60.578,63.2,05-07-2026-Thu 14-32-33-PM,0.2,5.06,-60.0186,-60.019,31.625,05-07-2026-Thu 14-35-34-PM,0.2,5.06,-62.158,31.625,05-07-2026-Thu 14-35-51-PM,0.2,5.056,-64.953,31.6,05-07-2026-Thu 14-28-23-PM,0.2,5.044,-58.306,-58.306,31.525,05-07-2026-Thu 14-32-33-PM,0.2,5.06,-62.322,31.625,05-07-2026-Thu 14-27-05-PM,0.1,5.064,-59.261,63.3,05-07-2026-Thu 14-33-15-PM,0.2,5.064,,31.65,05-07-2026-Thu 14-32-33-PM,0.2,5.056,-60.019,31.6,05-07-2026-Thu 14-35-34-PM,0.1,5.068,-62.158,63.35,05-07-2026-Thu 14-32-33-PM,0.2,5.06,-60.019,31.625,05-07-2026-Thu 14-35-31-PM,0.2,5.068,,31.675,05-07-2026-Thu 14-35-35-PM,0.2,5.052,-64.328,31.575,05-07-2026-Thu 14-29-07-PM,0.2,5.052,,31.575
05-07-2026-Thu 14-33-13-PM,0.3,5.06,-65.0511,-65.051,21.0833,05-07-2026-Thu 14-30-18-PM,0.4,5.06,-62.947,15.8125,05-07-2026-Thu 14-35-31-PM,0.7,5.052,-62.092,9.0214,05-07-2026-Thu 14-33-13-PM,0.4,5.06,-60.5125,-60.512,15.8125,05-07-2026-Thu 14-35-35-PM,0.3,5.06,-62.158,21.0833,05-07-2026-Thu 14-35-53-PM,0.5,5.056,-64.985,12.64,05-07-2026-Thu 14-28-25-PM,0.4,5.044,-58.339,-58.339,15.7625,05-07-2026-Thu 14-33-13-PM,0.5,5.06,-62.75,12.65,05-07-2026-Thu 14-27-06-PM,0.5,5.064,-59.294,12.66,05-07-2026-Thu 14-33-16-PM,0.3,5.064,,21.1,05-07-2026-Thu 14-33-13-PM,0.5,5.06,-60.512,12.65,05-07-2026-Thu 14-35-35-PM,0.5,5.068,-62.158,12.67,05-07-2026-Thu 14-33-13-PM,0.5,5.056,-60.512,12.64,05-07-2026-Thu 14-35-32-PM,0.4,5.072,,15.85,05-07-2026-Thu 14-35-36-PM,0.4,5.052,-64.427,15.7875,05-07-2026-Thu 14-30-16-PM,0.8,5.052,,7.8937
05-07-2026-Thu 14-33-15-PM,0.4,5.06,-65.1169,-65.117,15.8125,05-07-2026-Thu 14-30-19-PM,0.5,5.056,-62.947,12.64,05-07-2026-Thu 14-35-32-PM,0.3,5.052,-62.092,21.05,05-07-2026-Thu 14-33-15-PM,0.4,5.06,-60.5125,-60.512,15.8125,05-07-2026-Thu 14-35-36-PM,0.1,5.06,-62.224,63.25,05-07-2026-Thu 14-36-43-PM,0.7,5.06,-66.299,9.0357,05-07-2026-Thu 14-29-02-PM,0.2,5.044,-59.0966,-59.097,31.525,05-07-2026-Thu 14-33-15-PM,0.5,5.06,-62.717,12.65,05-07-2026-Thu 14-27-08-PM,0.3,5.064,-59.327,21.1,05-07-2026-Thu 14-35-31-PM,0.5,5.064,,12.66,05-07-2026-Thu 14-33-15-PM,0.2,5.06,-60.512,31.625,05-07-2026-Thu 14-35-36-PM,0.5,5.068,-62.224,12.67,05-07-2026-Thu 14-33-15-PM,0.7,5.06,-60.512,9.0357,05-07-2026-Thu 14-35-34-PM,0.4,5.072,,15.85,05-07-2026-Thu 14-35-47-PM,0.3,5.056,-64.69,21.0667,05-07-2026-Thu 14-30-18-PM,0.7,5.056,,9.0286
05-07-2026-Thu 14-33-16-PM,0.4,5.06,-65.084,-65.084,15.8125,05-07-2026-Thu 14-30-20-PM,0.4,5.056,-63.013,15.8,05-07-2026-Thu 14-35-34-PM,0.4,5.056,-62.158,15.8,05-07-2026-Thu 14-33-16-PM,0.4,5.06,-60.5783,-60.578,15.8125,05-07-2026-Thu 14-35-47-PM,0.2,5.06,-62.585,31.625,05-07-2026-Thu 14-36-44-PM,0.6,5.06,-66.299,10.5417,05-07-2026-Thu 14-29-03-PM,0.3,5.048,-59.0636,-59.064,21.0333,05-07-2026-Thu 14-33-16-PM,0.3,5.06,-62.75,21.0833,05-07-2026-Thu 14-27-09-PM,0.1,5.064,-59.36,63.3,05-07-2026-Thu 14-35-32-PM,0.5,5.068,,12.67,05-07-2026-Thu 14-33-16-PM,0.5,5.06,-60.578,12.65,05-07-2026-Thu 14-35-47-PM,0.5,5.072,-62.585,12.68,05-07-2026-Thu 14-33-16-PM,0.5,5.06,-60.578,12.65,05-07-2026-Thu 14-35-35-PM,0.1,5.068,,63.35,05-07-2026-Thu 14-35-49-PM,0.4,5.052,-64.788,15.7875,05-07-2026-Thu 14-30-19-PM,0.4,5.052,,15.7875
05-07-2026-Thu 14-35-31-PM,0.4,5.06,-66.201,-66.201,15.8125,05-07-2026-Thu 14-31-12-PM,0.2,5.06,-63.704,31.625,05-07-2026-Thu 14-35-35-PM,0.4,5.052,-62.158,15.7875,05-07-2026-Thu 14-35-31-PM,0.4,5.06,-62.092,-62.092,15.8125,05-07-2026-Thu 14-35-49-PM,0.3,5.06,-62.618,21.0833,05-07-2026-Thu 14-36-46-PM,0.9,5.06,-66.332,7.0278,05-07-2026-Thu 14-29-05-PM,0.3,5.044,-59.1954,-59.195,21.0167,05-07-2026-Thu 14-35-31-PM,0.6,5.06,-64.065,10.5417,05-07-2026-Thu 14-27-10-PM,0.2,5.06,-59.393,31.625,05-07-2026-Thu 14-35-34-PM,0.6,5.064,,10.55,05-07-2026-Thu 14-35-31-PM,0.5,5.06,-62.092,12.65,05-07-2026-Thu 14-35-49-PM,0.6,5.068,-62.618,10.5583,05-07-2026-Thu 14-35-31-PM,0.7,5.06,-62.092,9.0357,05-07-2026-Thu 14-35-36-PM,0.3,5.072,,21.1333,05-07-2026-Thu 14-35-50-PM,0.2,5.052,-64.854,31.575,05-07-2026-Thu 14-30-20-PM,0.6,5.052,,10.525
05-07-2026-Thu 14-35-32-PM,0.4,5.056,-66.2339,-66.234,15.8,05-07-2026-Thu 14-31-13-PM,0.6,5.064,-63.704,10.55,05-07-2026-Thu 14-35-36-PM,0.2,5.052,-62.224,31.575,05-07-2026-Thu 14-35-32-PM,0.5,5.06,-62.092,-62.092,12.65,05-07-2026-Thu 14-35-50-PM,0.2,5.056,-62.684,31.6,05-07-2026-Thu 14-36-48-PM,0.4,5.06,-66.398,15.8125,05-07-2026-Thu 14-29-06-PM,0.4,5.048,-59.1625,-59.162,15.775,05-07-2026-Thu 14-35-32-PM,0.5,5.064,-64.262,12.66,05-07-2026-Thu 14-27-12-PM,0.5,5.06,-59.426,12.65,05-07-2026-Thu 14-35-35-PM,0.4,5.064,,15.825,05-07-2026-Thu 14-35-32-PM,0.3,5.06,-62.092,21.0833,05-07-2026-Thu 14-35-50-PM,0.3,5.068,-62.684,21.1167,05-07-2026-Thu 14-35-32-PM,0.9,5.06,-62.092,7.0278,05-07-2026-Thu 14-35-47-PM,0.5,5.072,,12.68,05-07-2026-Thu 14-35-51-PM,0.4,5.052,-64.953,15.7875,05-07-2026-Thu 14-31-12-PM,0.2,5.052,,31.575
05-07-2026-Thu 14-35-34-PM,0.4,5.06,-66.2339,-66.234,15.8125,05-07-2026-Thu 14-31-14-PM,0.4,5.06,-63.736,15.8125,05-07-2026-Thu 14-35-47-PM,0.3,5.052,-62.585,21.05,05-07-2026-Thu 14-35-34-PM,0.5,5.06,-62.1578,-62.158,12.65,05-07-2026-Thu 14-35-51-PM,0.2,5.056,-62.717,31.6,05-07-2026-Thu 14-36-51-PM,0.3,5.06,-66.53,21.0833,05-07-2026-Thu 14-29-07-PM,0.3,5.044,-59.1954,-59.195,21.0167,05-07-2026-Thu 14-35-34-PM,0.5,5.06,-64.46,12.65,05-07-2026-Thu 14-28-22-PM,0.5,5.06,-60.908,12.65,05-07-2026-Thu 14-35-36-PM,0.5,5.064,,12.66,05-07-2026-Thu 14-35-34-PM,0.3,5.06,-62.158,21.0833,05-07-2026-Thu 14-35-51-PM,0.3,5.068,-62.717,21.1167,05-07-2026-Thu 14-35-34-PM,0.5,5.056,-62.158,12.64,05-07-2026-Thu 14-35-49-PM,0.5,5.068,,12.67,05-07-2026-Thu 14-35-53-PM,0.4,5.056,-64.985,15.8,05-07-2026-Thu 14-31-13-PM,0.7,5.056,,9.0286
05-07-2026-Thu 14-35-35-PM,0.1,5.06,-66.2668,-66.267,63.25,05-07-2026-Thu 14-31-16-PM,0.3,5.06,-63.769,21.0833,05-07-2026-Thu 14-35-49-PM,0.3,5.052,-62.618,21.05,05-07-2026-Thu 14-35-35-PM,0.5,5.06,-62.1578,-62.158,12.65,05-07-2026-Thu 14-35-53-PM,0.1,5.06,-62.75,63.25,05-07-2026-Thu 14-37-10-PM,0.5,5.06,-67.186,12.65,05-07-2026-Thu 14-30-16-PM,0.5,5.048,-60.3149,-60.315,12.62,05-07-2026-Thu 14-35-35-PM,0.5,5.064,-64.328,12.66,05-07-2026-Thu 14-28-23-PM,0.1,5.064,-60.94,63.3,05-07-2026-Thu 14-35-47-PM,0.4,5.064,,15.825,05-07-2026-Thu 14-35-35-PM,0.2,5.06,-62.158,31.625,05-07-2026-Thu 14-35-53-PM,0.3,5.068,-62.75,21.1167,05-07-2026-Thu 14-35-35-PM,0.6,5.06,-62.158,10.5417,05-07-2026-Thu 14-35-50-PM,0.2,5.068,,31.675,05-07-2026-Thu 14-36-43-PM,0.3,5.056,-66.299,21.0667,05-07-2026-Thu 14-31-14-PM,0.5,5.052,,12.63
05-07-2026-Thu 14-35-36-PM,0.2,5.06,-66.2994,-66.299,31.625,05-07-2026-Thu 14-31-17-PM,0.3,5.06,-63.769,21.0833,05-07-2026-Thu 14-35-50-PM,0.2,5.052,-62.684,31.575,05-07-2026-Thu 14-35-36-PM,0.2,5.06,-62.2236,-62.224,31.625,05-07-2026-Thu 14-36-43-PM,0.3,5.06,-64.131,21.0833,05-07-2026-Thu 14-37-12-PM,0.6,5.056,-67.153,10.5333,05-07-2026-Thu 14-30-18-PM,0.2,5.048,-60.3478,-60.348,31.55,05-07-2026-Thu 14-35-36-PM,0.2,5.064,-64.427,31.65,05-07-2026-Thu 14-28-25-PM,0.4,5.064,-60.973,15.825,05-07-2026-Thu 14-35-49-PM,0.3,5.064,,21.1,05-07-2026-Thu 14-35-36-PM,0.5,5.06,-62.224,12.65,05-07-2026-Thu 14-36-43-PM,0.4,5.072,-64.131,15.85,05-07-2026-Thu 14-35-36-PM,0.2,5.06,-62.224,31.625,05-07-2026-Thu 14-35-51-PM,0.5,5.068,,12.67,05-07-2026-Thu 14-36-44-PM,0.4,5.056,-66.299,15.8,05-07-2026-Thu 14-31-16-PM,0.4,5.052,,15.7875
05-07-2026-Thu 14-35-47-PM,0.4,5.06,-66.6279,-66.628,15.8125,05-07-2026-Thu 14-32-30-PM,0.4,5.06,-64.624,15.8125,05-07-2026-Thu 14-35-51-PM,0.4,5.052,-62.717,15.7875,05-07-2026-Thu 14-35-47-PM,0.3,5.06,-62.5854,-62.585,21.0833,05-07-2026-Thu 14-36-44-PM,0.2,5.06,-64.164,31.625,05-07-2026-Thu 14-37-13-PM,0.3,5.06,-67.219,21.0833,05-07-2026-Thu 14-30-19-PM,0.4,5.044,-60.3478,-60.348,15.7625,05-07-2026-Thu 14-35-47-PM,0.3,5.06,-64.69,21.0833,05-07-2026-Thu 14-29-02-PM,0.4,5.064,-61.697,15.825,05-07-2026-Thu 14-35-50-PM,0.2,5.064,,31.65,05-07-2026-Thu 14-35-47-PM,0.5,5.06,-62.585,12.65,05-07-2026-Thu 14-36-44-PM,0.4,5.072,-64.164,15.85,05-07-2026-Thu 14-35-47-PM,0.6,5.06,-62.585,10.5417,05-07-2026-Thu 14-35-53-PM,0.4,5.068,,15.8375,05-07-2026-Thu 14-36-46-PM,0.2,5.056,-66.332,31.6,05-07-2026-Thu 14-31-17-PM,0.5,5.052,,12.63
