Timestamp,x61 Cell 1 Temp,x61 Cell 2 Temp,x61 Cell 3 Temp,x61 Cell 4 Temp,x62 Cell 5 Temp,x62 Cell 6 Temp,x62 Cell 7 Temp,x62 Cell 8 Temp,x63 Cell 9 Temp,x63 Cell 10 Temp,x63 Cell 11 Temp,x63 Cell 12 Temp,x64 Cell 13 Temp,x64 Cell 14 Temp,x64 Cell 15 Temp,x64 Cell 16 Temp
05-07-2026-Thu 13-00-13-PM,22.76,22.76,23.232,23.232,23.232,23.03,23.03,23.03,22.76,,23.232,23.232,23.232,,23.03,
05-07-2026-Thu 13-00-15-PM,22.725,22.725,23.232,23.232,23.232,23.063,23.063,23.063,22.725,,23.232,23.232,23.232,,23.063,
05-07-2026-Thu 13-00-16-PM,22.725,22.725,23.232,23.232,23.232,23.098,23.098,23.098,22.725,,23.232,23.232,23.232,,23.098,
05-07-2026-Thu 13-00-17-PM,22.725,22.725,23.199,23.199,23.199,23.063,23.063,23.063,22.725,,23.199,23.199,23.199,,23.063,
05-07-2026-Thu 13-00-19-PM,22.76,22.76,23.232,23.232,23.232,23.132,23.132,23.132,22.76,,23.232,23.232,23.232,,23.132,
05-07-2026-Thu 13-00-20-PM,22.76,22.76,23.232,23.232,23.232,23.098,23.098,23.098,22.76,,23.232,23.232,23.232,,23.098,
05-07-2026-Thu 13-00-22-PM,22.76,22.76,23.232,23.232,23.232,23.03,23.03,23.03,22.76,,23.232,23.232,23.232,,23.03,
05-07-2026-Thu 13-00-23-PM,22.76,22.76,23.199,23.199,23.199,23.098,23.098,23.098,22.76,,23.199,23.199,23.199,,23.098,
05-07-2026-Thu 13-00-24-PM,22.76,22.76,23.232,23.232,23.232,23.03,23.03,23.03,22.76,,23.232,23.232,23.232,,23.03,
05-07-2026-Thu 13-00-26-PM,22.725,22.725,23.199,23.199,23.199,23.03,23.03,23.03,22.725,,23.199,23.199,23.199,,23.03,
05-07-2026-Thu 13-00-27-PM,22.76,22.76,23.199,23.199,23.199,23.03,23.03,23.03,22.76,,23.199,23.199,23.199,,23.03,
05-07-2026-Thu 13-00-29-PM,22.76,22.76,23.199,23.199,23.199,23.063,23.063,23.063,22.76,,23.199,23.199,23.199,,23.063,
05-07-2026-Thu 13-00-30-PM,22.76,22.76,23.199,23.199,23.199,23.063,23.063,23.063,22.76,,23.199,23.199,23.199,,23.063,
05-07-2026-Thu 13-00-31-PM,22.76,22.76,23.199,23.199,23.199,23.063,23.063,23.063,22.76,,23.199,23.199,23.199,,23.063,
05-07-2026-Thu 13-00-33-PM,22.725,22.725,23.199,23.199,23.199,22.996,22.996,22.996,22.725,,23.199,23.199,23.199,,22.996,
05-07-2026-Thu 13-00-34-PM,23.03,23.03,23.537,23.537,23.537,23.063,23.063,23.063,23.03,,23.537,23.537,23.537,,23.063,
